大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
レギュラーラウンド,岡山シーガルズ,21,82,41,20,0,48.8,1,0,0,0.0,0.24,27,0.33,316,3,11,18,105,12.0,0,0,0,-,20,27,14,61
セミファイナルラウンド,岡山シーガルズ,3,11,6,2,1,33.3,0,0,0,-,0.18,3,0.27,40,0,1,2,11,8.9,0,0,0,-,2,3,1,6
ファイナルラウンド,岡山シーガルズ,1,5,0,0,0,-,0,0,0,-,-,2,0.40,14,0,0,1,2,3.6,1,0,0,0.0,0,2,0,2
サマーリーグ女子 2011,岡山シーガルズ,3,11,11,4,0,36.4,1,0,0,0.0,0.36,2,0.18,34,1,1,3,6,9.7,0,0,0,-,4,2,2,8
サマーリーグ,岡山シーガルズ,3,11,11,4,0,36.4,1,0,0,0.0,0.36,2,0.18,34,1,1,3,6,9.7,0,0,0,-,4,2,2,8
Ｖ・プレミアリーグ女子 2010/11,岡山シーガルズ,26,79,13,6,1,46.2,0,0,0,-,0.08,6,0.08,126,1,2,12,38,9.6,7,1,0,14.3,6,6,3,15
レギュラーラウンド,岡山シーガルズ,26,79,13,6,1,46.2,0,0,0,-,0.08,6,0.08,126,1,2,12,38,9.6,7,1,0,14.3,6,6,3,15
Ｖ・プレミアリーグ女子 2009/10,岡山シーガルズ,24,60,1,0,0,0.0,0,0,0,-,-,3,0.05,56,0,3,5,15,11.0,16,5,0,31.2,0,3,3,6
レギュラーラウンド,岡山シーガルズ,24,60,1,0,0,0.0,0,0,0,-,-,3,0.05,56,0,3,5,15,11.0,16,5,0,31.2,0,3,3,6
レギュラーシーズン通算,,249,885,335,151,16,45.1,8,2,0,25.0,0.17,229,0.26,2908,13,62,109,974,10.0,62,15,2,25.8,151,229,75,455
通算,,286,1028,418,191,18,45.7,9,2,0,22.2,0.19,264,0.26,3437,15,72,128,1147,9.9,74,15,4,23.0,191,264,87,542
