大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,岡山シーガルズ,26,99,855,361,30,42.2,42,8,4,19.0,3.65,17,0.17,298,4,2,24,80,6.7,40,11,13,43.8,361,17,6,384
プレミアカンファレンス,岡山シーガルズ,15,56,471,210,18,44.6,27,6,3,22.2,3.75,9,0.16,187,2,2,15,56,7.6,16,4,6,43.8,210,9,4,223
交流戦,岡山シーガルズ,6,21,196,80,3,40.8,5,1,0,20.0,3.81,6,0.29,62,2,0,6,15,6.9,17,5,5,44.1,80,6,2,88
ファイナル８・Ｂグループ,岡山シーガルズ,3,12,89,36,6,40.4,4,0,1,0.0,3.00,1,0.08,23,0,0,3,5,2.2,3,1,0,33.3,36,1,0,37
セミファイナル①,岡山シーガルズ,1,5,40,14,0,35.0,2,0,0,0.0,2.80,1,0.20,14,0,0,0,2,3.6,1,0,1,50.0,14,1,0,15
ファイナル,岡山シーガルズ,1,5,59,21,3,35.6,4,1,0,25.0,4.20,0,-,12,0,0,0,2,4.2,3,1,1,50.0,21,0,0,21
V.LEAGUE DIVISION1 WOMEN 2018-19,岡山シーガルズ,22,84,582,221,21,38.0,13,0,1,0.0,2.63,15,0.18,235,1,12,7,52,10.3,130,44,19,41.2,221,15,13,249
Western Conference,岡山シーガルズ,8,31,185,63,11,34.1,10,0,1,0.0,2.03,4,0.13,88,0,2,2,19,7.1,46,18,6,45.7,63,4,2,69
交流戦,岡山シーガルズ,12,47,362,144,9,39.8,3,0,0,0.0,3.06,11,0.23,123,1,7,5,31,11.8,74,23,13,39.9,144,11,8,163
チャレンジステージ,岡山シーガルズ,2,6,35,14,1,40.0,0,0,0,-,2.33,0,-,24,0,3,0,2,14.6,10,3,0,30.0,14,0,3,17
Ｖ・チャレンジリーグⅠ女子 2017/18,岡山シーガルズ,18,55,346,133,20,38.4,4,0,1,0.0,2.42,28,0.51,180,2,9,7,49,11.9,86,27,11,37.8,133,28,11,172
レギュラーラウンド,岡山シーガルズ,18,55,346,133,20,38.4,4,0,1,0.0,2.42,28,0.51,180,2,9,7,49,11.9,86,27,11,37.8,133,28,11,172
Ｖ・プレミアリーグ女子 2016/17,岡山シーガルズ,4,10,54,16,5,29.6,1,0,1,0.0,1.60,2,0.20,20,0,0,1,5,6.2,4,3,0,75.0,16,2,0,18
レギュラーラウンド,岡山シーガルズ,4,10,54,16,5,29.6,1,0,1,0.0,1.60,2,0.20,20,0,0,1,5,6.2,4,3,0,75.0,16,2,0,18
チャレンジマッチ女子2016/17,岡山シーガルズ,1,3,1,0,1,0.0,0,0,0,-,-,0,-,2,0,0,0,1,12.5,0,0,0,-,0,0,0,0
チャレンジマッチ,岡山シーガルズ,1,3,1,0,1,0.0,0,0,0,-,-,0,-,2,0,0,0,1,12.5,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,63,220,1614,646,66,40.0,50,7,6,14.0,2.94,60,0.27,660,7,20,36,175,9.4,243,80,41,41.4,646,60,27,733
通算,,71,251,1838,731,77,39.8,60,8,7,13.3,2.91,62,0.25,735,7,23,39,187,9.1,260,85,43,41.0,731,62,30,823
