名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ガードナーガブリエル,03,JTサンダーズ,15,3,35,17,5,48.6,34.3,8,3,2,0,12,0,2,7,24,8,0,17,37.5,5.7,0.0,10.4,33.3
ピントロドリゴ,03,堺ブレイザーズ,10,7,69,32,8,46.4,34.8,31,17,5,4,26,0,9,8,2,2,0,36,54.8,4.6,0.6,-1.0,100.0
ペレイラマックス,03,NECブルーロケッツ,21,7,63,32,5,50.8,42.9,28,14,3,1,25,0,5,4,0,0,0,33,50.0,4.6,0.1,-1.0,
モンテイロジョエル,03,サントリーサンバーズ,14,3,27,13,3,48.1,37.0,6,3,1,0,14,1,2,5,0,0,0,14,50.0,4.3,0.0,12.5,
丹山禎昭,03,JTサンダーズ,5,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
伊藤信博,03,堺ブレイザーズ,15,7,17,8,1,47.1,41.2,0,0,0,10,26,1,3,8,0,0,0,19,,1.1,1.4,8.7,
内冨寛法,03,JTサンダーズ,17,2,3,1,0,33.3,33.3,0,0,0,2,2,0,0,2,0,0,0,3,,0.5,1.0,25.0,
加藤陽一,03,JTサンダーズ,12,1,7,5,0,71.4,71.4,2,2,0,0,2,0,1,0,9,6,0,5,100.0,5.0,0.0,-12.5,66.7
北島武,03,堺ブレイザーズ,4,6,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,2,,0.0,0.3,,
千葉進也,03,堺ブレイザーズ,6,7,43,23,5,53.5,41.9,8,4,1,0,33,1,4,11,52,38,0,24,50.0,3.3,0.0,8.3,73.1
吉田譲,03,サントリーサンバーズ,19,3,0,0,0,,,0,0,0,0,4,0,1,1,0,0,0,0,,0.0,0.0,0.0,
坂本雄一郎,03,サントリーサンバーズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
増野彰,03,堺ブレイザーズ,11,7,0,0,0,,,0,0,0,0,0,0,0,0,42,30,0,0,,0.0,0.0,,71.4
大久保茂和,03,堺ブレイザーズ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大村悟,03,NECブルーロケッツ,1,7,48,18,5,37.5,27.1,7,0,2,2,29,0,3,1,46,31,0,20,0.0,2.6,0.3,-1.7,67.4
大角竜敏,03,NECブルーロケッツ,16,7,16,7,1,43.8,37.5,0,0,0,4,19,0,4,1,0,0,0,11,,1.0,0.6,-3.9,
奥谷信彦,03,NECブルーロケッツ,12,7,0,0,0,,,0,0,0,0,9,0,2,2,0,0,0,0,,0.0,0.0,0.0,
宇佐美大輔,03,NECブルーロケッツ,8,3,1,0,0,0.0,0.0,0,0,0,0,10,0,1,3,0,0,0,0,,0.0,0.0,5.0,
宮下雅寛,03,JTサンダーズ,1,3,4,2,1,50.0,25.0,0,0,0,3,9,0,2,2,0,0,0,5,,0.7,1.0,0.0,
小西健太,03,堺ブレイザーズ,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
尾上健司,03,JTサンダーズ,7,3,3,0,0,0.0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山村宏太,03,サントリーサンバーズ,1,3,10,4,1,40.0,30.0,0,0,0,2,6,0,2,0,0,0,0,6,,1.3,0.7,-8.3,
平野信孝,03,JTサンダーズ,2,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
徳元幸人,03,JTサンダーズ,8,3,16,7,1,43.8,37.5,0,0,0,1,11,0,0,7,17,13,0,8,,2.3,0.3,15.9,76.5
杉山マルコス,03,堺ブレイザーズ,17,3,7,0,1,0.0,-14.3,1,0,0,3,6,1,2,3,4,3,0,4,0.0,0.0,1.0,20.8,75.0
村上龍介,03,サントリーサンバーズ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
