名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
武田和朗,富士通カワサキレッドスピリッツ,1,2,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0
毛利光生,近畿クラブスフィーダ,21,48,19,9,1,47.4,42.1,0,0,0,5,175,1,19,42,1,0,0,,0.2,0.1,3.9
池ノ上宏之,警視庁フォートファイターズ,14,51,27,13,2,48.1,40.7,2,1,0,6,178,8,22,71,1,0,0,50.0,0.3,0.1,11.4
泉川正幸,ジェイテクトSTINGS,33,46,221,93,19,42.1,33.5,59,18,9,16,162,4,7,53,31,20,0,30.5,2.0,0.3,9.6
浦田哲平,つくばユナイテッドSunGAIA,12,47,10,3,0,30.0,30.0,1,1,0,2,142,2,9,41,1,0,0,100.0,0.1,0.0,7.0
渡邊友嗣,東京ヴェルディ,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
溝口信二,東京ヴェルディ,27,55,187,94,13,50.3,43.3,0,0,0,43,129,5,13,19,2,0,0,,1.7,0.8,5.0
濱口純一,東京ヴェルディ,1,44,39,18,3,46.2,38.5,0,0,0,5,93,3,7,23,116,93,0,,0.4,0.1,7.5
片岡拓磨,トヨタ自動車サンホークス,17,28,0,0,0,,,0,0,0,0,8,1,2,2,88,43,0,,0.0,0.0,12.5
田中伸篤,近畿クラブスフィーダ,6,7,0,0,0,,,0,0,0,0,13,0,2,2,0,0,0,,0.0,0.0,0.0
田中則雄,トヨタ自動車サンホークス,16,22,39,15,2,38.5,33.3,0,0,0,7,65,1,11,16,0,0,0,,0.7,0.3,3.5
田浦健一郎,大同特殊鋼レッドスター,9,3,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,,0.0,0.0,-12.5
益永泰裕,FC東京,13,20,97,41,8,42.3,34.0,28,12,3,4,45,2,8,15,4,1,0,42.9,2.0,0.2,8.3
矢島優一,近畿クラブスフィーダ,15,48,0,0,0,,,0,0,0,0,0,0,0,0,357,250,0,,0.0,0.0,
石川健,つくばユナイテッドSunGAIA,5,26,47,26,2,55.3,51.1,0,0,0,7,61,2,1,13,0,0,0,,1.0,0.3,8.2
石本裕樹,近畿クラブスフィーダ,13,25,75,39,2,52.0,49.3,0,0,0,7,61,2,7,20,0,0,0,,1.6,0.3,8.6
石田敬喜,ジェイテクトSTINGS,9,60,481,236,55,49.1,37.6,49,26,5,26,215,2,16,46,442,328,0,53.1,3.9,0.4,4.4
石田裕矢,トヨタ自動車サンホークス,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
福田健太,警視庁フォートファイターズ,4,26,73,42,4,57.5,52.1,0,0,0,18,66,4,6,17,5,4,0,,1.6,0.7,10.2
福田誉,FC東京,3,57,323,173,25,53.6,45.8,26,16,3,25,235,3,17,47,294,231,0,61.5,3.0,0.4,4.5
立田哲雄,警視庁フォートファイターズ,9,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
竹内徳彦,富士通カワサキレッドスピリッツ,4,36,120,62,4,51.7,48.3,0,0,0,19,84,0,3,10,2,1,0,,1.7,0.5,2.1
等々力広人,東京ヴェルディ,10,6,0,0,0,,,0,0,0,0,11,2,2,2,0,0,0,,0.0,0.0,18.2
興梠亮,ジェイテクトSTINGS,12,60,0,0,0,,,0,0,0,0,0,0,0,0,434,330,0,,0.0,0.0,
若山智昭,大同特殊鋼レッドスター,6,58,500,246,46,49.2,40.0,91,34,14,21,210,9,56,38,145,91,0,37.4,4.2,0.4,2.1
菅直哉,つくばユナイテッドSunGAIA,9,4,0,0,0,,,0,0,0,1,8,0,0,3,0,0,0,,0.0,0.2,9.4
菊池孝一,つくばユナイテッドSunGAIA,2,59,259,126,16,48.6,42.5,4,0,1,58,174,9,45,45,11,8,0,0.0,2.1,1.0,5.2
藤沢秀起,近畿クラブスフィーダ,8,50,426,181,43,42.5,32.4,46,22,11,12,188,8,70,61,152,83,0,47.8,3.6,0.2,3.1
西久保亮太,大同特殊鋼レッドスター,7,58,320,149,37,46.6,35.0,3,1,0,12,212,6,18,77,464,331,0,33.3,2.6,0.2,9.8
西田靖宏,つくばユナイテッドSunGAIA,18,35,255,120,25,47.1,37.3,64,24,9,17,123,4,14,30,23,16,0,37.5,3.4,0.5,6.5
西畑達也,FC東京,1,4,0,0,0,,,0,0,0,0,4,0,1,1,0,0,0,,0.0,0.0,0.0
豊田昇平,ジェイテクトSTINGS,5,48,12,7,2,58.3,41.7,0,0,0,8,148,1,1,27,2,0,0,,0.1,0.2,5.1
豊田直之,富士通カワサキレッドスピリッツ,11,31,100,51,3,51.0,48.0,0,0,0,12,45,0,2,2,6,5,0,,1.6,0.4,0.0
赤木貴雅,つくばユナイテッドSunGAIA,13,64,0,0,0,,,0,0,0,0,0,0,0,0,487,361,0,,0.0,0.0,
辻裕作,東京ヴェルディ,11,59,0,0,0,,,0,0,0,0,0,0,0,0,403,304,0,,0.0,0.0,
野中信也,FC東京,16,37,14,6,0,42.9,42.9,3,1,0,0,28,0,4,6,174,127,0,33.3,0.2,0.0,1.8
野沢憲治,ジェイテクトSTINGS,4,21,14,6,1,42.9,35.7,0,0,0,8,46,0,1,9,0,0,0,,0.3,0.4,4.3
野澤真,富士通カワサキレッドスピリッツ,15,59,5,1,0,20.0,20.0,0,0,0,3,229,5,9,55,5,0,0,,0.0,0.1,7.2
