試合日,年月,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,2,,古藤千鶴,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.33,18,0,0,6,8.3,0,0,0,-,1
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,3,,新鍋理沙,3,■,■,■,nan,nan,23,12,2,52.2,43.5,4.00,0,0,0,-,1,0.33,14,1,2,2,7.1,9,4,3,61.1,14
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,4,,岩坂名奈,3,■,■,■,nan,nan,10,5,0,50.0,50.0,1.67,0,0,0,-,0,-,6,0,1,2,4.2,0,0,0,-,5
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,6,,石井優希,3,■,■,■,nan,nan,40,16,1,40.0,37.5,5.33,4,1,0,25.0,0,-,17,1,0,8,17.6,18,7,2,44.4,17
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,8,,野本梨佳,3,■,■,■,nan,nan,43,17,1,39.5,37.2,5.67,1,1,0,100.0,2,0.67,8,0,1,1,0.0,7,2,3,50.0,19
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,10,L,座安琴希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,11,,栄絵里香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,12,,今村優香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,14,,森谷史佳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,16,,アキンラデウォフォルケ,3,■,■,■,nan,nan,9,5,0,55.6,55.6,1.67,0,0,0,-,2,0.67,8,0,0,1,3.1,0,0,0,-,7
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,18,L,戸江真奈,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,7,7,47.7,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,20,,筒井さやか,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,0,0,0.0,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,22,,井上愛里沙,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
