名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カムンタラーケオカラヤー,JTマーヴェラス,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
サンティアゴアライジャダフニ,埼玉上尾メディックス,3,3,16,9,0,56.2,56.2,0,0,0,1,10,1,1,3,0,0,0,,3.0,0.3,15.0,
シュシュニャルカタリナ,埼玉上尾メディックス,17,3,41,17,3,41.5,34.1,15,5,3,0,9,0,2,2,0,0,0,33.3,5.7,0.0,0.0,
ドルーズアンドレア,JTマーヴェラス,10,3,39,21,2,53.8,48.7,8,3,0,0,10,2,2,3,0,0,0,37.5,7.0,0.0,22.5,
ヒックマンジャスティス,JTマーヴェラス,14,3,29,9,0,31.0,31.0,0,0,0,1,14,0,0,8,27,11,5,,3.0,0.3,14.3,50.0
三浦茉実,埼玉上尾メディックス,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上美咲,埼玉上尾メディックス,13,3,1,0,0,0.0,0.0,0,0,0,2,7,0,0,5,0,0,0,,0.0,0.7,17.9,
仁井田桃子,埼玉上尾メディックス,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤優花,埼玉上尾メディックス,10,2,6,2,0,33.3,33.3,1,0,0,0,4,0,0,1,9,3,4,0.0,1.0,0.0,6.2,55.6
冨永こよみ,埼玉上尾メディックス,2,2,2,1,0,50.0,50.0,0,0,0,0,4,0,0,2,0,0,0,,0.5,0.0,12.5,
吉野優理,埼玉上尾メディックス,8,3,16,2,4,12.5,-12.5,1,0,0,0,7,0,0,2,22,6,4,0.0,0.7,0.0,7.1,36.4
堀江美志,埼玉上尾メディックス,4,3,25,7,1,28.0,24.0,2,1,0,0,5,0,0,3,18,10,1,50.0,2.3,0.0,15.0,58.3
大室璃紗,埼玉上尾メディックス,23,3,0,0,0,,,0,0,0,0,0,0,0,0,4,2,2,,0.0,0.0,,75.0
小川杏奈,JTマーヴェラス,3,3,6,2,0,33.3,33.3,0,0,0,0,10,0,0,6,1,1,0,,0.7,0.0,15.0,100.0
小幡真子,JTマーヴェラス,15,3,0,0,0,,,0,0,0,0,0,0,0,0,8,5,1,,0.0,0.0,,68.8
山口珠李,埼玉上尾メディックス,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
山岸あかね,埼玉上尾メディックス,7,3,0,0,0,,,0,0,0,0,0,0,0,0,12,3,2,,0.0,0.0,,33.3
林琴奈,JTマーヴェラス,2,3,29,11,1,37.9,34.5,3,1,1,0,10,1,0,3,9,4,0,33.3,3.7,0.0,17.5,44.4
柴田真果,JTマーヴェラス,5,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,,0.0,0.0,0.0,
椎名真子,埼玉上尾メディックス,14,2,7,0,0,0.0,0.0,1,0,0,0,2,0,1,1,4,0,0,0.0,0.0,0.0,0.0,0.0
橘井友香,JTマーヴェラス,4,3,9,4,0,44.4,44.4,0,0,0,0,3,0,1,1,0,0,0,,1.3,0.0,0.0,
田中瑞稀,JTマーヴェラス,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
田中美咲,JTマーヴェラス,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
目黒優佳,JTマーヴェラス,11,3,2,1,0,50.0,50.0,2,1,0,0,6,0,0,3,8,2,1,50.0,0.3,0.0,12.5,31.2
籾井あき,JTマーヴェラス,19,3,2,1,1,50.0,0.0,0,0,0,1,8,0,0,4,0,0,0,,0.3,0.3,12.5,
芥川愛加,JTマーヴェラス,1,3,5,1,0,20.0,20.0,0,0,0,2,9,1,0,1,0,0,0,,0.3,0.7,13.9,
西川有喜,JTマーヴェラス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
青柳京古,埼玉上尾メディックス,11,3,11,4,0,36.4,36.4,0,0,0,2,10,0,1,3,0,0,0,,1.3,0.7,5.0,
