名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三井梨愛,大野石油広島オイラーズ,16,151,14,0,0,0,,,0,0,0,0,19,0,1,10,0,0,0,,0.0,0.0,11.8,
上地野乃香,群馬銀行グリーンウイングス,9,147,50,0,0,0,,,0,0,0,0,16,0,2,3,123,53,28,,0.0,0.0,1.6,54.5
中島優花,柏エンゼルクロス,15,33,9,57,17,9,29.8,14.0,0,0,0,2,14,0,1,5,41,12,13,,1.89,0.22,7.1,45.1
中條美月,GSS東京サンビームズ,17,150,4,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,,0.0,0.0,0.0,
中田唯香,大野石油広島オイラーズ,11,151,83,948,285,55,30.1,24.3,79,20,6,31,266,8,9,57,418,219,96,25.3,3.43,0.37,7.5,63.9
中道香名子,ブレス浜松,26,28,13,0,0,0,,,0,0,0,0,0,0,0,0,58,25,14,,0.0,0.0,,55.2
中野祐希,ブレス浜松,2,5,7,100,29,4,29.0,25.0,4,0,0,1,15,0,1,8,6,3,2,0.0,4.14,0.14,11.7,66.7
井上実咲,JAぎふリオレーナ,12,150,22,61,23,1,37.7,36.1,0,0,0,8,39,0,2,10,5,5,0,,1.05,0.36,5.1,100.0
伊藤きわ美,群馬銀行グリーンウイングス,14,94,38,421,126,22,29.9,24.7,22,4,1,8,93,2,10,25,223,98,58,18.2,3.32,0.21,6.2,57.0
伊藤愛華,大野石油広島オイラーズ,13,151,10,0,0,0,,,0,0,0,0,13,0,1,2,0,0,0,,0.0,0.0,1.9,
伊藤摩耶,プレステージ・インターナショナルアランマーレ,17,161,84,438,160,32,36.5,29.2,0,0,0,53,342,21,19,123,19,11,4,,1.9,0.63,13.7,68.4
佐々原和,JAぎふリオレーナ,2,147,20,207,62,13,30.0,23.7,5,0,1,1,63,1,5,13,169,81,54,0.0,3.1,0.05,4.8,63.9
佐々木里菜,ルートインホテルズブリリアントアリーズ,4,162,87,81,33,6,40.7,33.3,1,0,1,14,274,14,17,95,5,0,1,0.0,0.38,0.16,12.2,10.0
佐藤愛美,大野石油広島オイラーズ,9,151,24,195,60,14,30.8,23.6,15,0,1,7,49,3,1,12,2,1,0,0.0,2.5,0.29,11.7,50.0
前村明里,GSS東京サンビームズ,24,161,83,1,0,0,0.0,0.0,0,0,0,0,48,2,3,15,129,55,34,,0.0,0.0,10.4,55.8
加藤彩夏,ブレス浜松,11,160,73,510,160,29,31.4,25.7,2,0,0,27,287,10,20,90,572,270,126,0.0,2.19,0.37,9.6,58.2
勝呂詩保,ブレス浜松,15,134,2,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5,
勝見咲子,GSS東京サンビームズ,29,161,73,549,170,43,31.0,23.1,7,3,0,15,239,9,12,61,266,113,46,42.9,2.33,0.21,8.9,51.1
北川海育,大野石油広島オイラーズ,1,151,82,516,205,18,39.7,36.2,0,0,0,37,215,5,9,60,25,17,4,,2.5,0.45,8.3,76.0
北村果穂,プレステージ・インターナショナルアランマーレ,1,161,57,0,0,0,,,0,0,0,0,32,2,5,12,0,0,0,,0.0,0.0,11.7,
及川佑加,GSS東京サンビームズ,18,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
古川ほのか,GSS東京サンビームズ,10,7,6,38,12,3,31.6,23.7,1,0,0,1,16,1,1,1,0,0,0,0.0,2.0,0.17,6.2,
古川友,柏エンゼルクロス,20,150,58,0,0,0,,,0,0,0,0,0,0,0,0,101,47,23,,0.0,0.0,,57.9
古市彩音,群馬銀行グリーンウイングス,6,149,80,76,35,0,46.1,46.1,0,0,0,17,290,12,10,81,2,0,0,,0.44,0.21,10.3,0.0
吉井奎乃,JAぎふリオレーナ,4,150,78,917,272,65,29.7,22.6,74,21,10,24,307,17,26,93,888,364,247,28.4,3.49,0.31,11.0,54.9
吉岡みなみ,群馬銀行グリーンウイングス,2,149,80,0,0,0,,,0,0,0,0,0,0,0,0,107,55,31,,0.0,0.0,,65.9
吉本梓穂,大野石油広島オイラーズ,8,149,49,160,45,13,28.1,20.0,14,1,2,1,118,2,10,23,216,116,42,7.1,0.92,0.02,4.4,63.4
吉田奈未,柏エンゼルクロス,12,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉里遥,GSS東京サンビームズ,15,161,86,1008,372,60,36.9,31.0,120,35,12,21,282,15,53,71,162,48,38,29.2,4.33,0.24,6.9,41.4
名原寧音,柏エンゼルクロス,16,150,82,18,6,0,33.3,33.3,0,0,0,11,264,8,6,60,5,0,0,,0.07,0.13,8.1,0.0
和田法子,ブレス浜松,9,160,46,104,28,6,26.9,21.2,9,5,1,4,62,1,15,13,1,0,1,55.6,0.61,0.09,0.8,50.0
唐川愛璃,JAぎふリオレーナ,17,150,82,18,6,0,33.3,33.3,0,0,0,8,298,11,26,76,4,0,0,,0.07,0.1,7.9,0.0
土屋智菜実,群馬銀行グリーンウイングス,12,128,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
土岡真央,大野石油広島オイラーズ,17,151,85,0,0,0,,,0,0,0,0,0,0,0,0,221,114,47,,0.0,0.0,,62.2
坂口莉乃,大野石油広島オイラーズ,7,11,5,1,0,0,0.0,0.0,0,0,0,1,8,0,1,1,0,0,0,,0.0,0.2,0.0,
坂本陽菜,群馬銀行グリーンウイングス,11,149,37,1,0,1,0.0,-100.0,0,0,0,0,37,1,4,11,27,8,10,,0.0,0.0,7.4,48.1
城野真衣,柏エンゼルクロス,2,93,8,84,25,7,29.8,21.4,5,0,1,2,22,1,1,2,36,11,11,0.0,3.12,0.25,5.7,45.8
多田遥,ブレス浜松,10,160,68,818,227,58,27.8,20.7,69,9,9,8,198,9,21,58,19,7,6,13.0,3.34,0.12,9.2,52.6
大原萌,GSS東京サンビームズ,19,139,71,0,0,0,,,0,0,0,0,85,6,2,19,132,62,30,,0.0,0.0,12.1,58.3
大西真咲,大野石油広島オイラーズ,2,151,8,92,17,9,18.5,8.7,2,0,0,0,13,1,0,3,39,16,14,0.0,2.12,0.0,13.5,59.0
安福若菜,群馬銀行グリーンウイングス,16,149,80,473,189,28,40.0,34.0,0,0,0,47,222,3,8,21,15,6,1,,2.36,0.59,2.8,43.3
宮井遥,JAぎふリオレーナ,6,150,78,791,247,56,31.2,24.1,91,34,11,17,257,9,12,54,27,4,6,37.4,3.17,0.22,7.6,25.9
宮本菜月,プレステージ・インターナショナルアランマーレ,16,161,69,481,138,46,28.7,19.1,54,7,10,19,139,5,18,42,6,3,1,13.0,2.0,0.28,7.9,58.3
富澤結花,ルートインホテルズブリリアントアリーズ,19,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
寺坂茜,群馬銀行グリーンウイングス,7,9,13,43,18,5,41.9,30.2,0,0,0,4,5,1,1,1,0,0,0,,1.38,0.31,20.0,
小坂亜未,ルートインホテルズブリリアントアリーズ,2,162,48,20,5,2,25.0,15.0,0,0,0,0,35,1,4,2,73,32,15,,0.1,0.0,1.4,54.1
小川祐奈,ブレス浜松,25,160,46,37,4,3,10.8,2.7,0,0,0,1,30,0,5,7,199,93,48,,0.09,0.02,1.7,58.8
小林愛里,群馬銀行グリーンウイングス,4,142,31,269,87,22,32.3,24.2,6,2,2,2,64,6,5,24,168,67,44,33.3,2.81,0.06,16.8,53.0
小茂田夏海,ルートインホテルズブリリアントアリーズ,17,22,3,8,2,1,25.0,12.5,0,0,0,1,5,0,0,0,2,1,1,,0.67,0.33,0.0,75.0
山内佑里子,大野石油広島オイラーズ,10,151,60,423,127,21,30.0,25.1,12,1,1,21,187,6,6,43,339,182,60,8.3,2.12,0.35,8.2,62.5
山本悠維,ブレス浜松,16,160,18,87,23,2,26.4,24.1,0,0,0,3,72,7,5,19,4,2,1,,1.28,0.17,14.6,62.5
山本紗貴,GSS東京サンビームズ,27,161,16,41,18,1,43.9,41.5,0,0,0,0,38,0,4,8,0,0,0,,1.12,0.0,2.6,
山本裕香,JAぎふリオレーナ,5,150,67,861,322,67,37.4,29.6,116,33,21,18,244,17,24,65,146,62,37,28.4,4.81,0.27,11.2,55.1
岡村真衣,柏エンゼルクロス,9,150,51,7,3,1,42.9,28.6,0,0,0,0,112,4,1,25,1,0,0,,0.06,0.0,8.9,0.0
岡田倫奈,JAぎふリオレーナ,13,150,85,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
岩本周加,ルートインホテルズブリリアントアリーズ,18,1,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
岩永明奈,JAぎふリオレーナ,8,150,45,0,0,0,,,0,0,0,0,69,1,3,12,0,0,0,,0.0,0.0,4.7,
岸村恵実,ルートインホテルズブリリアントアリーズ,6,162,87,647,237,34,36.6,31.4,0,0,0,59,239,4,28,47,45,19,8,,2.72,0.68,3.7,51.1
島原玖南,ブレス浜松,22,57,39,44,19,1,43.2,40.9,0,0,0,8,109,1,8,27,1,0,0,,0.49,0.21,5.3,0.0
工藤綾乃,GSS東京サンビームズ,23,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
常田美夢,ルートインホテルズブリリアントアリーズ,10,162,87,416,128,17,30.8,26.7,4,2,0,21,362,15,12,118,60,35,11,50.0,1.47,0.24,11.5,67.5
平井裕菜,ブレス浜松,7,3,3,0,0,0,,,0,0,0,0,5,0,0,2,0,0,0,,0.0,0.0,10.0,
平原果歩,ルートインホテルズブリリアントアリーズ,11,162,40,265,73,12,27.5,23.0,1,1,0,6,91,4,4,23,148,71,26,100.0,1.82,0.15,9.6,56.8
平岡みさと,ルートインホテルズブリリアントアリーズ,7,162,46,377,120,19,31.8,26.8,12,5,1,10,109,3,13,27,147,78,29,41.7,2.61,0.22,6.0,62.9
平岩沙紀,GSS東京サンビームズ,4,161,76,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,317,187,57,,0.01,0.0,,68.0
平野七菜,ルートインホテルズブリリアントアリーズ,15,60,47,365,112,17,30.7,26.0,3,0,1,13,149,4,8,42,238,105,59,0.0,2.38,0.28,8.4,56.5
張心穆意,GSS東京サンビームズ,21,161,86,739,287,15,38.8,36.8,0,0,0,48,293,20,12,78,1,0,0,,3.34,0.56,12.5,0.0
徳石あかり,柏エンゼルクロス,18,150,84,423,127,17,30.0,26.0,1,0,0,27,355,15,19,96,8,2,2,0.0,1.51,0.32,9.6,37.5
愛宕諒子,群馬銀行グリーンウイングス,13,147,66,590,202,30,34.2,29.2,11,1,0,33,217,9,8,75,4,2,1,9.1,3.06,0.5,11.9,62.5
投野ひかる,プレステージ・インターナショナルアランマーレ,15,161,67,16,4,1,25.0,18.8,0,0,0,2,110,4,4,35,1,0,0,,0.06,0.03,10.7,0.0
播磨若奈,ブレス浜松,3,160,43,30,10,1,33.3,30.0,0,0,0,9,112,4,2,43,1,0,0,,0.23,0.21,12.7,0.0
斉藤千佳,群馬銀行グリーンウイングス,8,149,65,326,99,26,30.4,22.4,1,1,0,11,59,3,3,13,2,1,1,100.0,1.52,0.17,9.3,75.0
斉藤有香,大野石油広島オイラーズ,15,151,82,1022,308,59,30.1,24.4,103,16,14,7,343,13,24,108,524,279,121,15.5,3.76,0.09,9.9,64.8
新井祥,群馬銀行グリーンウイングス,10,149,75,698,181,21,25.9,22.9,8,1,1,17,293,3,7,78,533,284,112,12.5,2.41,0.23,7.1,63.8
有川由季乃,GSS東京サンビームズ,3,161,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
木村友里,プレステージ・インターナショナルアランマーレ,3,161,83,810,231,46,28.5,22.8,62,9,6,8,252,5,14,47,743,391,166,14.5,2.78,0.1,5.3,63.8
木村汐里,柏エンゼルクロス,13,150,72,852,257,65,30.2,22.5,41,14,5,21,244,12,22,60,533,264,115,34.1,3.57,0.29,8.8,60.3
本間有貴,プレステージ・インターナショナルアランマーレ,13,161,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
本間真樹子,JAぎふリオレーナ,9,150,44,8,3,0,37.5,37.5,0,0,0,6,29,0,1,2,0,0,0,,0.07,0.14,0.9,
村山美佳,ルートインホテルズブリリアントアリーズ,14,10,18,115,39,2,33.9,32.2,1,0,0,7,27,2,5,3,5,3,0,0.0,2.17,0.39,5.6,60.0
松原南,柏エンゼルクロス,21,150,46,264,82,11,31.1,26.9,5,0,2,1,44,0,1,13,91,35,16,0.0,1.78,0.02,6.8,47.3
松川美咲,ブレス浜松,6,160,58,0,0,0,,,0,0,0,0,0,0,0,0,236,158,37,,0.0,0.0,,74.8
松浦未波,GSS東京サンビームズ,2,161,88,52,20,1,38.5,36.5,0,0,0,6,341,16,8,84,8,0,1,,0.23,0.07,10.3,6.2
柳沢紫子,プレステージ・インターナショナルアランマーレ,10,161,60,303,83,16,27.4,22.1,15,2,2,53,159,8,15,55,16,7,3,13.3,1.38,0.88,11.3,53.1
柳沼優花,JAぎふリオレーナ,19,34,8,92,25,8,27.2,18.5,3,2,0,0,24,2,3,5,72,32,17,66.7,3.12,0.0,10.4,56.2
栗田楓,群馬銀行グリーンウイングス,1,149,62,1,1,0,100.0,100.0,0,0,0,1,94,0,0,18,0,0,0,,0.02,0.02,4.8,
梅田莉樹子,JAぎふリオレーナ,3,3,2,9,3,0,33.3,33.3,0,0,0,0,4,0,0,1,1,0,1,,1.5,0.0,6.2,50.0
森寿実子,プレステージ・インターナショナルアランマーレ,11,161,84,0,0,0,,,0,0,0,0,0,0,0,0,210,134,37,,0.0,0.0,,72.6
森田紫,柏エンゼルクロス,5,7,7,23,9,3,39.1,26.1,0,0,0,1,16,0,0,2,0,0,0,,1.29,0.14,3.1,
榎本里歩,プレステージ・インターナショナルアランマーレ,12,10,28,257,70,13,27.2,22.2,12,1,1,4,97,4,15,35,190,94,46,8.3,2.5,0.14,9.3,61.6
横田実穂,ルートインホテルズブリリアントアリーズ,16,12,19,2,2,0,100.0,100.0,0,0,0,0,32,1,5,4,0,0,0,,0.11,0.0,2.3,
水上真悠子,ブレス浜松,21,134,39,523,133,42,25.4,17.4,54,10,5,10,130,4,9,39,174,74,49,18.5,3.41,0.26,8.8,56.6
水谷真友,ルートインホテルズブリリアントアリーズ,3,162,76,0,0,0,,,0,0,0,0,0,0,0,0,170,88,39,,0.0,0.0,,63.2
江川優貴,プレステージ・インターナショナルアランマーレ,2,161,70,562,204,37,36.3,29.7,76,8,7,18,162,5,26,34,3,1,0,10.5,2.91,0.26,4.3,33.3
浅川希,プレステージ・インターナショナルアランマーレ,5,161,29,95,18,9,18.9,9.5,10,0,1,2,47,1,4,8,118,68,19,0.0,0.62,0.07,4.3,65.7
浅野奈菜,ブレス浜松,23,31,12,61,15,6,24.6,14.8,0,0,0,3,33,0,3,10,3,2,1,,1.25,0.25,5.3,83.3
浜田栞,JAぎふリオレーナ,18,150,80,407,161,27,39.6,32.9,0,0,0,30,213,9,5,51,15,7,6,,2.01,0.38,9.6,66.7
渋川小夏,柏エンゼルクロス,7,150,83,772,271,55,35.1,28.0,17,5,3,15,243,5,13,56,556,210,137,29.4,3.27,0.18,6.5,50.1
熊本比奈,ブレス浜松,1,150,52,715,219,55,30.6,22.9,72,22,13,19,188,5,14,50,402,206,90,30.6,4.21,0.37,7.4,62.4
田中瑠奈,群馬銀行グリーンウイングス,5,89,46,449,136,42,30.3,20.9,22,3,4,13,163,5,9,52,256,134,50,13.6,2.96,0.28,9.7,62.1
田代麻樹,JAぎふリオレーナ,1,150,84,108,23,3,21.3,18.5,0,0,0,41,266,4,4,49,16,1,5,,0.27,0.49,5.7,21.9
田村愛美,プレステージ・インターナショナルアランマーレ,8,161,78,17,6,0,35.3,35.3,0,0,0,5,173,4,2,34,1,0,0,,0.08,0.06,6.9,0.0
白石ふう香,ルートインホテルズブリリアントアリーズ,13,150,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
目加田莉央,JAぎふリオレーナ,16,150,85,0,0,0,,,0,0,0,0,0,0,0,0,249,141,62,,0.0,0.0,,69.1
石井彩,ルートインホテルズブリリアントアリーズ,8,162,54,0,0,0,,,0,0,0,0,0,0,0,0,140,83,12,,0.0,0.0,,63.6
石川梨奈,群馬銀行グリーンウイングス,15,149,8,39,13,1,33.3,30.8,0,0,0,4,24,1,1,5,1,1,0,,1.62,0.5,8.3,100.0
石川綾菜,柏エンゼルクロス,4,150,80,463,114,40,24.6,16.0,1,0,0,28,212,6,23,54,11,4,1,0.0,1.42,0.35,6.5,40.9
磯部成里,大野石油広島オイラーズ,3,151,12,65,19,4,29.2,23.1,0,0,0,9,35,1,3,6,0,0,0,,1.58,0.75,5.0,
竹内沙月,GSS東京サンビームズ,14,140,1,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,,0.0,0.0,-8.3,
綱田愛,ルートインホテルズブリリアントアリーズ,12,162,78,626,234,27,37.4,33.1,1,0,1,11,244,4,4,57,391,168,96,0.0,3.0,0.14,7.1,55.2
