名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三井梨愛,2019-11,大野石油広島オイラーズ,16,5,0,0,0,,,0,0,0,0,6,0,0,5,0,0,0,,0.0,0.0,20.8,
三井梨愛,2019-12,大野石油広島オイラーズ,16,4,0,0,0,,,0,0,0,0,4,0,1,3,0,0,0,,0.0,0.0,12.5,
三井梨愛,2020-01,大野石油広島オイラーズ,16,4,0,0,0,,,0,0,0,0,7,0,0,1,0,0,0,,0.0,0.0,3.6,
三井梨愛,2020-02,大野石油広島オイラーズ,16,1,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5,
上地野乃香,2019-11,群馬銀行グリーンウイングス,9,27,0,0,0,,,0,0,0,0,0,0,0,0,79,33,20,,0.0,0.0,,54.4
上地野乃香,2019-12,群馬銀行グリーンウイングス,9,12,0,0,0,,,0,0,0,0,11,0,2,3,26,10,6,,0.0,0.0,2.3,50.0
上地野乃香,2020-01,群馬銀行グリーンウイングス,9,8,0,0,0,,,0,0,0,0,1,0,0,0,12,8,2,,0.0,0.0,0.0,75.0
上地野乃香,2020-02,群馬銀行グリーンウイングス,9,3,0,0,0,,,0,0,0,0,4,0,0,0,6,2,0,,0.0,0.0,0.0,33.3
中島優花,2019-12,柏エンゼルクロス,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島優花,2020-01,柏エンゼルクロス,15,5,46,14,7,30.4,15.2,0,0,0,1,11,0,1,4,25,10,8,,2.8,0.2,6.8,56.0
中島優花,2020-02,柏エンゼルクロス,15,4,11,3,2,27.3,9.1,0,0,0,1,3,0,0,1,16,2,5,,0.75,0.25,8.3,28.1
中條美月,2019-11,GSS東京サンビームズ,17,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,,0.0,0.0,0.0,
中條美月,2019-12,GSS東京サンビームズ,17,1,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
中條美月,2020-01,GSS東京サンビームズ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中田唯香,2019-11,大野石油広島オイラーズ,11,25,304,84,17,27.6,22.0,27,6,1,6,80,4,3,16,93,45,22,22.2,3.36,0.24,9.1,60.2
中田唯香,2019-12,大野石油広島オイラーズ,11,25,280,95,18,33.9,27.5,21,5,3,12,73,1,1,15,119,65,24,23.8,3.8,0.48,6.2,64.7
中田唯香,2020-01,大野石油広島オイラーズ,11,19,212,63,12,29.7,24.1,17,6,1,7,65,2,3,15,146,75,37,35.3,3.32,0.37,7.7,64.0
