名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
デラクルス デ ペニャベタニア,2008-03,東レアローズ,18,9,109,48,8,44.0,36.7,19,10,1,4,36,4,7,14,0,0,0,56,52.6,5.33,0.44,16.0,
パブロワイエレナ,2008-03,久光製薬スプリングス,11,9,158,66,11,41.8,34.8,28,10,4,3,32,3,7,5,2,2,0,72,35.7,7.33,0.33,7.8,100.0
ロンドンシンディ,2008-03,デンソーエアリービーズ,28,12,139,61,12,43.9,35.3,17,7,3,4,44,5,5,12,2,0,0,70,41.2,5.08,0.33,15.3,0.0
三上彩,2008-03,久光製薬スプリングス,13,8,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中道瞳,2008-03,東レアローズ,8,9,2,0,0,0.0,0.0,0,0,0,0,39,0,1,11,0,0,0,0,,0.0,0.0,6.4,
井上香織,2008-03,デンソーエアリービーズ,8,12,54,25,1,46.3,44.4,0,0,0,5,30,1,2,5,0,0,0,31,,2.08,0.42,5.8,
仁木希,2008-03,久光製薬スプリングス,1,13,77,21,3,27.3,23.4,0,0,0,6,53,2,3,16,66,45,0,29,,1.62,0.46,9.9,68.2
佐藤美耶,2008-03,東レアローズ,12,10,50,20,1,40.0,38.0,0,0,0,2,6,0,1,0,26,16,0,22,,2.0,0.2,-4.2,61.5
佐野優子,2008-03,久光製薬スプリングス,10,13,0,0,0,,,0,0,0,0,0,0,0,0,100,69,0,0,,0.0,0.0,,69.0
先野久美子,2008-03,久光製薬スプリングス,4,9,49,15,2,30.6,26.5,0,0,0,4,32,1,1,10,0,0,0,20,,1.67,0.44,10.2,
冨田寧寧,2008-03,東レアローズ,4,5,17,10,1,58.8,52.9,0,0,0,3,13,0,0,0,0,0,0,13,,2.0,0.6,0.0,
吉田みなみ,2008-03,岡山シーガルズ,1,9,3,0,0,0.0,0.0,0,0,0,0,10,0,1,1,9,7,0,0,,0.0,0.0,0.0,77.8
向井久子,2008-03,東レアローズ,1,6,32,12,1,37.5,34.4,3,0,0,2,16,0,0,6,0,0,0,14,0.0,2.0,0.33,9.4,
堀田理恵,2008-03,岡山シーガルズ,55,7,19,4,4,21.1,0.0,0,0,0,0,18,4,0,4,15,8,0,8,,0.57,0.0,27.8,53.3
大山未希,2008-03,東レアローズ,9,5,0,0,0,,,0,0,0,1,18,0,1,5,0,0,0,1,,0.0,0.2,5.6,
大村加奈子,2008-03,久光製薬スプリングス,8,12,52,21,6,40.4,28.8,0,0,0,8,19,0,1,2,1,1,0,29,,1.75,0.67,1.3,100.0
大槻真弥,2008-03,デンソーエアリービーズ,14,6,0,0,0,,,0,0,0,0,0,0,0,0,13,8,0,0,,0.0,0.0,,61.5
小山修加,2008-03,久光製薬スプリングス,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小林亜里沙,2008-03,岡山シーガルズ,17,5,14,2,1,14.3,7.1,0,0,0,0,12,0,1,6,3,1,0,2,,0.4,0.0,10.4,33.3
小菅真弓,2008-03,岡山シーガルズ,41,5,0,0,0,,,0,0,0,1,4,0,0,0,0,0,0,1,,0.0,0.2,0.0,
山口舞,2008-03,岡山シーガルズ,2,11,74,25,1,33.8,32.4,0,0,0,5,35,0,1,3,49,29,0,30,,2.27,0.45,1.4,59.2
岡野弘子,2008-03,岡山シーガルズ,15,11,4,2,0,50.0,50.0,0,0,0,2,25,0,0,8,0,0,0,4,,0.18,0.18,8.0,
岡野知子,2008-03,デンソーエアリービーズ,5,12,109,33,5,30.3,25.7,0,0,0,2,27,0,0,9,61,43,0,35,,2.75,0.17,8.3,70.5
平井香菜子,2008-03,久光製薬スプリングス,9,10,19,10,2,52.6,42.1,0,0,0,1,14,1,2,3,1,0,0,12,,1.0,0.1,8.9,0.0
徳川恵理,2008-03,久光製薬スプリングス,15,3,9,3,0,33.3,33.3,0,0,0,2,7,1,1,2,1,1,0,6,,1.0,0.67,17.9,100.0
木村智香子,2008-03,デンソーエアリービーズ,10,1,7,0,0,0.0,0.0,0,0,0,0,3,0,0,2,1,1,0,0,,0.0,0.0,16.7,100.0
木村沙織,2008-03,東レアローズ,11,12,58,18,7,31.0,19.0,2,0,0,1,28,0,1,7,54,31,0,19,0.0,1.5,0.08,5.4,57.4
村田奈都美,2008-03,岡山シーガルズ,12,11,119,37,9,31.1,23.5,0,0,0,2,33,0,4,2,48,28,0,39,,3.36,0.18,-1.5,58.3
森和代,2008-03,岡山シーガルズ,21,11,93,39,2,41.9,39.8,0,0,0,7,38,0,1,13,34,17,0,46,,3.55,0.64,7.9,50.0
榛澤舞子,2008-03,久光製薬スプリングス,2,6,57,12,2,21.1,17.5,3,0,1,0,12,0,2,3,2,0,0,12,0.0,2.0,0.0,2.1,0.0
横山雅美,2008-03,デンソーエアリービーズ,6,12,3,0,0,0.0,0.0,0,0,0,1,60,4,5,20,0,0,0,5,,0.0,0.08,12.9,
橋本直子,2008-03,久光製薬スプリングス,17,13,12,4,0,33.3,33.3,0,0,0,1,37,2,3,7,1,0,0,7,,0.31,0.08,8.1,0.0
櫻井由香,2008-03,デンソーエアリービーズ,9,12,0,0,0,,,0,0,0,0,0,0,0,0,57,46,0,0,,0.0,0.0,,80.7
浅津ゆうこ,2008-03,久光製薬スプリングス,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
渡辺真由美,2008-03,久光製薬スプリングス,12,3,0,0,0,,,0,0,0,0,4,1,1,1,0,0,0,1,,0.0,0.0,25.0,
濱口華菜里,2008-03,東レアローズ,7,12,0,0,0,,,0,0,0,0,0,0,0,0,43,27,0,0,,0.0,0.0,,62.8
