名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ブルークインダレサレツ,2019-12,サフィルヴァ北海道,13,13,139,57,15,41.0,30.2,51,21,6,7,33,0,7,6,0,0,0,41.2,4.38,0.54,-0.8,
三浦拓,2019-11,サフィルヴァ北海道,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦拓,2019-12,サフィルヴァ北海道,10,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三浦拓,2020-01,サフィルヴァ北海道,10,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三浦拓,2020-02,サフィルヴァ北海道,10,2,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,,0.5,0.0,,
上山太樹,2019-12,近畿クラブスフィーダ,10,9,0,0,0,,,0,0,0,0,6,0,0,3,19,8,6,,0.0,0.0,12.5,57.9
上山太樹,2020-01,近畿クラブスフィーダ,10,6,0,0,0,,,0,0,0,0,7,0,0,1,0,0,0,,0.0,0.0,3.6,
上山太樹,2020-02,近畿クラブスフィーダ,10,6,0,0,0,,,0,0,0,0,11,0,0,0,0,0,0,,0.0,0.0,0.0,
上竣,2019-11,奈良ドリーマーズ,15,10,59,31,4,52.5,45.8,28,17,2,2,34,3,13,9,1,0,0,60.7,3.1,0.2,5.9,0.0
上竣,2019-12,奈良ドリーマーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上竣,2020-01,奈良ドリーマーズ,15,13,89,36,5,40.4,34.8,21,5,2,2,34,2,12,6,0,0,0,23.8,2.77,0.15,1.5,
上竣,2020-02,奈良ドリーマーズ,15,17,113,48,8,42.5,35.4,34,16,4,3,62,6,20,13,0,0,0,47.1,2.82,0.18,6.9,
下町浩二,2019-11,奈良ドリーマーズ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
下町浩二,2019-12,奈良ドリーマーズ,4,13,47,17,1,36.2,34.0,0,0,0,9,35,1,0,5,0,0,0,,1.31,0.69,6.4,
下町浩二,2020-01,奈良ドリーマーズ,4,15,51,20,2,39.2,35.3,0,0,0,9,51,0,3,11,1,0,0,,1.33,0.6,3.9,0.0
下町浩二,2020-02,奈良ドリーマーズ,4,23,57,26,6,45.6,35.1,0,0,0,9,66,1,2,8,1,1,0,,1.13,0.39,3.8,100.0
中川郁也,2019-11,近畿クラブスフィーダ,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中川郁也,2019-12,近畿クラブスフィーダ,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中田雄大,2019-11,近畿クラブスフィーダ,12,8,1,1,0,100.0,100.0,0,0,0,1,32,0,4,6,0,0,0,,0.12,0.12,1.6,
中田雄大,2019-12,近畿クラブスフィーダ,12,11,2,1,0,50.0,50.0,0,0,0,0,34,1,1,8,0,0,0,,0.09,0.0,8.1,
中田雄大,2020-01,近畿クラブスフィーダ,12,15,3,2,0,66.7,66.7,0,0,0,1,45,0,1,12,2,1,0,,0.13,0.07,6.1,50.0
中田雄大,2020-02,近畿クラブスフィーダ,12,5,0,0,0,,,0,0,0,0,7,0,0,2,0,0,0,,0.0,0.0,7.1,
中谷芹,2019-11,近畿クラブスフィーダ,8,4,0,0,0,,,0,0,0,0,5,0,0,3,0,0,0,,0.0,0.0,15.0,
中谷芹,2019-12,近畿クラブスフィーダ,8,5,5,2,0,40.0,40.0,0,0,0,0,7,0,0,2,2,1,0,,0.4,0.0,7.1,50.0
中谷芹,2020-01,近畿クラブスフィーダ,8,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
中谷芹,2020-02,近畿クラブスフィーダ,8,6,0,0,0,,,0,0,0,0,8,2,0,0,0,0,0,,0.0,0.0,25.0,
中野倭,2019-12,近畿クラブスフィーダ,9,7,5,3,0,60.0,60.0,0,0,0,0,27,1,5,3,0,0,0,,0.43,0.0,1.9,
