名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
ブルークインダレサレツ,サフィルヴァ北海道,13,13,139,57,15,41.0,30.2,51,21,6,7,33,0,7,6,0,0,0,41.2,4.4,0.5,-0.8
三浦拓,サフィルヴァ北海道,10,4,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,,0.2,0.0,
上山太樹,近畿クラブスフィーダ,10,21,0,0,0,,,0,0,0,0,24,0,0,4,19,8,6,,0.0,0.0,4.2
上竣,奈良ドリーマーズ,15,40,261,115,17,44.1,37.5,83,38,8,7,130,11,45,28,1,0,0,45.8,2.9,0.2,5.2
下町浩二,奈良ドリーマーズ,4,51,155,63,9,40.6,34.8,0,0,0,27,152,2,5,24,2,1,0,,1.2,0.5,4.4
中川郁也,近畿クラブスフィーダ,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
中田雄大,近畿クラブスフィーダ,12,39,6,4,0,66.7,66.7,0,0,0,2,118,1,6,28,2,1,0,,0.1,0.1,5.5
中谷芹,近畿クラブスフィーダ,8,16,5,2,0,40.0,40.0,0,0,0,0,21,2,0,5,2,1,0,,0.1,0.0,15.5
中野倭,近畿クラブスフィーダ,9,24,14,7,0,50.0,50.0,1,0,0,6,96,1,14,19,0,0,0,0.0,0.3,0.2,2.3
久門伸司,近畿クラブスフィーダ,15,25,0,0,0,,,0,0,0,0,14,0,3,1,53,19,12,,0.0,0.0,-3.6
二宮正夫,トヨタモビリティ東京スパークル,19,1,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,,0.0,0.0,-12.5
五味登似,近畿クラブスフィーダ,26,5,28,8,0,28.6,28.6,0,0,0,0,16,0,2,3,32,13,9,,1.6,0.0,1.6
井上尚人,近畿クラブスフィーダ,23,17,39,10,4,25.6,15.4,3,0,1,0,29,0,7,8,0,0,0,0.0,0.6,0.0,0.9
今中聖也,近畿クラブスフィーダ,5,13,33,16,1,48.5,45.5,1,0,0,3,26,0,4,3,0,0,0,0.0,1.2,0.2,-1.0
伊藤優介,トヨタモビリティ東京スパークル,21,24,66,22,4,33.3,27.3,5,2,1,6,67,1,7,15,3,0,1,40.0,0.9,0.2,4.5
北村將,近畿クラブスフィーダ,4,40,210,78,9,37.1,32.9,0,0,0,11,98,1,4,18,208,101,62,,2.0,0.3,4.6
十良澤太一,サフィルヴァ北海道,11,46,15,7,1,46.7,40.0,0,0,0,4,159,5,11,55,1,0,0,,0.2,0.1,10.1
南本大貴,奈良ドリーマーズ,18,11,0,0,0,,,0,0,0,0,10,0,0,2,0,0,0,,0.0,0.0,5.0
吉田康祐,サフィルヴァ北海道,5,29,75,36,1,48.0,46.7,0,0,0,11,37,0,6,7,1,0,1,,1.2,0.4,0.7
吉田裕哉,近畿クラブスフィーダ,21,14,0,0,0,,,0,0,0,0,6,0,0,0,50,20,20,,0.0,0.0,0.0
吉良悠飛,近畿クラブスフィーダ,27,15,0,0,0,,,0,0,0,0,19,0,3,6,0,0,0,,0.0,0.0,3.9
壇上正健,奈良ドリーマーズ,3,28,185,75,24,40.5,27.6,41,18,10,15,74,2,10,24,3,0,1,43.9,2.7,0.5,7.4
大原悠,近畿クラブスフィーダ,16,40,37,19,3,51.4,43.2,0,0,0,1,30,0,1,9,209,114,46,,0.5,0.0,6.7
大楽祥生,トヨタモビリティ東京スパークル,9,16,34,8,3,23.5,14.7,3,1,1,0,22,1,8,7,1,0,1,33.3,0.5,0.0,3.4
