試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-23,2019-11,奈良ドリーマーズ,2,,言上真一,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,3,,壇上正健,2,,,□,■,,4,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,4,,下町浩二,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,5,L,小寺秀哉,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,7,,有津翔太,5,■,■,■,■,■,25,13,3,0.52,0.4,2.60,0,0,0,-,1,0.20,16,0,2,2,0.0,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,9,,高橋和希,5,■,■,■,■,■,3,1,0,0.3333333333333333,0.3333333333333333,0.20,0,0,0,-,1,0.20,19,0,1,2,1.3,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,11,,後藤和志,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,12,,川村幸司,5,■,■,■,■,■,30,15,2,0.5,0.43333333333333335,3.00,3,1,0,33.3,1,0.20,17,0,1,5,5.9,22,7,4,40.9
2019-11-23,2019-11,奈良ドリーマーズ,14,,杉谷祐磨,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,15,,上竣,5,■,■,■,■,■,36,21,2,0.5833333333333334,0.5277777777777778,4.20,15,10,2,66.7,0,-,17,1,7,3,0.0,1,0,0,0.0
2019-11-23,2019-11,奈良ドリーマーズ,16,,片野坂拓人,5,■,■,■,■,■,39,21,7,0.5384615384615384,0.35897435897435903,4.20,9,2,3,22.2,1,0.20,18,0,3,3,0.0,37,27,2,75.7
2019-11-23,2019-11,奈良ドリーマーズ,17,,碩幸輝,5,■,■,■,□,■,9,2,0,0.2222222222222222,0.2222222222222222,0.40,0,0,0,-,1,0.20,15,0,1,3,3.3,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,18,,南本大貴,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2019-11-23,2019-11,奈良ドリーマーズ,19,L,石渡瑛法,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,12,4,70.0
2019-11-23,2019-11,サフィルヴァ北海道,1,,青島賢司,3,,□,,□,□,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
2019-11-23,2019-11,サフィルヴァ北海道,2,L,神園時,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,25,13,6,64.0
2019-11-23,2019-11,サフィルヴァ北海道,3,,河西智洋,5,■,■,■,■,■,39,12,2,0.3076923076923077,0.2564102564102564,2.40,7,2,1,28.6,0,-,22,1,7,6,3.4,37,23,9,74.3
2019-11-23,2019-11,サフィルヴァ北海道,4,,奥田基嗣,5,■,■,■,■,■,16,9,1,0.5625,0.5,1.80,0,0,0,-,3,0.60,12,1,2,2,8.3,0,0,0,-
2019-11-23,2019-11,サフィルヴァ北海道,5,,吉田康祐,2,□,,□,,,4,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,2019-11,サフィルヴァ北海道,7,,笠原佑斗,5,■,■,■,■,■,14,7,0,0.5,0.5,1.40,0,0,0,-,4,0.80,15,0,0,3,5.0,0,0,0,-
2019-11-23,2019-11,サフィルヴァ北海道,8,,清水久雄,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,7,0,0,1,3.6,0,0,0,-
2019-11-23,2019-11,サフィルヴァ北海道,9,,小林洸,5,■,■,■,■,■,33,13,3,0.3939393939393939,0.30303030303030304,2.60,11,3,1,27.3,0,-,16,3,4,4,18.8,0,0,0,-
2019-11-23,2019-11,サフィルヴァ北海道,10,,三浦拓,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,2019-11,サフィルヴァ北海道,11,,十良澤太一,4,□,,□,■,■,0,0,0,,,-,0,0,0,-,0,-,7,1,0,2,21.4,0,0,0,-
2019-11-23,2019-11,サフィルヴァ北海道,12,L,白戸謙伸,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,2019-11,サフィルヴァ北海道,14,,山口拓馬,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
