大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 WOMEN,JAぎふリオレーナ,21,67,861,322,67,37.4,116,33,21,28.4,4.81,18,0.27,244,5,12,24,65,11.2,146,62,37,55.1,322,18,17,357
レギュラーラウンド,JAぎふリオレーナ,21,67,861,322,67,37.4,116,33,21,28.4,4.81,18,0.27,244,5,12,24,65,11.2,146,62,37,55.1,322,18,17,357
V.LEAGUE DIVISION2 WOMEN 2018-19,JAぎふリオレーナ,23,82,836,331,62,39.6,48,11,7,22.9,4.04,33,0.40,271,2,8,26,83,8.9,10,6,0,60.0,331,33,10,374
レギュラーラウンド,JAぎふリオレーナ,18,64,650,261,50,40.2,44,11,7,25.0,4.08,23,0.36,218,1,5,17,69,8.7,9,6,0,66.7,261,23,6,290
ファイナル６,JAぎふリオレーナ,5,18,186,70,12,37.6,4,0,0,0.0,3.89,10,0.56,53,1,3,9,14,9.9,1,0,0,0.0,70,10,4,84
チャレンジマッチ女子2018-19,JAぎふリオレーナ,2,3,28,8,6,28.6,3,2,0,66.7,2.67,2,0.67,6,0,1,1,3,25.0,1,1,0,100.0,8,2,1,11
チャレンジマッチ,JAぎふリオレーナ,2,3,28,8,6,28.6,3,2,0,66.7,2.67,2,0.67,6,0,1,1,3,25.0,1,1,0,100.0,8,2,1,11
Ｖ・チャレンジリーグⅠ女子 2017/18,JAぎふリオレーナ,18,49,79,33,5,41.8,0,0,0,-,0.67,14,0.29,130,2,5,7,41,11.9,5,4,0,80.0,33,14,7,54
レギュラーラウンド,JAぎふリオレーナ,18,49,79,33,5,41.8,0,0,0,-,0.67,14,0.29,130,2,5,7,41,11.9,5,4,0,80.0,33,14,7,54
Ｖ・チャレンジリーグⅠ女子 2016/17,JAぎふリオレーナ,21,53,61,27,2,44.3,0,0,0,-,0.51,9,0.17,187,0,1,7,91,12.6,3,0,0,0.0,27,9,1,37
レギュラーラウンド,JAぎふリオレーナ,21,53,61,27,2,44.3,0,0,0,-,0.51,9,0.17,187,0,1,7,91,12.6,3,0,0,0.0,27,9,1,37
チャレンジリーグ入替戦女子2016/17,,2,2,0,0,0,-,0,0,0,-,-,0,-,4,0,0,0,2,12.5,0,0,0,-,0,0,0,0
チャレンジマッチ,,2,2,0,0,0,-,0,0,0,-,-,0,-,4,0,0,0,2,12.5,0,0,0,-,0,0,0,0
Ｖ・チャレンジリーグⅠ女子 2015/16,JAぎふリオレーナ,21,7,20,6,1,30.0,0,0,0,-,0.86,0,-,4,0,1,0,1,26.2,6,4,0,66.7,6,0,1,7
レギュラーラウンド,JAぎふリオレーナ,21,7,20,6,1,30.0,0,0,0,-,0.86,0,-,4,0,1,0,1,26.2,6,4,0,66.7,6,0,1,7
Ｖ・チャレンジリーグ女子 2014/15,JAぎふリオレーナ,7,2,0,0,0,-,0,0,0,-,-,0,-,4,0,0,2,0,0.0,0,0,0,-,0,0,0,0
レギュラーラウンド,JAぎふリオレーナ,7,2,0,0,0,-,0,0,0,-,-,0,-,4,0,0,2,0,0.0,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,106,242,1671,649,125,38.8,160,44,28,27.5,2.68,64,0.26,787,8,24,57,267,10.7,169,76,37,55.9,649,64,32,745
通算,,115,265,1885,727,143,38.6,167,46,28,27.5,2.74,76,0.29,850,9,28,67,286,10.8,171,77,37,55.8,727,76,37,840
