大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 WOMEN,JAぎふリオレーナ,21,44,8,3,0,37.5,0,0,0,-,0.07,6,0.14,29,0,0,1,2,0.9,0,0,0,-,3,6,0,9
レギュラーラウンド,JAぎふリオレーナ,21,44,8,3,0,37.5,0,0,0,-,0.07,6,0.14,29,0,0,1,2,0.9,0,0,0,-,3,6,0,9
V.LEAGUE DIVISION2 WOMEN 2018-19,JAぎふリオレーナ,23,81,80,34,2,42.5,0,0,0,-,0.42,17,0.21,250,0,4,5,62,7.3,1,0,0,0.0,34,17,4,55
レギュラーラウンド,JAぎふリオレーナ,18,63,57,23,2,40.4,0,0,0,-,0.37,12,0.19,193,0,3,5,49,7.3,1,0,0,0.0,23,12,3,38
ファイナル６,JAぎふリオレーナ,5,18,23,11,0,47.8,0,0,0,-,0.61,5,0.28,57,0,1,0,13,7.5,0,0,0,-,11,5,1,17
チャレンジマッチ女子2018-19,JAぎふリオレーナ,2,6,6,1,0,16.7,2,0,0,0.0,0.17,0,-,20,0,0,1,4,3.8,0,0,0,-,1,0,0,1
チャレンジマッチ,JAぎふリオレーナ,2,6,6,1,0,16.7,2,0,0,0.0,0.17,0,-,20,0,0,1,4,3.8,0,0,0,-,1,0,0,1
Ｖ・チャレンジリーグⅠ女子 2017/18,JAぎふリオレーナ,16,22,23,9,2,39.1,0,0,0,-,0.41,2,0.09,16,0,0,0,2,3.1,2,1,0,50.0,9,2,0,11
レギュラーラウンド,JAぎふリオレーナ,16,22,23,9,2,39.1,0,0,0,-,0.41,2,0.09,16,0,0,0,2,3.1,2,1,0,50.0,9,2,0,11
Ｖ・チャレンジリーグⅠ女子 2016/17,JAぎふリオレーナ,21,5,15,7,1,46.7,0,0,0,-,1.40,0,-,5,0,0,0,1,5.0,0,0,0,-,7,0,0,7
レギュラーラウンド,JAぎふリオレーナ,21,5,15,7,1,46.7,0,0,0,-,1.40,0,-,5,0,0,0,1,5.0,0,0,0,-,7,0,0,7
チャレンジリーグ入替戦女子2016/17,,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
チャレンジマッチ,,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・チャレンジリーグⅠ女子 2015/16,JAぎふリオレーナ,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,JAぎふリオレーナ,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,78,134,103,42,5,40.8,0,0,0,-,0.31,20,0.15,243,0,3,6,54,6.2,3,1,0,33.3,42,20,3,65
通算,,87,158,132,54,5,40.9,2,0,0,0.0,0.34,25,0.16,320,0,4,7,71,6.2,3,1,0,33.3,54,25,4,83
