大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 WOMEN,JAぎふリオレーナ,21,80,407,161,27,39.6,0,0,0,-,2.01,30,0.38,213,4,5,5,51,9.6,15,7,6,66.7,161,30,9,200
レギュラーラウンド,JAぎふリオレーナ,21,80,407,161,27,39.6,0,0,0,-,2.01,30,0.38,213,4,5,5,51,9.6,15,7,6,66.7,161,30,9,200
V.LEAGUE DIVISION2 WOMEN 2018-19,JAぎふリオレーナ,23,18,73,27,8,37.0,0,0,0,-,1.50,5,0.28,28,0,2,0,9,15.2,1,1,0,100.0,27,5,2,34
レギュラーラウンド,JAぎふリオレーナ,18,16,71,27,8,38.0,0,0,0,-,1.69,5,0.31,28,0,2,0,9,15.2,1,1,0,100.0,27,5,2,34
ファイナル６,JAぎふリオレーナ,5,2,2,0,0,0.0,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
チャレンジマッチ女子2018-19,JAぎふリオレーナ,2,4,18,6,2,33.3,0,0,0,-,1.50,0,-,7,0,1,0,1,17.9,0,0,0,-,6,0,1,7
チャレンジマッチ,JAぎふリオレーナ,2,4,18,6,2,33.3,0,0,0,-,1.50,0,-,7,0,1,0,1,17.9,0,0,0,-,6,0,1,7
レギュラーシーズン通算,,39,96,478,188,35,39.3,0,0,0,-,1.96,35,0.36,241,4,7,5,60,10.3,16,8,6,68.8,188,35,11,234
通算,,46,102,498,194,37,39.0,0,0,0,-,1.90,35,0.34,248,4,8,5,61,10.5,16,8,6,68.8,194,35,12,241
