名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
佐藤望実,11,FC東京,19,3,2,0,0,0.0,0.0,0,0,0,0,1,0,1,0,6,1,0,0,,0.0,0.0,-25.0,16.7
佐野翔,10,東レアローズ,4,9,8,3,1,37.5,25.0,3,1,1,2,1,0,0,0,0,0,0,5,33.3,0.3,0.2,0.0,
佐野翔,11,東レアローズ,4,18,14,3,1,21.4,14.3,5,1,1,1,4,0,2,1,0,0,0,4,20.0,0.2,0.1,-6.2,
佐野翔,12,東レアローズ,4,3,14,6,1,42.9,35.7,4,2,1,0,1,0,1,0,0,0,0,6,50.0,2.0,0.0,-25.0,
傳田亮太,01,豊田合成トレフェルサ,11,23,58,34,5,58.6,50.0,0,0,0,19,98,5,18,35,3,1,1,58,,1.5,0.8,9.4,50.0
傳田亮太,10,豊田合成トレフェルサ,11,11,20,11,0,55.0,55.0,0,0,0,9,44,1,8,11,1,0,1,21,,1.0,0.8,4.0,50.0
傳田亮太,11,豊田合成トレフェルサ,11,28,85,50,5,58.8,52.9,0,0,0,9,100,9,20,28,3,0,1,68,,1.8,0.3,11.0,16.7
傳田亮太,12,豊田合成トレフェルサ,11,14,39,20,0,51.3,51.3,0,0,0,9,62,10,9,30,1,1,0,39,,1.4,0.6,24.6,100.0
兒玉康成,01,パナソニックパンサーズ,21,7,9,5,1,55.6,44.4,0,0,0,0,7,0,0,0,0,0,0,5,,0.7,0.0,0.0,
兒玉康成,10,パナソニックパンサーズ,21,1,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,1,,0.0,1.0,,
兒玉康成,11,パナソニックパンサーズ,21,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
兒玉康成,12,パナソニックパンサーズ,21,5,6,4,0,66.7,66.7,0,0,0,1,9,0,2,4,2,0,2,5,,0.8,0.2,5.6,50.0
八子大輔,01,JTサンダーズ,7,8,34,12,2,35.3,29.4,6,3,0,0,15,1,1,5,29,9,5,13,50.0,1.5,0.0,13.3,39.7
八子大輔,10,JTサンダーズ,7,5,6,3,0,50.0,50.0,1,1,0,0,7,0,3,1,5,0,3,3,100.0,0.6,0.0,-7.1,30.0
八子大輔,11,JTサンダーズ,7,5,17,8,1,47.1,41.2,4,1,1,1,6,0,2,1,12,5,4,9,25.0,1.6,0.2,-4.2,58.3
八子大輔,12,JTサンダーズ,7,8,46,24,1,52.2,50.0,9,6,1,0,18,0,4,5,22,8,5,24,66.7,3.0,0.0,1.4,47.7
内山正平,01,豊田合成トレフェルサ,4,17,1,0,0,0.0,0.0,0,0,0,1,40,0,1,3,1,0,0,1,,0.0,0.1,1.2,0.0
内山正平,10,豊田合成トレフェルサ,4,2,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
内山正平,11,豊田合成トレフェルサ,4,22,1,0,1,0.0,-100.0,0,0,0,4,55,0,1,5,2,0,0,4,,0.0,0.2,1.8,0.0
内山正平,12,豊田合成トレフェルサ,4,14,1,0,0,0.0,0.0,0,0,0,3,45,0,4,9,0,0,0,3,,0.0,0.2,2.8,
内藤和也,01,堺ブレイザーズ,5,25,24,13,1,54.2,50.0,0,0,0,1,47,2,9,10,1,0,1,16,,0.5,0.0,4.8,50.0
内藤和也,10,堺ブレイザーズ,5,10,18,11,2,61.1,50.0,0,0,0,2,26,0,6,7,3,0,3,13,,1.1,0.2,1.0,50.0
内藤和也,11,堺ブレイザーズ,5,26,18,10,1,55.6,50.0,0,0,0,4,57,3,8,11,2,0,0,17,,0.4,0.2,6.6,0.0
内藤和也,12,堺ブレイザーズ,5,15,20,11,1,55.0,50.0,0,0,0,5,49,2,5,11,7,4,2,18,,0.7,0.3,7.1,71.4
出耒田敬,01,堺ブレイザーズ,7,2,5,1,0,20.0,20.0,0,0,0,3,2,0,1,0,1,0,0,4,,0.5,1.5,-12.5,0.0
出耒田敬,10,堺ブレイザーズ,7,9,16,9,0,56.2,56.2,0,0,0,0,15,0,7,4,0,0,0,9,,1.0,0.0,-5.0,
出耒田敬,11,堺ブレイザーズ,7,24,53,30,3,56.6,50.9,0,0,0,13,70,3,14,11,2,0,1,46,,1.2,0.5,3.2,25.0
出耒田敬,12,堺ブレイザーズ,7,12,25,12,1,48.0,44.0,0,0,0,5,29,4,13,2,2,1,1,21,,1.0,0.4,4.3,75.0
前田一誠,01,豊田合成トレフェルサ,5,16,7,4,0,57.1,57.1,0,0,0,1,42,1,4,4,0,0,0,6,,0.2,0.1,2.4,
前田一誠,10,豊田合成トレフェルサ,5,11,2,0,0,0.0,0.0,0,0,0,2,31,0,2,9,0,0,0,2,,0.0,0.2,5.6,
前田一誠,11,豊田合成トレフェルサ,5,15,1,0,0,0.0,0.0,0,0,0,0,34,0,1,5,1,0,0,0,,0.0,0.0,2.9,0.0
前田一誠,12,豊田合成トレフェルサ,5,4,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
加藤久典,12,サントリーサンバーズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
千々木駿介,01,堺ブレイザーズ,10,21,120,56,5,46.7,42.5,25,10,2,8,89,7,12,29,70,22,22,71,40.0,2.7,0.4,12.6,47.1
千々木駿介,10,堺ブレイザーズ,10,8,38,15,2,39.5,34.2,5,3,0,2,29,3,5,7,32,6,11,20,60.0,1.9,0.2,12.1,35.9
千々木駿介,11,堺ブレイザーズ,10,25,127,54,5,42.5,38.6,17,9,0,3,67,5,5,11,109,40,39,62,52.9,2.2,0.1,9.7,54.6
千々木駿介,12,堺ブレイザーズ,10,16,105,49,1,46.7,45.7,20,15,0,6,53,2,6,18,67,17,20,57,75.0,3.1,0.4,9.4,40.3
古賀幸一郎,01,豊田合成トレフェルサ,10,23,0,0,0,,,0,0,0,0,0,0,0,0,119,61,34,0,,0.0,0.0,,65.5
古賀幸一郎,10,豊田合成トレフェルサ,10,11,0,0,0,,,0,0,0,0,0,0,0,0,62,31,18,0,,0.0,0.0,,64.5
古賀幸一郎,11,豊田合成トレフェルサ,10,28,0,0,0,,,0,0,0,0,0,0,0,0,138,95,26,0,,0.0,0.0,,78.3
古賀幸一郎,12,豊田合成トレフェルサ,10,14,0,0,0,,,0,0,0,0,0,0,0,0,70,37,22,0,,0.0,0.0,,68.6
合田心平,01,パナソニックパンサーズ,18,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
吉岡光大,01,JTサンダーズ,5,12,40,19,2,47.5,42.5,3,2,0,2,49,3,6,12,64,18,14,24,66.7,1.6,0.2,9.2,39.1
吉岡光大,10,JTサンダーズ,5,13,59,20,8,33.9,20.3,3,1,0,2,47,0,6,8,77,18,28,22,33.3,1.5,0.2,1.1,41.6
吉岡光大,11,JTサンダーズ,5,23,110,55,8,50.0,42.7,11,8,1,4,87,6,14,10,98,40,18,65,72.7,2.4,0.2,5.7,50.0
吉岡光大,12,JTサンダーズ,5,14,69,24,8,34.8,23.2,9,3,3,0,48,2,6,13,68,19,11,26,33.3,1.7,0.0,7.8,36.0
和中謙治,01,FC東京,28,20,34,11,2,32.4,26.5,0,0,0,2,29,0,8,5,85,35,28,13,,0.6,0.1,-2.6,57.6
和中謙治,10,FC東京,28,7,1,0,0,0.0,0.0,0,0,0,0,1,0,0,0,9,4,1,0,,0.0,0.0,0.0,50.0
和中謙治,11,FC東京,28,22,16,8,1,50.0,43.8,0,0,0,0,10,0,0,3,35,8,18,8,,0.4,0.0,7.5,48.6
和中謙治,12,FC東京,28,14,31,12,0,38.7,38.7,0,0,0,1,31,0,4,3,63,26,18,13,,0.9,0.1,-0.8,55.6
唐川大志,01,JTサンダーズ,15,8,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
唐川大志,10,JTサンダーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
唐川大志,11,JTサンダーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
唐川大志,12,JTサンダーズ,15,8,0,0,0,,,0,0,0,0,0,0,0,0,27,14,3,0,,0.0,0.0,,57.4
喜入祥充,01,サントリーサンバーズ,15,6,1,0,0,0.0,0.0,1,0,0,0,5,0,0,4,5,2,2,0,0.0,0.0,0.0,20.0,60.0
堤智久,01,堺ブレイザーズ,9,12,48,20,3,41.7,35.4,2,1,0,1,35,2,5,9,46,9,9,23,50.0,1.7,0.1,8.6,29.3
堤智久,10,堺ブレイザーズ,9,8,36,12,3,33.3,25.0,6,3,0,0,28,1,6,2,17,5,8,13,50.0,1.5,0.0,0.0,52.9
堤智久,11,堺ブレイザーズ,9,17,93,36,8,38.7,30.1,8,3,1,3,56,1,7,13,87,23,21,40,37.5,2.1,0.2,4.5,38.5
堤智久,12,堺ブレイザーズ,9,13,19,10,0,52.6,52.6,1,1,0,0,14,0,2,3,18,3,2,10,100.0,0.8,0.0,1.8,22.2
塚崎祐平,10,JTサンダーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
塩田達也,01,サントリーサンバーズ,12,23,20,12,1,60.0,55.0,0,0,0,4,27,1,5,6,2,1,0,17,,0.5,0.2,4.6,50.0
塩田達也,10,サントリーサンバーズ,12,11,24,11,2,45.8,37.5,0,0,0,1,33,3,7,6,0,0,0,15,,1.0,0.1,8.3,
塩田達也,11,サントリーサンバーズ,12,20,36,21,1,58.3,55.6,0,0,0,5,68,3,12,23,4,1,3,29,,1.0,0.2,8.5,62.5
塩田達也,12,サントリーサンバーズ,12,15,36,19,2,52.8,47.2,0,0,0,7,41,4,7,10,6,3,0,30,,1.3,0.5,11.6,50.0
大宅真樹,01,サントリーサンバーズ,9,29,16,6,2,37.5,25.0,0,0,0,8,108,6,26,21,2,1,1,20,,0.2,0.3,4.4,75.0
安井勇誠,01,JTサンダーズ,11,7,0,0,0,,,0,0,0,0,8,0,2,1,0,0,0,0,,0.0,0.0,-3.1,
安井勇誠,10,JTサンダーズ,11,3,3,0,1,0.0,-33.3,0,0,0,0,5,0,1,2,2,0,2,0,,0.0,0.0,5.0,50.0
安井勇誠,11,JTサンダーズ,11,5,1,1,0,100.0,100.0,1,1,0,0,8,0,1,0,3,1,1,1,100.0,0.2,0.0,-3.1,50.0
安井勇誠,12,JTサンダーズ,11,3,7,4,0,57.1,57.1,1,1,0,0,2,0,0,0,0,0,0,4,100.0,1.3,0.0,0.0,
安永拓弥,01,JTサンダーズ,1,6,9,4,1,44.4,33.3,0,0,0,1,12,0,0,1,1,0,1,5,,0.7,0.2,2.1,50.0
安永拓弥,11,JTサンダーズ,1,2,2,2,0,100.0,100.0,0,0,0,0,2,0,1,0,0,0,0,2,,1.0,0.0,-12.5,
富松崇彰,01,東レアローズ,1,10,25,8,4,32.0,16.0,0,0,0,10,32,1,4,9,3,1,2,19,,0.8,1.0,7.0,66.7
富松崇彰,10,東レアローズ,1,10,29,16,2,55.2,48.3,0,0,0,5,43,1,8,11,0,0,0,22,,1.6,0.5,4.1,
富松崇彰,11,東レアローズ,1,19,55,35,3,63.6,58.2,0,0,0,14,65,2,10,15,1,1,0,51,,1.8,0.7,5.0,100.0
富松崇彰,12,東レアローズ,1,12,35,16,2,45.7,40.0,0,0,0,7,35,0,4,9,1,1,0,23,,1.3,0.6,3.6,100.0
専田和也,01,パナソニックパンサーズ,12,3,0,0,0,,,0,0,0,0,4,1,2,0,0,0,0,1,,0.0,0.0,12.5,
専田和也,10,パナソニックパンサーズ,12,6,0,0,0,,,0,0,0,0,7,0,1,2,6,2,2,0,,0.0,0.0,3.6,50.0
専田和也,11,パナソニックパンサーズ,12,15,0,0,0,,,0,0,0,0,14,0,4,1,13,7,1,0,,0.0,0.0,-5.4,57.7
専田和也,12,パナソニックパンサーズ,12,6,0,0,0,,,0,0,0,0,8,0,1,1,4,0,0,0,,0.0,0.0,0.0,0.0
小宮雄一郎,01,東レアローズ,19,1,2,1,0,50.0,50.0,0,0,0,0,1,0,0,0,0,0,0,1,,1.0,0.0,0.0,
小宮雄一郎,10,東レアローズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小宮雄一郎,11,東レアローズ,19,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
小宮雄一郎,12,東レアローズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小川猛,01,サントリーサンバーズ,18,12,2,0,0,0.0,0.0,0,0,0,0,14,1,5,5,0,0,0,1,,0.0,0.0,7.1,
小川猛,10,サントリーサンバーズ,18,7,10,1,0,10.0,10.0,0,0,0,0,10,1,3,3,0,0,0,2,,0.1,0.0,10.0,
小川猛,11,サントリーサンバーズ,18,19,34,20,1,58.8,55.9,6,4,0,2,20,1,5,6,5,1,2,23,66.7,1.1,0.1,6.2,40.0
小川猛,12,サントリーサンバーズ,18,10,9,4,0,44.4,44.4,2,0,0,0,13,2,4,5,1,0,0,6,0.0,0.4,0.0,17.3,0.0
小池勇輝,01,堺ブレイザーズ,12,2,0,0,0,,,0,0,0,0,2,0,2,0,0,0,0,0,,0.0,0.0,-25.0,
小田嶋大貴,01,FC東京,12,4,4,1,1,25.0,0.0,0,0,0,0,3,0,1,1,0,0,0,1,,0.2,0.0,0.0,
小野寺太志,01,JTサンダーズ,19,29,78,43,2,55.1,52.6,0,0,0,20,107,0,10,19,11,4,6,63,,1.5,0.7,2.1,63.6
山内晶大,01,パナソニックパンサーズ,10,26,62,38,1,61.3,59.7,0,0,0,11,84,3,19,19,2,2,0,52,,1.5,0.4,3.6,100.0
山内晶大,10,パナソニックパンサーズ,10,11,33,17,3,51.5,42.4,0,0,0,6,27,0,4,8,1,0,1,23,,1.5,0.5,3.7,50.0
山内晶大,11,パナソニックパンサーズ,10,28,68,37,2,54.4,51.5,0,0,0,13,91,1,9,22,4,1,0,51,,1.3,0.5,4.7,25.0
山内晶大,12,パナソニックパンサーズ,10,15,33,19,1,57.6,54.5,0,0,0,7,41,0,1,9,3,2,0,26,,1.3,0.5,4.9,66.7
山口頌平,01,堺ブレイザーズ,14,6,0,0,0,,,0,0,0,2,13,0,1,3,1,0,0,2,,0.0,0.3,3.8,0.0
山口頌平,10,堺ブレイザーズ,14,9,0,0,0,,,0,0,0,0,26,0,2,5,1,0,0,0,,0.0,0.0,2.9,0.0
山口頌平,11,堺ブレイザーズ,14,21,4,1,1,25.0,0.0,2,0,0,5,44,2,5,2,0,0,0,8,0.0,0.0,0.2,2.8,
山口頌平,12,堺ブレイザーズ,14,9,0,0,0,,,0,0,0,3,26,0,1,4,0,0,0,3,,0.0,0.3,2.9,
山本将平,01,JTサンダーズ,18,29,152,63,10,41.4,34.9,15,7,2,8,82,3,27,24,194,84,55,74,46.7,2.2,0.3,2.7,57.5
山本将平,10,JTサンダーズ,18,13,88,39,9,44.3,34.1,10,4,1,3,44,4,16,3,73,26,26,46,40.0,3.0,0.2,1.7,53.4
