名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ウォレスマルティンス,堺ブレイザーズ,18,162,81,923,460,67,49.8,42.6,441,223,42,28,322,30,67,99,5,3,0,518,50.6,5.68,0.35,11.8,60.0
エスコバルヤドリアン,サントリーサンバーズ,4,162,83,848,413,83,48.7,38.9,381,192,39,32,322,36,73,108,7,2,1,481,50.4,4.98,0.39,13.9,35.7
エドガートーマス,JTサンダーズ,14,162,82,1031,568,51,55.1,50.1,435,270,25,40,330,37,68,111,2,1,0,645,62.1,6.93,0.49,14.5,50.0
オムルチェンイゴール,豊田合成トレフェルサ,15,80,51,672,369,32,54.9,50.1,322,175,22,14,229,30,43,88,3,0,0,413,54.3,7.24,0.27,18.0,0.0
カジースキマテイ,ジェイテクトSTINGS,1,162,78,815,377,56,46.3,39.4,224,103,28,30,308,33,59,125,430,192,103,440,46.0,4.83,0.38,16.1,56.6
ギャビンシュミット,東レアローズ,12,161,71,835,399,37,47.8,43.4,374,180,23,25,267,17,69,48,1,0,0,441,48.1,5.62,0.35,4.4,0.0
クビアクミハウ,パナソニックパンサーズ,13,162,71,439,221,40,50.3,41.2,62,34,7,40,313,29,43,111,415,177,107,290,54.8,3.11,0.56,14.7,55.5
ペピチミラン,FC東京,6,158,61,662,301,62,45.5,36.1,279,133,32,23,223,19,62,54,0,0,0,343,47.7,4.93,0.38,7.6,
中島健太,JTサンダーズ,4,159,62,91,42,9,46.2,36.3,0,0,0,19,153,2,11,22,28,14,8,63,,0.68,0.31,3.1,64.3
中根聡太,ジェイテクトSTINGS,15,3,3,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
久保山尚,ジェイテクトSTINGS,16,162,69,11,4,0,36.4,36.4,0,0,0,15,225,7,21,36,3,1,1,26,,0.06,0.22,4.8,50.0
久原大輝,JTサンダーズ,8,137,28,8,4,0,50.0,50.0,0,0,0,0,24,0,2,2,40,17,9,4,,0.14,0.0,0.0,53.8
久原翼,パナソニックパンサーズ,7,162,31,147,80,14,54.4,44.9,13,6,4,8,96,2,22,13,143,50,41,90,46.2,2.58,0.26,-0.3,49.3
井上仁,FC東京,29,87,36,73,37,4,50.7,45.2,0,0,0,19,111,3,21,24,4,1,2,59,,1.03,0.53,3.4,50.0
井上俊輔,JTサンダーズ,9,81,5,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
井上慎一朗,JTサンダーズ,6,101,8,8,3,0,37.5,37.5,1,0,0,0,3,0,0,0,5,2,1,3,0.0,0.38,0.0,0.0,50.0
井上航,JTサンダーズ,10,162,78,0,0,0,,,0,0,0,0,0,0,0,0,349,173,121,0,,0.0,0.0,,66.9
井上裕介,堺ブレイザーズ,2,162,82,0,0,0,,,0,0,0,0,0,0,0,0,445,207,135,0,,0.0,0.0,,61.7
井手智,東レアローズ,22,150,29,0,0,0,,,0,0,0,0,0,0,0,0,93,47,24,0,,0.0,0.0,,63.4
今富稜介,堺ブレイザーズ,16,162,82,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
今村貴彦,パナソニックパンサーズ,9,162,36,116,52,8,44.8,37.9,31,18,3,8,51,3,10,10,1,1,0,63,58.1,1.44,0.22,5.9,100.0
伊藤康貴,堺ブレイザーズ,11,162,68,127,45,9,35.4,28.3,3,0,0,3,161,12,26,36,346,123,112,60,0.0,0.66,0.04,9.0,51.7
伊賀亮平,パナソニックパンサーズ,16,162,11,0,0,0,,,0,0,0,0,0,0,0,0,34,19,5,0,,0.0,0.0,,63.2
伏見大和,東レアローズ,3,162,54,130,72,3,55.4,53.1,0,0,0,27,137,6,23,36,2,1,1,105,,1.33,0.5,6.8,75.0
佐川翔,堺ブレイザーズ,8,162,67,9,4,0,44.4,44.4,1,0,0,18,175,6,27,32,0,0,0,28,0.0,0.06,0.27,4.1,
佐藤望実,FC東京,19,18,23,136,58,11,42.6,34.6,14,5,1,4,58,4,11,20,79,9,18,66,35.7,2.52,0.17,10.8,22.8
佐野翔,東レアローズ,4,120,30,36,12,3,33.3,25.0,12,4,3,3,6,0,3,1,0,0,0,15,33.3,0.4,0.1,-8.3,
傳田亮太,豊田合成トレフェルサ,11,161,76,202,115,10,56.9,52.0,0,0,0,46,304,25,55,104,8,2,3,186,,1.51,0.61,12.3,43.8
兒玉康成,パナソニックパンサーズ,21,117,14,15,9,1,60.0,53.3,0,0,0,2,16,0,2,4,2,0,2,11,,0.64,0.14,3.1,50.0
八子大輔,JTサンダーズ,7,129,26,103,47,4,45.6,41.7,20,11,2,1,46,1,10,12,68,22,17,49,55.0,1.81,0.04,3.3,44.9
内山正平,豊田合成トレフェルサ,4,162,55,3,0,1,0.0,-33.3,0,0,0,8,145,0,6,17,3,0,0,8,,0.0,0.15,1.9,0.0
内藤和也,堺ブレイザーズ,5,162,76,80,45,5,56.2,50.0,0,0,0,12,179,7,28,39,13,4,6,64,,0.59,0.16,5.4,53.8
出耒田敬,堺ブレイザーズ,7,156,47,99,52,4,52.5,48.5,0,0,0,21,116,7,35,17,5,1,2,80,,1.11,0.45,2.2,40.0
