名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
賀谷明日光,GSS東京サンビームズ,25,16,48,17,2,35.4,31.2,1,0,0,1,27,0,4,10,0,0,0,0.0,1.06,0.06,5.6,
重松史乃,GSS東京サンビームズ,1,21,13,2,2,15.4,0.0,0,0,0,0,70,7,5,28,0,0,0,,0.1,0.0,18.2,
鈴木日葵,群馬銀行グリーンウイングス,3,60,295,134,18,45.4,39.3,0,0,0,33,223,13,27,93,4,3,0,,2.23,0.55,13.2,75.0
鈴木遥,柏エンゼルクロス,1,35,0,0,0,,,0,0,0,0,8,0,1,0,15,5,4,,0.0,0.0,-3.1,46.7
関口梨紗子,GSS東京サンビームズ,27,10,25,9,2,36.0,28.0,0,0,0,1,25,1,1,8,0,0,0,,0.9,0.1,11.0,
須崎杏,群馬銀行グリーンウイングス,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
須田美南,大阪スーペリアーズ,14,29,0,0,0,,,0,0,0,0,0,0,0,0,198,57,49,,0.0,0.0,,41.2
高桑裕恵,柏エンゼルクロス,9,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
高橋美桜,ブレス浜松,13,2,10,2,1,20.0,10.0,0,0,0,1,5,1,1,3,0,0,0,,1.0,0.5,30.0,
鬼塚雛子,GSS東京サンビームズ,20,31,172,54,16,31.4,22.1,0,0,0,3,74,7,6,24,119,43,39,,1.74,0.1,15.5,52.5
鶴ヶ崎佳寿葉,柏エンゼルクロス,14,54,0,0,0,,,0,0,0,0,0,0,0,0,246,142,52,,0.0,0.0,,68.3
黒木麻衣,柏エンゼルクロス,6,52,67,27,3,40.3,35.8,1,1,0,18,192,19,8,73,2,0,0,100.0,0.52,0.35,18.4,0.0
齊藤葉月,柏エンゼルクロス,12,33,234,49,10,20.9,16.7,0,0,0,5,116,4,9,53,125,56,34,,1.48,0.15,12.9,58.4
