試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2017-11-04,2017-11,ブレス浜松,1,,熊本比奈,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,ブレス浜松,5,,菅井美貴,4,■,■,■,■,,7,1,0,0.14285714285714285,0.14285714285714285,0.25,0,0,0,-,0,-,12,0,0,1,2.1,2,1,0,50.0
2017-11-04,2017-11,ブレス浜松,6,,柴小屋志織,4,■,■,■,■,,26,8,2,0.3076923076923077,0.2307692307692308,2.00,2,0,0,0.0,1,0.25,13,0,1,4,5.8,1,1,0,100.0
2017-11-04,2017-11,ブレス浜松,7,L,徳田亜留美,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,16,1,75.0
2017-11-04,2017-11,ブレス浜松,8,,菅原麻衣,4,■,■,■,■,,48,14,5,0.2916666666666667,0.1875,3.50,5,0,2,0.0,1,0.25,16,1,0,7,17.2,0,0,0,-
2017-11-04,2017-11,ブレス浜松,9,,和田法子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,ブレス浜松,10,,多田遥,4,■,■,■,■,,67,24,4,0.3582089552238806,0.29850746268656714,6.00,18,3,3,16.7,0,-,13,1,1,5,15.4,15,5,4,46.7
2017-11-04,2017-11,ブレス浜松,11,,加藤彩夏,4,■,■,■,□,,24,4,3,0.16666666666666666,0.041666666666666664,1.00,0,0,0,-,1,0.25,11,0,0,2,4.5,12,8,0,66.7
2017-11-04,2017-11,ブレス浜松,13,,高橋美桜,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,ブレス浜松,15,,小松沙季,4,■,■,■,■,,22,3,2,0.13636363636363635,0.045454545454545456,0.75,0,0,0,-,0,-,20,0,2,4,2.5,30,11,10,53.3
2017-11-04,2017-11,ブレス浜松,18,,春田詩織,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,ブレス浜松,20,,澁谷美妃,2,,,□,■,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2017-11-04,2017-11,柏エンゼルクロス,1,,鈴木遥,2,,,□,□,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0,1,50.0
2017-11-04,2017-11,柏エンゼルクロス,3,,山本直美,3,,□,■,■,,45,15,5,0.3333333333333333,0.2222222222222222,5.00,0,0,0,-,0,-,18,2,0,4,16.7,16,5,3,40.6
2017-11-04,2017-11,柏エンゼルクロス,4,,石川綾菜,2,■,■,,,,10,1,1,0.1,0.0,0.50,0,0,0,-,0,-,3,0,1,0,-8.3,5,4,0,80.0
2017-11-04,2017-11,柏エンゼルクロス,5,,田中実季,4,■,■,■,■,,58,13,5,0.2241379310344828,0.13793103448275862,3.25,4,0,2,0.0,1,0.25,15,0,2,8,10.0,7,3,1,50.0
2017-11-04,2017-11,柏エンゼルクロス,6,,黒木麻衣,4,■,■,■,■,,4,1,0,0.25,0.25,0.25,0,0,0,-,1,0.25,20,2,2,5,13.8,0,0,0,-
2017-11-04,2017-11,柏エンゼルクロス,8,,末代真歩,4,■,■,■,■,,26,9,1,0.3461538461538461,0.3076923076923077,2.25,0,0,0,-,2,0.50,9,0,0,2,5.6,0,0,0,-
2017-11-04,2017-11,柏エンゼルクロス,9,L,高桑裕恵,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,柏エンゼルクロス,10,,楠木舞美子,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2017-11-04,2017-11,柏エンゼルクロス,11,,萩原希,4,■,■,■,■,,26,11,1,0.4230769230769231,0.38461538461538464,2.75,0,0,0,-,0,-,10,0,1,3,5.0,32,19,5,67.2
2017-11-04,2017-11,柏エンゼルクロス,12,,齊藤葉月,1,□,,,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,2,2,0,100.0
2017-11-04,2017-11,柏エンゼルクロス,14,L,鶴ヶ崎佳寿葉,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,15,2,80.0
2017-11-04,2017-11,柏エンゼルクロス,16,,名原寧音,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,柏エンゼルクロス,17,,小清水茉弥,4,■,■,■,■,,25,9,0,0.36,0.36,2.25,2,0,0,0.0,1,0.25,12,1,1,3,12.5,0,0,0,-
2017-11-04,2017-11,群馬銀行グリーンウイングス,2,,磯野明日香,3,■,■,■,,,19,13,1,0.6842105263157895,0.631578947368421,4.33,0,0,0,-,2,0.67,12,3,2,7,35.4,0,0,0,-
2017-11-04,2017-11,群馬銀行グリーンウイングス,3,,鈴木日葵,3,■,■,■,,,11,4,0,0.3636363636363637,0.3636363636363637,1.33,0,0,0,-,1,0.33,13,0,4,2,-3.8,0,0,0,-
2017-11-04,2017-11,群馬銀行グリーンウイングス,4,,小林愛里,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,群馬銀行グリーンウイングス,5,,田中瑠奈,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0
2017-11-04,2017-11,群馬銀行グリーンウイングス,6,,栗田楓,3,■,■,■,,,2,0,0,0.0,0.0,-,0,0,0,-,1,0.33,8,0,0,3,9.4,0,0,0,-
2017-11-04,2017-11,群馬銀行グリーンウイングス,7,,寺坂茜,3,■,■,■,,,27,12,2,0.4444444444444444,0.3703703703703704,4.00,0,0,0,-,0,-,18,2,3,4,12.5,0,0,0,-
2017-11-04,2017-11,群馬銀行グリーンウイングス,8,L,谷内真美,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,6,2,77.8
2017-11-04,2017-11,群馬銀行グリーンウイングス,9,,丸山佳穂,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
