名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三好紗弥香,2017-11,群馬銀行グリーンウイングス,11,66,19,110,29,8,26.4,19.1,0,0,0,1,72,5,6,20,115,40,33,,1.53,0.05,11.8,49.1
三好紗弥香,2017-12,群馬銀行グリーンウイングス,11,24,4,25,7,0,28.0,28.0,0,0,0,1,12,2,0,5,18,5,5,,1.75,0.25,27.1,41.7
三好紗弥香,2018-01,群馬銀行グリーンウイングス,11,4,10,0,0,0,,,0,0,0,0,14,0,0,6,0,0,0,,0.0,0.0,10.7,
三好紗弥香,2018-02,群馬銀行グリーンウイングス,11,6,5,0,0,0,,,0,0,0,0,6,0,0,1,0,0,0,,0.0,0.0,4.2,
三浦あゆみ,2017-11,GSS東京サンビームズ,8,66,18,0,0,0,,,0,0,0,0,0,0,0,0,98,44,18,,0.0,0.0,,54.1
三浦あゆみ,2017-12,GSS東京サンビームズ,8,24,6,0,0,0,,,0,0,0,0,0,0,0,0,9,4,0,,0.0,0.0,,44.4
三浦あゆみ,2018-01,GSS東京サンビームズ,8,3,9,0,0,0,,,0,0,0,0,0,0,0,0,9,3,2,,0.0,0.0,,44.4
三浦あゆみ,2018-02,GSS東京サンビームズ,8,6,8,1,0,0,0.0,0.0,1,0,0,0,0,0,0,0,5,0,3,0.0,0.0,0.0,,30.0
三澤未憂,2017-11,プレステージ・インターナショナルアランマーレ,10,66,17,7,0,1,0.0,-14.3,0,0,0,1,16,0,1,8,24,9,7,,0.0,0.06,10.9,52.1
三澤未憂,2017-12,プレステージ・インターナショナルアランマーレ,10,24,4,0,0,0,,,0,0,0,0,6,0,1,2,5,3,1,,0.0,0.0,4.2,70.0
三澤未憂,2018-01,プレステージ・インターナショナルアランマーレ,10,2,3,0,0,0,,,0,0,0,0,0,0,0,0,2,1,0,,0.0,0.0,,50.0
三澤未憂,2018-02,プレステージ・インターナショナルアランマーレ,10,10,5,6,0,0,0.0,0.0,0,0,0,0,14,1,0,9,14,8,0,,0.0,0.0,23.2,57.1
不破沙耶佳,2017-11,大阪スーペリアーズ,15,66,20,158,46,15,29.1,19.6,14,2,3,5,73,9,3,16,57,23,16,14.3,2.3,0.25,16.8,54.4
不破沙耶佳,2017-12,大阪スーペリアーズ,15,48,13,134,38,16,28.4,16.4,7,2,1,0,39,5,2,19,72,26,10,28.6,2.92,0.0,23.7,43.1
不破沙耶佳,2018-01,大阪スーペリアーズ,15,2,6,56,16,8,28.6,14.3,0,0,0,2,17,2,1,3,32,10,9,,2.67,0.33,14.7,45.3
不破沙耶佳,2018-02,大阪スーペリアーズ,15,6,9,89,27,5,30.3,24.7,3,0,0,0,27,4,3,4,48,14,11,0.0,3.0,0.0,15.7,40.6
中田香澄,2017-11,プレステージ・インターナショナルアランマーレ,5,66,19,51,15,0,29.4,29.4,0,0,0,0,20,2,0,5,8,3,2,,0.79,0.0,16.2,50.0
中田香澄,2017-12,プレステージ・インターナショナルアランマーレ,5,24,6,28,9,1,32.1,28.6,0,0,0,0,10,1,2,2,3,1,1,,1.5,0.0,10.0,50.0
中田香澄,2018-01,プレステージ・インターナショナルアランマーレ,5,2,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中田香澄,2018-02,プレステージ・インターナショナルアランマーレ,5,6,3,3,2,0,66.7,66.7,0,0,0,0,3,0,0,0,0,0,0,,0.67,0.0,0.0,
中西萌恵,2017-12,大阪スーペリアーズ,4,24,6,33,12,2,36.4,30.3,0,0,0,1,21,0,1,7,1,1,0,,2.0,0.17,7.1,100.0
丸山佳穂,2017-11,群馬銀行グリーンウイングス,9,66,15,0,0,0,,,0,0,0,0,21,1,0,6,0,0,0,,0.0,0.0,11.9,
丸山佳穂,2017-12,群馬銀行グリーンウイングス,9,24,5,0,0,0,,,0,0,0,0,10,0,1,2,0,0,0,,0.0,0.0,2.5,
丹野瑞希,2017-11,プレステージ・インターナショナルアランマーレ,14,66,24,215,70,14,32.6,26.0,1,0,0,3,71,3,2,22,12,2,5,0.0,2.92,0.12,11.3,37.5
丹野瑞希,2017-12,プレステージ・インターナショナルアランマーレ,14,24,8,58,11,1,19.0,17.2,0,0,0,1,19,0,1,8,5,1,1,,1.38,0.12,9.2,30.0
丹野瑞希,2018-01,プレステージ・インターナショナルアランマーレ,14,2,1,11,3,1,27.3,18.2,0,0,0,0,5,0,1,2,0,0,0,,3.0,0.0,5.0,
丹野瑞希,2018-02,プレステージ・インターナショナルアランマーレ,14,10,6,20,6,0,30.0,30.0,0,0,0,0,7,0,0,0,0,0,0,,1.0,0.0,0.0,
佐藤円,2017-11,プレステージ・インターナショナルアランマーレ,3,66,24,0,0,0,,,0,0,0,0,0,0,0,0,82,29,28,,0.0,0.0,,52.4
佐藤円,2017-12,プレステージ・インターナショナルアランマーレ,3,24,8,0,0,0,,,0,0,0,0,0,0,0,0,36,17,6,,0.0,0.0,,55.6
佐藤円,2018-01,プレステージ・インターナショナルアランマーレ,3,2,9,0,0,0,,,0,0,0,0,0,0,0,0,30,14,8,,0.0,0.0,,60.0
佐藤円,2018-02,プレステージ・インターナショナルアランマーレ,3,10,19,0,0,0,,,0,0,0,0,0,0,0,0,58,19,18,,0.0,0.0,,48.3
佐藤梨夏,2017-11,プレステージ・インターナショナルアランマーレ,12,66,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
佐藤梨夏,2017-12,プレステージ・インターナショナルアランマーレ,12,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤梨夏,2018-01,プレステージ・インターナショナルアランマーレ,12,1,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
佐藤梨夏,2018-02,プレステージ・インターナショナルアランマーレ,12,8,3,0,0,0,,,0,0,0,0,3,0,1,2,0,0,0,,0.0,0.0,8.3,
入江彩水,2017-12,大阪スーペリアーズ,22,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
入江彩水,2018-02,大阪スーペリアーズ,22,6,6,4,0,0,0.0,0.0,0,0,0,1,7,1,1,0,0,0,0,,0.0,0.17,10.7,
加藤彩夏,2017-11,ブレス浜松,11,66,21,127,31,10,24.4,16.5,0,0,0,3,60,3,0,15,110,46,16,,1.48,0.14,11.2,49.1
加藤彩夏,2017-12,ブレス浜松,11,48,14,74,21,4,28.4,23.0,0,0,0,2,31,0,2,4,66,25,15,,1.5,0.14,1.6,49.2
加藤彩夏,2018-01,ブレス浜松,11,2,7,53,14,2,26.4,22.6,1,0,0,4,15,0,0,1,21,10,7,0.0,2.0,0.57,1.7,64.3
加藤彩夏,2018-02,ブレス浜松,11,6,12,68,19,2,27.9,25.0,0,0,0,2,27,0,1,6,24,5,6,,1.58,0.17,4.6,33.3
勝見咲子,2017-11,GSS東京サンビームズ,29,66,20,226,65,24,28.8,18.1,16,2,3,4,78,8,5,33,71,18,19,12.5,3.25,0.2,19.2,38.7
勝見咲子,2017-12,GSS東京サンビームズ,29,24,9,80,28,5,35.0,28.7,6,1,0,1,37,2,2,16,19,5,3,16.7,3.11,0.11,14.9,34.2
勝見咲子,2018-01,GSS東京サンビームズ,29,1,3,22,6,0,27.3,27.3,0,0,0,0,8,0,0,2,2,0,1,,2.0,0.0,6.2,25.0
勝見咲子,2018-02,GSS東京サンビームズ,29,8,15,91,30,5,33.0,27.5,2,1,0,0,26,1,2,11,4,1,1,50.0,2.0,0.0,12.5,37.5
南涼音,2017-11,大阪スーペリアーズ,17,66,7,0,0,0,,,0,0,0,0,0,0,0,0,44,15,8,,0.0,0.0,,43.2
南涼音,2017-12,大阪スーペリアーズ,17,48,6,0,0,0,,,0,0,0,0,0,0,0,0,32,15,4,,0.0,0.0,,53.1
南涼音,2018-01,大阪スーペリアーズ,17,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
南涼音,2018-02,大阪スーペリアーズ,17,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
原まなみ,2017-11,大阪スーペリアーズ,1,66,20,1,0,0,0.0,0.0,0,0,0,0,55,2,1,15,1,0,0,,0.0,0.0,10.0,0.0
原田美愛実,2017-11,柏エンゼルクロス,15,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
原田茉由,2017-11,大阪スーペリアーズ,13,44,13,73,18,4,24.7,19.2,0,0,0,0,48,2,4,19,126,35,42,,1.38,0.0,12.0,44.4
原田茉由,2017-12,大阪スーペリアーズ,13,48,12,22,5,5,22.7,0.0,0,0,0,0,18,1,1,7,48,19,9,,0.42,0.0,13.9,49.0
原田茉由,2018-01,大阪スーペリアーズ,13,2,6,5,0,1,0.0,-20.0,0,0,0,0,2,0,0,0,9,3,2,,0.0,0.0,0.0,44.4
原田茉由,2018-02,大阪スーペリアーズ,13,4,2,9,4,0,44.4,44.4,0,0,0,0,3,0,0,1,15,5,3,,2.0,0.0,8.3,43.3
古市彩音,2017-12,群馬銀行グリーンウイングス,15,24,4,6,1,1,16.7,0.0,0,0,0,0,9,0,0,4,0,0,0,,0.25,0.0,11.1,
古市彩音,2018-01,群馬銀行グリーンウイングス,15,4,4,6,4,0,66.7,66.7,0,0,0,1,10,0,0,1,0,0,0,,1.0,0.25,2.5,
古市彩音,2018-02,群馬銀行グリーンウイングス,15,6,12,9,4,1,44.4,33.3,1,0,0,1,27,0,0,5,0,0,0,0.0,0.33,0.08,4.6,
名原寧音,2017-11,柏エンゼルクロス,16,66,5,1,0,0,0.0,0.0,0,0,0,0,17,2,1,5,0,0,0,,0.0,0.0,17.6,
名原寧音,2017-12,柏エンゼルクロス,16,24,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
名原寧音,2018-01,柏エンゼルクロス,16,3,2,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,,0.0,0.0,12.5,
名原寧音,2018-02,柏エンゼルクロス,16,8,3,1,0,0,0.0,0.0,0,0,0,1,2,0,0,0,0,0,0,,0.0,0.33,0.0,
和田法子,2017-11,ブレス浜松,9,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
和田法子,2017-12,ブレス浜松,9,24,4,14,6,0,42.9,42.9,0,0,0,0,3,1,0,0,2,2,0,,1.5,0.0,33.3,100.0
和田法子,2018-01,ブレス浜松,9,2,3,8,2,1,25.0,12.5,0,0,0,0,2,0,0,0,2,1,0,,0.67,0.0,0.0,50.0
和田法子,2018-02,ブレス浜松,9,6,2,2,2,0,100.0,100.0,0,0,0,1,1,0,1,0,0,0,0,,1.0,0.5,-25.0,
土屋智菜実,2017-11,群馬銀行グリーンウイングス,12,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
土屋智菜実,2017-12,群馬銀行グリーンウイングス,12,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
土屋智菜実,2018-01,群馬銀行グリーンウイングス,12,4,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
土屋智菜実,2018-02,群馬銀行グリーンウイングス,12,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂根朱里,2017-11,大阪スーペリアーズ,8,66,20,237,69,23,29.1,19.4,37,10,4,1,64,1,8,22,15,4,1,27.0,3.45,0.05,7.0,30.0
坂根朱里,2017-12,大阪スーペリアーズ,8,48,11,47,10,5,21.3,10.6,4,0,1,4,27,3,3,11,5,5,0,0.0,0.91,0.36,18.5,100.0
坂根朱里,2018-01,大阪スーペリアーズ,8,2,6,34,5,0,14.7,14.7,0,0,0,1,17,0,3,3,3,0,3,,0.83,0.17,0.0,50.0
坂根朱里,2018-02,大阪スーペリアーズ,8,6,9,37,10,5,27.0,13.5,0,0,0,1,28,1,1,9,0,0,0,,1.11,0.11,10.7,
城野真衣,2017-12,柏エンゼルクロス,2,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
城野真衣,2018-01,柏エンゼルクロス,2,3,6,54,20,5,37.0,27.8,0,0,0,0,21,4,2,5,32,10,10,,3.33,0.0,22.6,46.9
城野真衣,2018-02,柏エンゼルクロス,2,8,2,4,0,1,0.0,-25.0,0,0,0,0,3,0,1,1,7,4,3,,0.0,0.0,0.0,78.6
堀部ジェニファー,2017-11,GSS東京サンビームズ,13,44,5,0,0,0,,,0,0,0,0,4,0,0,0,10,7,1,,0.0,0.0,0.0,75.0
堀部ジェニファー,2017-12,GSS東京サンビームズ,13,12,4,0,0,0,,,0,0,0,0,0,0,0,0,10,4,1,,0.0,0.0,,45.0
堀部ジェニファー,2018-02,GSS東京サンビームズ,13,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
多田遥,2017-11,ブレス浜松,10,66,21,291,117,18,40.2,34.0,56,14,7,4,76,4,3,27,81,27,25,25.0,5.57,0.19,13.2,48.8
多田遥,2017-12,ブレス浜松,10,48,16,186,61,10,32.8,27.4,19,5,2,6,52,0,3,10,66,20,9,26.3,3.81,0.38,3.4,37.1
多田遥,2018-01,ブレス浜松,10,2,7,74,14,10,18.9,5.4,13,1,1,1,22,1,0,9,25,9,6,7.7,2.0,0.14,14.8,48.0
多田遥,2018-02,ブレス浜松,10,6,12,115,49,7,42.6,36.5,4,1,0,2,47,5,3,19,20,4,7,25.0,4.08,0.17,19.1,37.5
大原萌,2017-11,GSS東京サンビームズ,19,22,3,0,0,0,,,0,0,0,0,0,0,0,0,14,8,2,,0.0,0.0,,64.3
