名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
杉山マルコス,02,堺ブレイザーズ,17,10,79,42,10,53.2,40.5,20,12,3,1,37,3,8,7,83,64,0,46,60.0,4.2,0.1,7.4,77.1
栗原圭介,02,サントリーサンバーズ,6,11,3,0,0,0.0,0.0,1,0,0,1,42,2,1,10,1,0,0,3,0.0,0.0,0.1,10.1,0.0
栗原圭介,03,サントリーサンバーズ,6,8,1,1,0,100.0,100.0,0,0,0,1,29,2,2,5,0,0,0,4,,0.1,0.1,9.5,
桑田鎮典,02,サントリーサンバーズ,9,4,8,3,1,37.5,25.0,1,1,0,1,5,1,2,1,10,6,0,5,100.0,0.8,0.2,15.0,60.0
桑田鎮典,03,サントリーサンバーズ,9,2,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
河野裕輔,02,JTサンダーズ,4,4,19,8,1,42.1,36.8,1,1,0,1,14,0,2,2,16,8,0,9,100.0,2.0,0.2,0.0,50.0
津曲勝利,02,サントリーサンバーズ,11,12,0,0,0,,,0,0,0,0,0,0,0,0,54,32,0,0,,0.0,0.0,,59.3
津曲勝利,03,サントリーサンバーズ,11,8,0,0,0,,,0,0,0,0,0,0,0,0,56,38,0,0,,0.0,0.0,,67.9
浅倉勇,02,パナソニックパンサーズ,3,7,6,0,2,0.0,-33.3,0,0,0,0,9,0,2,6,6,4,0,0,,0.0,0.0,11.1,66.7
浅倉勇,03,パナソニックパンサーズ,3,4,4,2,0,50.0,50.0,0,0,0,1,5,1,3,0,0,0,0,4,,0.5,0.2,5.0,
清水雅之,02,サントリーサンバーズ,4,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
清水雅之,03,サントリーサンバーズ,4,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
渡邊友嗣,03,堺ブレイザーズ,7,4,34,19,4,55.9,44.1,16,6,2,0,13,1,4,2,31,22,0,20,37.5,4.8,0.0,3.8,71.0
澤畠雄一郎,02,堺ブレイザーズ,1,12,39,20,1,51.3,48.7,0,0,0,4,26,0,4,6,5,5,0,24,,1.7,0.3,1.9,100.0
澤畠雄一郎,03,堺ブレイザーズ,1,4,13,5,0,38.5,38.5,0,0,0,2,9,0,1,3,1,1,0,7,,1.2,0.5,5.6,100.0
牛尾正和,02,パナソニックパンサーズ,10,6,2,1,0,50.0,50.0,0,0,0,2,23,1,0,3,0,0,0,4,,0.2,0.3,7.6,
牛尾正和,03,パナソニックパンサーズ,10,4,1,0,0,0.0,0.0,0,0,0,0,13,0,0,1,1,0,0,0,,0.0,0.0,1.9,0.0
甲斐祐之,02,堺ブレイザーズ,10,4,38,11,2,28.9,23.7,8,0,1,3,18,1,3,5,17,12,0,15,0.0,2.8,0.8,8.3,70.6
