名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カントルサンドロ,パナソニックパンサーズ,22,9,17,135,67,11,49.6,41.5,16,5,5,10,65,5,16,27,95,63,0,82,31.2,3.94,0.59,11.9,66.3
サベリエフイリア,JTサンダーズ,21,10,15,133,67,17,50.4,37.6,26,15,6,6,57,4,13,21,93,59,0,77,57.7,4.47,0.4,10.5,63.4
ジルソンベルナルド,サントリーサンバーズ,16,12,20,212,109,22,51.4,41.0,85,48,10,4,72,11,14,27,0,0,0,124,56.5,5.45,0.2,19.8,
ビリングスブルック,堺ブレイザーズ,19,9,13,71,27,7,38.0,28.2,31,14,4,5,37,0,5,8,0,0,0,32,45.2,2.08,0.38,2.0,
下田悟,JTサンダーズ,7,2,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,2,0,0,,0.0,0.0,,50.0
中垣内祐一,堺ブレイザーズ,4,9,7,51,20,5,39.2,29.4,29,11,4,3,21,0,2,5,0,0,0,23,37.9,2.86,0.43,3.6,
丹山禎昭,JTサンダーズ,5,2,4,0,0,0,,,0,0,0,1,6,0,1,3,0,0,0,1,,0.0,0.25,8.3,
久保尚志,パナソニックパンサーズ,11,9,15,1,1,0,100.0,100.0,1,1,0,0,17,0,4,6,3,1,0,1,100.0,0.07,0.0,2.9,33.3
今井啓介,パナソニックパンサーズ,4,9,17,34,16,7,47.1,26.5,0,0,0,14,30,1,3,3,0,0,0,31,,0.94,0.82,3.3,
伊勢隆一,JTサンダーズ,14,2,3,6,1,0,16.7,16.7,1,0,0,2,8,1,1,0,0,0,0,4,0.0,0.33,0.67,9.4,
伊藤信博,堺ブレイザーズ,15,9,16,24,11,2,45.8,37.5,1,0,1,8,52,6,11,15,0,0,0,25,0.0,0.69,0.5,13.5,
佐々木太一,サントリーサンバーズ,2,12,20,45,22,2,48.9,44.4,0,0,0,12,46,1,11,10,7,6,0,35,,1.1,0.6,1.6,85.7
内冨寛法,JTサンダーズ,17,12,12,63,31,11,49.2,31.7,23,11,4,2,28,1,6,9,2,2,0,34,47.8,2.58,0.17,6.2,100.0
前田悟,JTサンダーズ,11,12,15,10,7,0,70.0,70.0,0,0,0,1,23,0,8,4,0,0,0,8,,0.47,0.07,-4.3,
北川祐介,パナソニックパンサーズ,9,9,17,27,15,1,55.6,51.9,0,0,0,16,51,0,0,1,11,7,0,31,,0.88,0.94,0.5,63.6
千葉進也,堺ブレイザーズ,6,9,16,92,37,6,40.2,33.7,13,5,1,2,46,3,2,15,79,50,0,42,38.5,2.31,0.12,13.6,63.3
吉田譲,サントリーサンバーズ,19,12,12,0,0,0,,,0,0,0,0,19,2,7,3,0,0,0,2,,0.0,0.0,5.3,
坂本雄一郎,サントリーサンバーズ,3,12,8,11,6,0,54.5,54.5,0,0,0,3,15,0,0,4,0,0,0,9,,0.75,0.38,6.7,
増村雅尚,堺ブレイザーズ,3,9,12,20,10,2,50.0,40.0,1,0,0,1,13,1,1,4,28,7,0,12,0.0,0.83,0.08,13.5,25.0
増野彰,堺ブレイザーズ,11,9,16,0,0,0,,,0,0,0,0,0,0,0,0,86,55,0,0,,0.0,0.0,,64.0
宮下雅寛,JTサンダーズ,1,10,13,21,7,1,33.3,28.6,1,0,0,9,63,3,5,16,1,1,0,19,0.0,0.54,0.69,9.1,100.0
小糸敬夫,パナソニックパンサーズ,6,9,17,0,0,0,,,0,0,0,0,0,0,0,0,71,51,0,0,,0.0,0.0,,71.8
小西健太,堺ブレイザーズ,0,9,12,0,0,0,,,0,0,0,0,20,1,3,7,0,0,0,1,,0.0,0.0,10.0,
尾上健司,JTサンダーズ,20,12,11,19,12,2,63.2,52.6,0,0,0,4,34,0,2,7,0,0,0,16,,1.09,0.36,3.7,
山本健之,JTサンダーズ,12,10,15,0,0,0,,,0,0,0,0,0,0,0,0,73,55,0,0,,0.0,0.0,,75.3
山本隆弘,パナソニックパンサーズ,5,9,17,147,66,14,44.9,35.4,59,32,7,6,67,6,27,23,1,0,0,78,54.2,3.88,0.35,7.5,0.0
山村宏太,サントリーサンバーズ,1,12,16,36,20,2,55.6,50.0,0,0,0,9,39,1,0,6,3,1,0,30,,1.25,0.56,6.4,33.3
岩田正之,パナソニックパンサーズ,7,5,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
岸本一馬,パナソニックパンサーズ,1,9,7,1,1,0,100.0,100.0,0,0,0,0,2,0,2,0,0,0,0,1,,0.14,0.0,-25.0,
川村慎二,パナソニックパンサーズ,8,9,17,83,38,3,45.8,42.2,15,8,0,1,73,4,10,25,117,82,0,43,53.3,2.24,0.06,10.6,70.1
市橋祐之,堺ブレイザーズ,5,9,16,5,4,0,80.0,80.0,0,0,0,2,59,0,2,19,0,0,0,6,,0.25,0.12,7.2,
平野信孝,JTサンダーズ,2,12,11,39,12,5,30.8,17.9,5,0,1,4,34,0,6,11,48,32,0,16,0.0,1.09,0.36,3.7,66.7
後山博史,パナソニックパンサーズ,14,6,7,0,0,0,,,0,0,0,0,9,0,3,4,0,0,0,0,,0.0,0.0,2.8,
徳元幸人,JTサンダーズ,8,10,13,63,31,4,49.2,42.9,0,0,0,2,39,0,2,7,78,58,0,33,,2.38,0.15,3.2,74.4
成田貴志,堺ブレイザーズ,8,9,2,1,0,0,0.0,0.0,0,0,0,0,5,0,0,1,0,0,0,0,,0.0,0.0,5.0,
日高誠,JTサンダーズ,16,12,3,3,3,0,100.0,100.0,0,0,0,1,6,0,2,2,0,0,0,4,,1.0,0.33,0.0,
杉山マルコス,堺ブレイザーズ,17,6,10,79,42,10,53.2,40.5,20,12,3,1,37,3,8,7,83,64,0,46,60.0,4.2,0.1,7.4,77.1
栗原圭介,サントリーサンバーズ,6,12,19,4,1,0,25.0,25.0,1,0,0,2,71,4,3,15,1,0,0,7,0.0,0.05,0.11,9.9,0.0
桑田鎮典,サントリーサンバーズ,9,12,6,8,3,1,37.5,25.0,1,1,0,1,5,1,2,1,11,7,0,5,100.0,0.5,0.17,15.0,63.6
河野裕輔,JTサンダーズ,4,2,4,19,8,1,42.1,36.8,1,1,0,1,14,0,2,2,16,8,0,9,100.0,2.0,0.25,0.0,50.0
津曲勝利,サントリーサンバーズ,11,12,20,0,0,0,,,0,0,0,0,0,0,0,0,110,70,0,0,,0.0,0.0,,63.6
浅倉勇,パナソニックパンサーズ,3,9,11,10,2,2,20.0,0.0,0,0,0,1,14,1,5,6,6,4,0,4,,0.18,0.09,8.9,66.7
清水雅之,サントリーサンバーズ,4,12,5,0,0,0,,,0,0,0,0,6,0,0,0,0,0,0,0,,0.0,0.0,0.0,
渡邊友嗣,堺ブレイザーズ,7,3,4,34,19,4,55.9,44.1,16,6,2,0,13,1,4,2,31,22,0,20,37.5,4.75,0.0,3.8,71.0
澤畠雄一郎,堺ブレイザーズ,1,9,16,52,25,1,48.1,46.2,0,0,0,6,35,0,5,9,6,6,0,31,,1.56,0.38,2.9,100.0
牛尾正和,パナソニックパンサーズ,10,9,10,3,1,0,33.3,33.3,0,0,0,2,36,1,0,4,1,0,0,4,,0.1,0.2,5.6,0.0
甲斐祐之,堺ブレイザーズ,10,2,4,38,11,2,28.9,23.7,8,0,1,3,18,1,3,5,17,12,0,15,0.0,2.75,0.75,8.3,70.6
町野仁志,JTサンダーズ,18,2,1,1,0,0,0.0,0.0,0,0,0,1,2,0,0,0,3,2,0,1,,0.0,1.0,0.0,66.7
直弘龍治,JTサンダーズ,10,10,14,79,38,7,48.1,39.2,28,15,3,5,34,0,2,8,2,1,0,43,53.6,2.71,0.36,4.4,50.0
真鍋政義,パナソニックパンサーズ,18,4,8,0,0,0,,,0,0,0,0,19,0,1,5,2,1,0,0,,0.0,0.0,5.3,50.0
臺光章,JTサンダーズ,6,10,13,1,1,0,100.0,100.0,0,0,0,5,31,0,5,3,0,0,0,6,,0.08,0.38,-1.6,
苅谷淳司,JTサンダーズ,3,10,15,23,15,0,65.2,65.2,0,0,0,14,50,1,6,5,5,2,0,30,,1.0,0.93,1.5,40.0
荻野正二,サントリーサンバーズ,10,12,20,96,39,6,40.6,34.4,19,9,3,4,68,1,5,16,143,92,0,44,47.4,1.95,0.2,5.5,64.3
西田靖宏,サントリーサンバーズ,8,12,15,14,5,1,35.7,28.6,2,1,1,1,23,5,5,6,0,0,0,11,50.0,0.33,0.07,22.8,
越川優,サントリーサンバーズ,7,12,20,104,43,10,41.3,31.7,23,6,6,5,76,7,15,26,91,46,0,55,26.1,2.15,0.25,12.8,50.5
酒井大祐,JTサンダーズ,15,2,4,0,0,0,,,0,0,0,0,0,0,0,0,21,12,0,0,,0.0,0.0,,57.1
金井修也,堺ブレイザーズ,21,7,6,0,0,0,,,0,0,0,0,10,1,4,5,0,0,0,1,,0.0,0.0,12.5,
飯塚俊彦,JTサンダーズ,9,2,3,9,6,0,66.7,66.7,5,4,0,0,5,0,2,1,0,0,0,6,80.0,2.0,0.0,-5.0,
高山博旭,パナソニックパンサーズ,2,3,1,0,0,0,,,0,0,0,0,3,0,1,1,0,0,0,0,,0.0,0.0,0.0,
