名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,2013-04,NECレッドロケッツ,3,4,3,0.0,11,3,1,27.3,18.2,6,1,1,0,3,0,0,0,0,0,0,3,16.7,1.0,0.0,0.0,
パウリノエリサンジェラ,2013-04,久光製薬スプリングス,14,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中道瞳,2013-04,東レアローズ,3,4,3,0.0,0,0,0,,,0,0,0,0,8,0,2,2,0,0,0,0,,0.0,0.0,0.0,
丸山亜季,2013-04,岡山シーガルズ,20,4,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,14,13,0,0,,0.0,0.0,,92.9
二見梓,2013-04,東レアローズ,14,4,3,0.0,4,1,0,25.0,25.0,0,0,0,1,5,0,2,1,0,0,0,2,,0.33,0.33,-5.0,
佐々木侑,2013-04,岡山シーガルズ,3,4,4,0.0,36,10,1,27.8,25.0,1,0,0,2,21,0,0,10,17,14,0,12,0.0,2.5,0.5,11.9,82.4
佐々木萌,2013-04,岡山シーガルズ,7,4,4,0.0,37,6,1,16.2,13.5,2,2,0,0,10,0,1,2,16,9,0,6,100.0,1.5,0.0,2.5,56.2
八幡美樹,2013-04,NECレッドロケッツ,1,4,2,0.0,13,2,0,15.4,15.4,0,0,0,0,7,0,1,0,6,2,0,2,,1.0,0.0,-3.6,33.3
内田暁子,2013-04,NECレッドロケッツ,4,4,4,0.0,36,15,2,41.7,36.1,5,0,0,1,12,0,1,7,29,18,0,16,0.0,3.75,0.25,12.5,62.1
卜部里菜,2013-04,岡山シーガルズ,22,4,2,0.0,3,1,0,33.3,33.3,0,0,0,0,4,1,0,0,0,0,0,2,,0.5,0.0,25.0,
古藤千鶴,2013-04,久光製薬スプリングス,2,4,3,0.0,1,1,0,100.0,100.0,0,0,0,2,9,0,0,4,0,0,0,3,,0.33,0.67,11.1,
吉田みなみ,2013-04,岡山シーガルズ,1,4,2,0.0,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,,0.0,0.0,25.0,
和田麻里江,2013-04,東レアローズ,5,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀川真理,2013-04,東レアローズ,13,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大野果奈,2013-04,NECレッドロケッツ,15,4,4,0.0,21,8,1,38.1,33.3,0,0,0,2,13,0,0,1,0,0,0,10,,2.0,0.5,1.9,
大野果歩,2013-04,東レアローズ,15,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮下遥,2013-04,岡山シーガルズ,14,4,4,0.0,5,3,0,60.0,60.0,0,0,0,2,13,2,0,4,0,0,0,7,,0.75,0.5,23.1,
宮田由佳里,2013-04,東レアローズ,8,4,2,0.0,3,0,1,0.0,-33.3,0,0,0,1,2,0,0,0,0,0,0,1,,0.0,0.5,0.0,
小平花織,2013-04,東レアローズ,9,4,3,0.0,28,7,2,25.0,17.9,1,0,0,0,6,0,0,1,28,19,0,7,0.0,2.33,0.0,4.2,67.9
山口舞,2013-04,岡山シーガルズ,2,4,4,0.0,30,15,0,50.0,50.0,0,0,0,2,6,0,1,1,1,1,0,17,,3.75,0.5,0.0,100.0
岡野弘子,2013-04,岡山シーガルズ,15,4,1,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
岩坂名奈,2013-04,久光製薬スプリングス,4,4,3,0.0,8,6,0,75.0,75.0,0,0,0,2,7,0,1,3,1,1,0,8,,2.0,0.67,7.1,100.0
峯村沙紀,2013-04,東レアローズ,10,4,3,0.0,5,1,0,20.0,20.0,0,0,0,0,2,0,1,0,3,1,0,1,,0.33,0.0,-12.5,33.3
島村春世,2013-04,NECレッドロケッツ,8,4,2,0.0,14,5,1,35.7,28.6,0,0,0,1,3,0,1,2,0,0,0,6,,2.5,0.5,8.3,
川島亜依美,2013-04,岡山シーガルズ,28,4,4,0.0,7,5,1,71.4,57.1,0,0,0,1,14,1,1,6,0,0,0,7,,1.25,0.25,16.1,
川畑愛希,2013-04,岡山シーガルズ,8,4,2,0.0,28,9,3,32.1,21.4,0,0,0,0,6,0,0,1,10,7,0,9,,4.5,0.0,4.2,70.0
平井香菜子,2013-04,久光製薬スプリングス,9,4,3,0.0,8,3,0,37.5,37.5,0,0,0,1,11,0,0,3,3,3,0,4,,1.0,0.33,6.8,100.0
座安琴希,2013-04,久光製薬スプリングス,10,4,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,10,6,0,0,,0.0,0.0,,60.0
張紫音,2013-04,NECレッドロケッツ,11,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
新鍋理沙,2013-04,久光製薬スプリングス,3,4,3,0.0,36,14,1,38.9,36.1,3,0,0,0,16,1,1,5,13,12,0,15,0.0,4.67,0.0,12.5,92.3
木村美里,2013-04,東レアローズ,12,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
杉山祥子,2013-04,NECレッドロケッツ,2,4,4,0.0,31,9,3,29.0,19.4,0,0,0,1,4,0,0,2,2,0,0,10,,2.25,0.25,12.5,0.0
村田奈都美,2013-04,岡山シーガルズ,12,4,3,0.0,36,6,1,16.7,13.9,0,0,0,0,4,0,0,1,12,7,0,6,,2.0,0.0,6.2,58.3
松浦麻琴,2013-04,NECレッドロケッツ,5,4,4,0.0,0,0,0,,,0,0,0,1,9,0,0,5,1,0,0,1,,0.0,0.25,13.9,0.0
水田祐未,2013-04,久光製薬スプリングス,5,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
滝口奈美,2013-04,NECレッドロケッツ,10,4,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
濱口華菜里,2013-04,東レアローズ,2,4,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,7,4,0,0,,0.0,0.0,,57.1
