試合日,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2009-03-07,03,東京ヴェルディ,1,,濱口純一,2,nan,nan,■,■,nan,6,3,1,0.5,0.3333333333333333,1.50,0,0,0,-,0,-,12,0,0,5,10.4,17,14,0,82.4
2009-03-07,03,東京ヴェルディ,2,L,吉野淳,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,39,24,0,61.5
2009-03-07,03,東京ヴェルディ,3,,古田史郎,4,□,□,■,■,nan,20,9,2,0.45,0.35,2.25,10,5,1,50.0,0,-,8,0,2,0,0.0,0,0,0,-
2009-03-07,03,東京ヴェルディ,5,L,根岸慎紘,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,東京ヴェルディ,6,,高橋洋史,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2009-03-07,03,東京ヴェルディ,7,,渡邊友嗣,3,■,■,■,nan,nan,21,8,4,0.38095238095238093,0.19047619047619047,2.67,2,1,0,50.0,1,0.33,5,0,0,3,15.0,17,10,0,58.8
2009-03-07,03,東京ヴェルディ,10,,中島悠太,3,nan,■,■,■,nan,11,4,3,0.36363636363636365,0.09090909090909091,1.33,0,0,0,-,0,-,9,0,0,3,8.3,0,0,0,-
2009-03-07,03,東京ヴェルディ,12,,奥田晃,4,■,■,■,■,nan,2,1,0,0.5,0.5,0.25,0,0,0,-,0,-,8,0,1,2,6.2,0,0,0,-
2009-03-07,03,東京ヴェルディ,14,,飯塚俊彦,4,■,■,□,■,nan,27,8,2,0.2962962962962963,0.2222222222222222,2.00,8,3,0,37.5,0,-,15,1,4,6,16.7,9,5,0,55.6
2009-03-07,03,東京ヴェルディ,15,,石川亮輔,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2009-03-07,03,東京ヴェルディ,24,,紺野圭佑,2,■,■,nan,nan,nan,9,3,2,0.3333333333333333,0.1111111111111111,1.50,3,0,1,0.0,1,0.50,7,0,2,1,3.6,0,0,0,-
2009-03-07,03,東京ヴェルディ,25,,吉田敬一郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,東京ヴェルディ,27,,溝口信二,4,■,■,■,■,nan,13,8,0,0.6153846153846154,0.6153846153846154,2.00,0,0,0,-,4,1.00,9,0,1,2,5.6,0,0,0,-
2009-03-07,03,東京ヴェルディ,28,,竹田昭徳,1,■,nan,nan,nan,nan,6,3,0,0.5,0.5,3.00,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,1,,神山哲郎,4,■,■,■,■,nan,26,13,3,0.5,0.38461538461538464,3.25,3,2,0,66.7,0,-,14,0,0,1,1.8,22,14,0,63.6
2009-03-07,03,富士通カワサキレッドスピリッツ,2,,徳武正哉,4,■,■,■,■,nan,14,4,0,0.2857142857142857,0.2857142857142857,1.00,0,0,0,-,3,0.75,10,0,2,1,2.5,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,5,,今一騎,4,■,■,■,■,nan,28,15,2,0.5357142857142857,0.4642857142857143,3.75,9,4,1,44.4,2,0.50,16,1,5,6,14.4,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,6,,三芳健斗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,7,,勝田祥平,1,nan,nan,□,nan,nan,1,0,1,0.0,-1.0,-,0,0,0,-,0,-,1,0,1,0,0.0,2,1,0,50.0
2009-03-07,03,富士通カワサキレッドスピリッツ,9,,平澤徹,4,■,■,■,■,nan,6,4,0,0.6666666666666666,0.6666666666666666,1.00,0,0,0,-,3,0.75,10,1,0,3,17.5,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,12,,松本健作,4,□,□,□,□,nan,1,0,1,0.0,-1.0,-,0,0,0,-,0,-,12,1,0,4,15.0,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,13,,渡辺聖太,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,14,,岩井浩二,4,■,■,■,■,nan,30,16,3,0.5333333333333333,0.43333333333333335,4.00,3,1,1,33.3,1,0.25,18,1,2,6,12.8,19,13,0,68.4
2009-03-07,03,富士通カワサキレッドスピリッツ,15,,北沢浩,4,■,■,■,■,nan,1,1,0,1.0,1.0,0.25,0,0,0,-,2,0.50,10,0,0,4,10.0,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,16,,呉屋宏和,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,17,L,藤森圭,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,23,16,0,69.6
2009-03-07,03,富士通カワサキレッドスピリッツ,18,L,小川直紀,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,富士通カワサキレッドスピリッツ,19,,松野昭博,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,1,0.33,0,0,0,0,-,0,0,0,-
2009-03-07,03,ジェイテクトSTINGS,1,,松田智人,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-
2009-03-07,03,ジェイテクトSTINGS,2,,金丸晃大,4,■,■,■,■,nan,15,11,2,0.7333333333333333,0.6,2.75,0,0,0,-,7,1.75,15,2,3,5,19.0,1,1,0,100.0
2009-03-07,03,ジェイテクトSTINGS,3,,小野孝宏,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,ジェイテクトSTINGS,4,,野沢憲治,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,ジェイテクトSTINGS,5,,豊田昇平,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,18,0,1,5,6.9,0,0,0,-
2009-03-07,03,ジェイテクトSTINGS,7,,小松高則,4,■,■,■,■,nan,6,4,0,0.6666666666666666,0.6666666666666666,1.00,0,0,0,-,5,1.25,19,0,0,5,6.6,0,0,0,-
2009-03-07,03,ジェイテクトSTINGS,8,,吉田雄一,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,ジェイテクトSTINGS,9,,石田敬喜,4,■,■,■,■,nan,36,17,3,0.4722222222222222,0.3888888888888889,4.25,2,2,0,100.0,1,0.25,17,0,2,8,11.8,32,21,0,65.6
2009-03-07,03,ジェイテクトSTINGS,10,,松原広輔,4,■,■,■,■,nan,21,9,3,0.42857142857142855,0.2857142857142857,2.25,1,0,1,0.0,1,0.25,15,2,5,4,18.7,11,6,0,54.5
2009-03-07,03,ジェイテクトSTINGS,11,,其原健太,1,nan,nan,□,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-
2009-03-07,03,ジェイテクトSTINGS,12,L,興梠亮,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,20,0,71.4
2009-03-07,03,ジェイテクトSTINGS,14,L,後藤大輔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,ジェイテクトSTINGS,15,,若山智昭,4,■,■,■,■,nan,42,19,4,0.4523809523809524,0.35714285714285715,4.75,16,7,1,43.8,3,0.75,14,0,3,4,7.1,1,1,0,100.0
2009-03-07,03,ジェイテクトSTINGS,18,,鬼頭浩幸,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,2,,清水大輔,4,■,■,■,■,nan,15,4,0,0.26666666666666666,0.26666666666666666,1.00,0,0,0,-,1,0.25,14,1,2,2,9.3,4,2,0,50.0
2009-03-07,03,警視庁フォートファイターズ,4,,福田健太,4,■,■,■,■,nan,12,4,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,1,0.25,12,1,0,5,18.8,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,5,,平林康裕,2,nan,nan,□,□,nan,4,2,0,0.5,0.5,1.00,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,6,,松本幸博,4,■,■,■,■,nan,33,10,3,0.30303030303030304,0.21212121212121213,2.50,2,1,1,50.0,2,0.50,16,0,2,7,10.9,34,15,0,44.1
2009-03-07,03,警視庁フォートファイターズ,7,,井上人哉,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,8,L,石川俊輔,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,8,0,72.7
2009-03-07,03,警視庁フォートファイターズ,9,,立田哲雄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,10,,岩知道呂夫,4,■,■,■,■,nan,3,2,0,0.6666666666666666,0.6666666666666666,0.50,1,1,0,100.0,3,0.75,14,0,4,5,8.9,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,11,,下田健一,3,■,nan,□,■,nan,34,11,0,0.3235294117647059,0.3235294117647059,3.67,14,3,0,21.4,0,-,8,0,2,0,0.0,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,15,,堀江賢司,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,16,L,木村有希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,20,,鈴木雅史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,警視庁フォートファイターズ,21,,幸田英知,4,■,■,■,■,nan,21,6,2,0.2857142857142857,0.19047619047619047,1.50,0,0,0,-,1,0.25,12,0,0,2,4.2,34,24,0,70.6
2009-03-07,03,警視庁フォートファイターズ,24,,中田学,3,□,■,■,nan,nan,16,4,3,0.25,0.0625,1.33,4,2,1,50.0,0,-,4,0,1,1,6.2,0,0,0,-
2009-03-07,03,FC東京,2,L,辻裕作,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,29,20,0,69.0
2009-03-07,03,FC東京,3,,福田誉,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,1,0,0,0.0
2009-03-07,03,FC東京,6,,山内隆宏,3,■,■,■,nan,nan,2,1,0,0.5,0.5,0.33,0,0,0,-,0,-,17,1,0,4,11.8,0,0,0,-
2009-03-07,03,FC東京,8,,大庭健裕,3,■,■,■,nan,nan,4,3,1,0.75,0.5,1.00,0,0,0,-,2,0.67,6,0,0,1,4.2,0,0,0,-
2009-03-07,03,FC東京,9,,伊東克明,3,■,■,■,nan,nan,17,8,2,0.47058823529411764,0.35294117647058826,2.67,1,0,0,0.0,0,-,13,0,2,3,5.8,11,7,0,63.6
2009-03-07,03,FC東京,10,,山岡祐也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,FC東京,12,,阿部篤史,3,■,■,■,nan,nan,28,12,6,0.42857142857142855,0.21428571428571427,4.00,9,5,3,55.6,3,1.00,10,0,1,2,5.0,0,0,0,-
2009-03-07,03,FC東京,14,,加賀龍哉,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,FC東京,15,L,中谷宏大,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,FC東京,16,,野中信也,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,2,2,0,100.0
2009-03-07,03,FC東京,17,,橋場正裕,3,■,■,■,nan,nan,22,16,2,0.7272727272727273,0.6363636363636364,5.33,5,2,2,40.0,1,0.33,10,0,2,4,10.0,18,15,0,83.3
2009-03-07,03,FC東京,18,,山本雄史,3,■,■,■,nan,nan,12,9,0,0.75,0.75,3.00,0,0,0,-,3,1.00,10,0,0,2,5.0,0,0,0,-
2009-03-07,03,FC東京,19,,鎌田智勝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,FC東京,25,,杉崎大和,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,1,1,25.0,0,0,0,-
2009-03-07,03,大同特殊鋼レッドスター,2,,川波博次,3,■,■,■,nan,nan,12,6,0,0.5,0.5,2.00,0,0,0,-,0,-,8,0,1,3,9.4,6,3,0,50.0
2009-03-07,03,大同特殊鋼レッドスター,3,,田中紳太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,大同特殊鋼レッドスター,4,,倉田真,3,■,■,■,nan,nan,19,6,0,0.3157894736842105,0.3157894736842105,2.00,0,0,0,-,0,-,14,0,2,4,7.1,28,20,0,71.4
2009-03-07,03,大同特殊鋼レッドスター,6,,辰巳佳靖,3,■,■,■,nan,nan,24,14,2,0.5833333333333334,0.5,4.67,6,3,0,50.0,4,1.33,11,0,1,3,6.8,0,0,0,-
2009-03-07,03,大同特殊鋼レッドスター,7,,西久保亮太,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,2,2,0,100.0
2009-03-07,03,大同特殊鋼レッドスター,8,,橋満裕也,3,■,■,■,nan,nan,14,4,1,0.2857142857142857,0.21428571428571427,1.33,0,0,0,-,2,0.67,11,0,1,2,4.5,0,0,0,-
2009-03-07,03,大同特殊鋼レッドスター,9,,淡田智行,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,13,0,0,3,5.8,0,0,0,-
2009-03-07,03,大同特殊鋼レッドスター,10,,川野喜平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,大同特殊鋼レッドスター,11,L,平井銀次,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,30,22,0,73.3
2009-03-07,03,大同特殊鋼レッドスター,14,,齋藤義人,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-
2009-03-07,03,大同特殊鋼レッドスター,15,,小林雅也,3,■,■,■,nan,nan,14,9,1,0.6428571428571429,0.5714285714285714,3.00,0,0,0,-,2,0.67,6,0,1,2,8.3,0,0,0,-
2009-03-07,03,大同特殊鋼レッドスター,17,,中道淑人,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-
2009-03-07,03,近畿クラブスフィーダ,1,,川越裕康,3,■,■,■,nan,nan,12,4,2,0.3333333333333333,0.16666666666666666,1.33,1,0,0,0.0,0,-,7,0,1,1,3.6,2,2,0,100.0
2009-03-07,03,近畿クラブスフィーダ,3,,西畑達也,3,■,■,■,nan,nan,29,10,2,0.3448275862068966,0.27586206896551724,3.33,8,3,1,37.5,0,-,9,0,2,0,0.0,3,2,0,66.7
2009-03-07,03,近畿クラブスフィーダ,14,,小山喬大,3,■,■,■,nan,nan,8,4,0,0.5,0.5,1.33,0,0,0,-,0,-,6,0,0,3,12.5,1,1,0,100.0
2009-03-07,03,近畿クラブスフィーダ,15,,筆脇ウィリアン,3,■,■,□,nan,nan,17,2,5,0.11764705882352941,-0.17647058823529413,0.67,0,0,0,-,0,-,7,1,2,2,18.6,3,2,0,66.7
2009-03-07,03,近畿クラブスフィーダ,16,,本多尚也,3,■,■,■,nan,nan,16,6,3,0.375,0.1875,2.00,4,0,2,0.0,1,0.33,7,0,2,2,7.1,31,18,0,58.1
2009-03-07,03,近畿クラブスフィーダ,17,,梶野喜宏,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,10,0,0,1,2.5,0,0,0,-
2009-03-07,03,近畿クラブスフィーダ,18,,梶野昭宏,1,nan,nan,■,nan,nan,4,2,0,0.5,0.5,2.00,0,0,0,-,0,-,2,0,0,0,0.0,2,1,0,50.0
2009-03-07,03,近畿クラブスフィーダ,21,L,迫谷竜児,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,12,0,57.1
2009-03-07,03,つくばユナイテッドSunGAIA,1,,菊池孝一,3,■,■,■,nan,nan,13,8,0,0.6153846153846154,0.6153846153846154,2.67,0,0,0,-,1,0.33,9,0,0,4,11.1,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,2,,上場雄也,1,nan,nan,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,1.00,0,0,0,0,-,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,4,,小川将司,3,■,■,■,nan,nan,14,6,1,0.42857142857142855,0.35714285714285715,2.00,0,0,0,-,1,0.33,20,2,2,8,20.0,1,1,0,100.0
2009-03-07,03,つくばユナイテッドSunGAIA,5,,石川健,3,■,■,■,nan,nan,9,6,1,0.6666666666666666,0.5555555555555556,2.00,0,0,0,-,0,-,9,0,1,5,13.9,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,7,,岩田岳大,3,■,■,■,nan,nan,1,1,0,1.0,1.0,0.33,0,0,0,-,2,0.67,15,0,0,3,5.0,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,8,,小橋口祐嗣,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,9,,塚崎晋平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,11,,白取和也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,12,,山田快,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,1,12.5,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,13,L,赤木貴雅,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,16,,鞍掛勇樹,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2009-03-07,03,つくばユナイテッドSunGAIA,17,L,久田利彦,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,16,0,80.0
2009-03-07,03,つくばユナイテッドSunGAIA,19,,阿部友幸,3,■,■,■,nan,nan,15,9,0,0.6,0.6,3.00,0,0,0,-,0,-,8,0,2,2,6.2,19,13,0,68.4
2009-03-07,03,つくばユナイテッドSunGAIA,21,,和井田剛史,3,■,■,■,nan,nan,23,12,3,0.5217391304347826,0.391304347826087,4.00,4,2,0,50.0,6,2.00,9,0,2,2,5.6,1,1,0,100.0
2009-03-08,03,警視庁フォートファイターズ,2,,清水大輔,2,■,■,nan,nan,nan,8,5,0,0.625,0.625,2.50,0,0,0,-,2,1.00,6,1,0,2,21.7,1,1,0,100.0
2009-03-08,03,警視庁フォートファイターズ,4,,福田健太,3,■,■,■,nan,nan,17,10,2,0.5882352941176471,0.47058823529411764,3.33,0,0,0,-,2,0.67,5,0,1,3,15.0,0,0,0,-
2009-03-08,03,警視庁フォートファイターズ,5,,平林康裕,1,nan,nan,■,nan,nan,2,0,1,0.0,-0.5,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2009-03-08,03,警視庁フォートファイターズ,6,,松本幸博,3,■,■,■,nan,nan,15,5,2,0.3333333333333333,0.2,1.67,1,0,1,0.0,0,-,12,1,0,3,14.6,15,15,0,100.0
2009-03-08,03,警視庁フォートファイターズ,7,,井上人哉,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,2,10.0,0,0,0,-
2009-03-08,03,警視庁フォートファイターズ,8,L,石川俊輔,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,25,20,0,80.0
2009-03-08,03,警視庁フォートファイターズ,9,,立田哲雄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-08,03,警視庁フォートファイターズ,10,,岩知道呂夫,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,11,0,2,3,6.8,0,0,0,-
2009-03-08,03,警視庁フォートファイターズ,11,,下田健一,3,■,■,■,nan,nan,21,10,2,0.47619047619047616,0.38095238095238093,3.33,5,3,1,60.0,0,-,9,0,1,5,13.9,1,1,0,100.0
2009-03-08,03,警視庁フォートファイターズ,15,,堀江賢司,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-08,03,警視庁フォートファイターズ,16,L,木村有希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-08,03,警視庁フォートファイターズ,20,,鈴木雅史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-08,03,警視庁フォートファイターズ,21,,幸田英知,3,■,■,■,nan,nan,9,2,3,0.2222222222222222,-0.1111111111111111,0.67,0,0,0,-,1,0.33,9,0,0,5,13.9,25,17,0,68.0
2009-03-08,03,警視庁フォートファイターズ,24,,中田学,1,nan,□,nan,nan,nan,5,1,2,0.2,-0.2,1.00,1,0,1,0.0,0,-,1,0,1,0,0.0,0,0,0,-
2009-03-08,03,富士通カワサキレッドスピリッツ,1,,神山哲郎,3,■,■,■,nan,nan,23,14,2,0.6086956521739131,0.5217391304347826,4.67,1,0,0,0.0,0,-,11,0,0,1,2.3,13,6,0,46.2
2009-03-08,03,富士通カワサキレッドスピリッツ,2,,徳武正哉,3,■,■,■,nan,nan,9,5,0,0.5555555555555556,0.5555555555555556,1.67,0,0,0,-,4,1.33,6,0,0,0,0.0,1,0,0,0.0
2009-03-08,03,富士通カワサキレッドスピリッツ,5,,今一騎,3,■,■,■,nan,nan,25,13,3,0.52,0.4,4.33,7,3,1,42.9,0,-,13,1,3,4,13.8,1,1,0,100.0
2009-03-08,03,富士通カワサキレッドスピリッツ,6,,三芳健斗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-08,03,富士通カワサキレッドスピリッツ,7,,勝田祥平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-03-08,03,富士通カワサキレッドスピリッツ,9,,平澤徹,3,■,■,■,nan,nan,8,5,1,0.625,0.5,1.67,0,0,0,-,1,0.33,11,0,1,1,2.3,0,0,0,-
2009-03-08,03,富士通カワサキレッドスピリッツ,12,,松本健作,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,8,0,1,3,9.4,0,0,0,-
2009-03-08,03,富士通カワサキレッドスピリッツ,13,,渡辺聖太,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
