名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
モラッドドリウィシ,東京ヴェルディ,10,15,69,28,1,40.6,39.1,0,0,0,4,64,1,7,14,3,3,0,,1.9,0.3,4.3,100.0
三芳健斗,富士通カワサキレッドスピリッツ,6,16,51,26,2,51.0,47.1,0,0,0,6,23,0,2,4,1,0,0,,1.6,0.4,2.2,0.0
上場雄也,つくばユナイテッドSunGAIA,2,21,179,87,13,48.6,41.3,69,33,6,8,71,6,13,31,1,0,0,47.8,4.1,0.4,14.8,0.0
中島俊介,東京ヴェルディ,15,7,43,22,6,51.2,37.2,7,4,2,1,17,0,4,3,6,5,0,57.1,3.1,0.1,-1.5,83.3
中川剛,富士通カワサキレッドスピリッツ,3,18,147,65,17,44.2,32.7,49,24,8,3,53,0,7,15,2,1,0,49.0,3.6,0.2,3.8,50.0
中西優介,きんでんトリニティーブリッツ,16,4,5,3,0,60.0,60.0,0,0,0,0,7,0,1,2,13,8,0,,0.8,0.0,3.6,61.5
中西教之,きんでんトリニティーブリッツ,5,19,75,31,6,41.3,33.3,0,0,0,17,53,5,5,16,13,9,0,,1.6,0.9,14.6,69.2
今一騎,富士通カワサキレッドスピリッツ,5,5,22,5,6,22.7,-4.5,3,0,2,2,11,0,1,2,0,0,0,0.0,1.0,0.4,2.3,
今田善仁,きんでんトリニティーブリッツ,4,19,14,4,2,28.6,14.3,0,0,0,7,64,1,3,21,1,0,0,,0.2,0.4,8.6,0.0
佐藤由法,つくばユナイテッドSunGAIA,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
倉田真,大同特殊鋼レッドスター,4,19,155,61,11,39.4,32.3,38,16,6,13,79,2,8,25,92,52,0,42.1,3.2,0.7,7.9,56.5
児島啓吾,大同特殊鋼レッドスター,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
其原健太,ジェイテクトSTINGS,11,3,7,5,0,71.4,71.4,0,0,0,0,2,0,0,0,2,1,0,,1.7,0.0,0.0,50.0
加藤陽一,つくばユナイテッドSunGAIA,18,21,81,31,9,38.3,27.2,6,1,1,10,77,3,8,20,145,107,0,16.7,1.5,0.5,7.8,73.8
勝田祥平,富士通カワサキレッドスピリッツ,7,4,12,6,1,50.0,41.7,2,1,0,1,14,0,0,5,24,14,0,50.0,1.5,0.2,8.9,58.3
北沢浩,富士通カワサキレッドスピリッツ,15,20,3,1,0,33.3,33.3,0,0,0,0,75,2,10,18,1,0,0,,0.0,0.0,5.3,0.0
吉野淳,東京ヴェルディ,2,18,0,0,0,,,0,0,0,0,0,0,0,0,101,70,0,,0.0,0.0,,69.3
呉屋宏和,富士通カワサキレッドスピリッツ,16,11,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,,0.0,0.0,0.0,
和井田剛史,つくばユナイテッドSunGAIA,21,21,187,91,16,48.7,40.1,51,19,9,10,84,6,21,27,56,23,0,37.3,4.3,0.5,8.9,41.1
土屋宝士,大同特殊鋼レッドスター,13,16,43,23,3,53.5,46.5,0,0,0,17,71,3,5,24,4,3,0,,1.4,1.1,10.9,75.0
塩大地,きんでんトリニティーブリッツ,11,11,67,33,4,49.3,43.3,1,0,0,4,36,0,2,8,2,0,0,0.0,3.0,0.4,4.2,0.0
増元真二,富士通カワサキレッドスピリッツ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
大下将,東京ヴェルディ,22,3,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.3,,
大木貴之,つくばユナイテッドSunGAIA,6,9,7,2,0,28.6,28.6,1,0,0,1,14,0,4,2,3,2,0,0.0,0.2,0.1,-3.6,66.7
大瀧貴史,きんでんトリニティーブリッツ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
奥田晃,東京ヴェルディ,11,18,4,0,0,0.0,0.0,0,0,0,11,52,0,1,15,1,0,0,,0.0,0.6,6.7,0.0
孫権,ジェイテクトSTINGS,1,6,7,3,1,42.9,28.6,1,0,0,0,7,0,4,0,0,0,0,0.0,0.5,0.0,-14.3,
安井道教,きんでんトリニティーブリッツ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮下領,東京ヴェルディ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
