月,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
11,21,,松原南,13,0,0,0,0,0,41,13,0,31.70731707317073,31.70731707317073,3.1538461538461537,0,0,0,,0,0.0,5,0,0,2,10.0,0,0,0,
12,21,,松原南,13,1,1,1,1,0,73,26,2,35.61643835616438,32.87671232876712,5.615384615384615,1,0,1,0.0,0,0.0,9,0,0,3,8.333333333333334,39,15,6,46.15384615384615
01,21,,松原南,13,2,2,2,2,0,121,33,9,27.27272727272727,19.834710743801654,9.307692307692308,4,0,1,0.0,1,0.07692307692307693,30,0,1,8,5.833333333333333,52,20,10,48.07692307692308
02,21,,松原南,7,0,0,0,0,0,29,10,0,34.48275862068966,34.48275862068966,4.142857142857143,0,0,0,,0,0.0,0,0,0,0,,0,0,0,
