月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
11,ルートインホテルズブリリアントアリーズ,11,,平原果歩,13,2,2,3,1,0,93,24,2,25.8,23.7,1.8,0,0,0,,2,0.2,28,2,2,2,7.1,53,21,11,50.0
12,ルートインホテルズブリリアントアリーズ,11,,平原果歩,14,2,2,3,3,0,113,32,6,28.3,23.0,2.3,0,0,0,,3,0.2,39,0,1,10,5.8,44,28,3,67.0
01,ルートインホテルズブリリアントアリーズ,11,,平原果歩,8,1,1,2,0,0,37,13,2,35.1,29.7,1.6,1,1,0,100.0,1,0.1,17,2,1,7,20.6,21,9,3,50.0
02,ルートインホテルズブリリアントアリーズ,11,,平原果歩,5,1,0,1,1,0,22,4,2,18.2,9.1,0.8,0,0,0,,0,0.0,7,0,0,4,14.3,30,13,9,58.3
