月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
11,ルートインホテルズブリリアントアリーズ,5,,高橋愛未,24,6,6,6,4,2,245,72,15,29.4,23.3,3.0,16,2,2,12.5,11,0.5,96,9,5,31,16.1,131,60,41,61.5
12,ルートインホテルズブリリアントアリーズ,5,,高橋愛未,27,7,6,6,5,2,258,85,12,32.9,28.3,3.1,6,0,1,0.0,8,0.3,115,6,5,42,13.3,85,54,13,71.2
01,ルートインホテルズブリリアントアリーズ,5,,高橋愛未,15,4,4,4,2,1,160,60,8,37.5,32.5,4.0,6,2,1,33.3,4,0.3,63,2,5,26,11.5,48,29,9,69.8
02,ルートインホテルズブリリアントアリーズ,5,,高橋愛未,18,4,4,4,4,2,223,77,9,34.5,30.5,4.3,8,0,2,0.0,7,0.4,77,4,4,33,14.6,127,65,20,59.1
