名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ウォレスマルティンス,2012-11,サントリーサンバーズ,18,66,21,248,131,17,52.8,46.0,115,68,9,10,83,5,23,31,0,0,0,146,59.1,6.24,0.48,8.4,
ウォレスマルティンス,2012-12,サントリーサンバーズ,18,48,14,140,67,14,47.9,37.9,62,28,7,5,54,6,13,18,0,0,0,78,45.2,4.79,0.36,13.4,
ウォレスマルティンス,2013-01,サントリーサンバーズ,18,4,15,99,46,7,46.5,39.4,37,18,3,6,34,1,7,4,0,0,0,53,48.6,3.07,0.4,0.7,
ウォレスマルティンス,2013-02,サントリーサンバーズ,18,12,21,154,80,10,51.9,45.5,85,40,8,5,60,7,10,20,1,0,0,92,47.1,3.81,0.24,15.8,0.0
ウォレスマルティンス,2013-03,サントリーサンバーズ,18,18,22,218,119,15,54.6,47.7,125,65,12,9,93,6,18,24,0,0,0,134,52.0,5.41,0.41,8.1,
オムルチェンイゴール,2012-11,JTサンダーズ,15,66,23,279,121,20,43.4,36.2,121,50,12,5,89,6,25,37,0,0,0,132,41.3,5.26,0.22,10.1,
オムルチェンイゴール,2012-12,JTサンダーズ,15,48,14,160,76,9,47.5,41.9,84,31,5,8,54,5,12,22,0,0,0,89,36.9,5.43,0.57,13.9,
オムルチェンイゴール,2013-01,JTサンダーズ,15,6,22,190,64,22,33.7,22.1,81,27,12,5,75,8,19,26,1,1,0,77,33.3,2.91,0.23,13.0,100.0
オムルチェンイゴール,2013-02,JTサンダーズ,15,12,23,271,127,23,46.9,38.4,117,50,15,16,88,9,28,31,0,0,0,152,42.7,5.52,0.7,11.1,
オムルチェンイゴール,2013-03,JTサンダーズ,15,18,22,275,100,32,36.4,24.7,120,41,20,5,74,6,22,26,0,0,0,111,34.2,4.55,0.23,9.5,
グラディナロフミロスラフ,2012-11,FC東京,11,66,22,171,87,10,50.9,45.0,49,26,5,9,90,6,18,38,203,112,0,102,53.1,3.95,0.41,12.2,55.2
