試合日,年月,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2013-12-07,2013-12,12,GSS東京サンビームズ,1,,重松史乃,3,■,■,■,,,6,3,0,0.5,0.5,1.00,0,0,0,-,0,-,11,2,0,5,27.7,0,0,0,-
2013-12-07,2013-12,12,GSS東京サンビームズ,2,,小川晴菜,3,■,■,■,,,13,5,2,0.38461538461538464,0.2307692307692308,1.67,2,1,1,50.0,0,-,11,2,3,1,16.8,28,17,0,60.7
2013-12-07,2013-12,12,GSS東京サンビームズ,3,,豊田みづき,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2013-12-07,2013-12,12,GSS東京サンビームズ,4,L,平岩沙紀,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,7,0,87.5
2013-12-07,2013-12,12,GSS東京サンビームズ,5,,篠木梨奈,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0,0,-
2013-12-07,2013-12,12,GSS東京サンビームズ,6,,長岡藍,3,■,■,■,,,42,14,2,0.3333333333333333,0.2857142857142857,4.67,7,1,0,14.3,1,0.33,4,0,1,1,6.2,1,1,0,100.0
2013-12-07,2013-12,12,GSS東京サンビームズ,7,,小寺まどか,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,8.3,6,4,0,66.7
2013-12-07,2013-12,12,GSS東京サンビームズ,8,,三浦あゆみ,3,■,■,■,,,26,5,7,0.19230769230769232,-0.07692307692307693,1.67,1,0,1,0.0,0,-,9,1,0,4,20.0,30,25,0,83.3
2013-12-07,2013-12,12,GSS東京サンビームズ,10,,山口弥緒,2,,□,□,,,7,1,0,0.14285714285714285,0.14285714285714285,0.50,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2013-12-07,2013-12,12,GSS東京サンビームズ,14,,見崎真琴,2,■,■,,,,8,2,1,0.25,0.125,1.00,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2013-12-07,2013-12,12,GSS東京サンビームズ,15,,鈴木亜矢子,1,,,■,,,11,1,1,0.09090909090909093,0.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2013-12-07,2013-12,12,GSS東京サンビームズ,16,,菊地めぐみ,3,■,■,■,,,15,6,2,0.4,0.26666666666666666,2.00,0,0,0,-,0,-,12,2,1,0,15.0,0,0,0,-
2013-12-07,2013-12,12,仙台ベルフィーユ,2,,雨堤みなみ,3,■,■,■,,,17,4,2,0.2352941176470588,0.1176470588235294,1.33,3,0,0,0.0,0,-,15,1,2,7,17.0,8,2,0,25.0
2013-12-07,2013-12,12,仙台ベルフィーユ,3,,芳賀小梨絵,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,3,2,0,66.7
2013-12-07,2013-12,12,仙台ベルフィーユ,4,,櫻井樹里,2,□,,□,,,6,1,1,0.16666666666666666,0.0,0.50,0,0,0,-,0,-,3,0,0,0,0.0,1,1,0,100.0
2013-12-07,2013-12,12,仙台ベルフィーユ,6,,王亜辰,3,■,■,■,,,14,7,0,0.5,0.5,2.33,0,0,0,-,7,2.33,9,0,1,0,0.0,0,0,0,-
2013-12-07,2013-12,12,仙台ベルフィーユ,8,,中野清香,3,■,■,■,,,23,9,2,0.39130434782608703,0.3043478260869565,3.00,0,0,0,-,2,0.67,15,1,1,2,8.7,9,4,0,44.4
2013-12-07,2013-12,12,仙台ベルフィーユ,11,,渡邊彩,3,■,■,■,,,19,10,0,0.5263157894736842,0.5263157894736842,3.33,1,0,0,0.0,3,1.00,11,0,0,3,6.8,0,0,0,-
2013-12-07,2013-12,12,仙台ベルフィーユ,13,L,大内世莉香,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,17,0,81.0
2013-12-07,2013-12,12,仙台ベルフィーユ,14,,渡邉愛以,3,■,■,■,,,14,6,1,0.42857142857142855,0.35714285714285715,2.00,0,0,0,-,1,0.33,5,0,1,0,0.0,7,4,0,57.1
2013-12-07,2013-12,12,仙台ベルフィーユ,15,,佐々木香織,3,■,■,■,,,0,0,0,,,-,0,0,0,-,3,1.00,18,0,1,5,6.9,0,0,0,-
2013-12-07,2013-12,12,JAぎふリオレーナ,1,,山田江美香,3,■,■,■,,,20,3,3,0.15,0.0,1.00,0,0,0,-,1,0.33,6,0,0,1,4.2,14,8,0,57.1
2013-12-07,2013-12,12,JAぎふリオレーナ,2,,湯川理奈,3,■,■,■,,,12,6,0,0.5,0.5,2.00,0,0,0,-,0,-,7,0,1,2,7.1,1,0,0,0.0
2013-12-07,2013-12,12,JAぎふリオレーナ,4,,川村奈々,3,■,■,■,,,26,9,1,0.3461538461538461,0.3076923076923077,3.00,3,0,1,0.0,0,-,5,0,0,2,10.0,0,0,0,-
2013-12-07,2013-12,12,JAぎふリオレーナ,5,,斎藤和美,1,,,■,,,1,0,1,0.0,-1.0,-,0,0,0,-,0,-,3,0,0,1,8.3,1,0,0,0.0
2013-12-07,2013-12,12,JAぎふリオレーナ,6,,坂本育美,2,■,■,,,,1,1,0,1.0,1.0,0.50,0,0,0,-,1,0.50,4,0,0,1,6.2,0,0,0,-
2013-12-07,2013-12,12,JAぎふリオレーナ,7,,正里菜,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,2,1,0,0,40.0,0,0,0,-
2013-12-07,2013-12,12,JAぎふリオレーナ,10,,中村早紀子,3,■,■,■,,,28,7,1,0.25,0.21428571428571427,2.33,6,1,0,16.7,0,-,6,1,0,0,13.3,41,25,0,61.0
2013-12-07,2013-12,12,JAぎふリオレーナ,11,,大西悠加,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,2013-12,12,JAぎふリオレーナ,12,,廣瀬彩乃,3,■,■,■,,,11,7,1,0.6363636363636364,0.5454545454545454,2.33,0,0,0,-,2,0.67,9,0,0,4,11.1,2,2,0,100.0
2013-12-07,2013-12,12,JAぎふリオレーナ,13,L,塚本尚子,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,8,0,57.1
2013-12-07,2013-12,12,JAぎふリオレーナ,17,L,樋口沙樹,2,,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
