名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
インドレソロカイテ,2013-12,デンソーエアリービーズ,1,24,6,47,19,2,40.4,36.2,7,1,0,2,22,5,6,4,5,4,0,14.3,3.17,0.33,20.5,80.0
インドレソロカイテ,2014-01,デンソーエアリービーズ,1,5,15,162,63,10,38.9,32.7,28,12,5,9,40,0,8,13,10,5,0,42.9,4.2,0.6,3.1,50.0
インドレソロカイテ,2014-02,デンソーエアリービーズ,1,10,17,182,74,10,40.7,35.2,40,12,4,13,63,11,10,16,8,5,0,30.0,4.35,0.76,19.8,62.5
インドレソロカイテ,2014-03,デンソーエアリービーズ,1,18,18,217,103,10,47.5,42.9,40,19,6,11,68,9,16,20,20,7,0,47.5,5.72,0.61,14.7,35.0
ドリスジェニファー,2013-12,PFUブルーキャッツ,2,48,12,51,24,1,47.1,45.1,0,0,0,15,28,2,0,12,2,2,0,,2.0,1.25,17.9,100.0
ドリスジェニファー,2014-01,PFUブルーキャッツ,2,4,16,70,30,1,42.9,41.4,0,0,0,15,33,2,1,8,3,3,0,,1.88,0.94,11.4,100.0
ドリスジェニファー,2014-02,PFUブルーキャッツ,2,12,23,118,59,1,50.0,49.2,0,0,0,18,50,4,2,19,6,4,0,,2.57,0.78,16.5,66.7
ドリスジェニファー,2014-03,PFUブルーキャッツ,2,12,12,51,37,1,72.5,70.6,0,0,0,19,27,2,0,10,0,0,0,,3.08,1.58,16.7,
メットカフナンシー,2013-12,埼玉上尾メディックス,12,48,14,175,90,11,51.4,45.1,66,31,8,10,63,2,5,29,1,1,0,47.0,6.43,0.71,12.7,100.0
メットカフナンシー,2014-01,埼玉上尾メディックス,12,3,9,127,70,5,55.1,51.2,48,27,2,4,40,0,4,14,1,1,0,56.2,7.78,0.44,6.2,100.0
メットカフナンシー,2014-02,埼玉上尾メディックス,12,14,21,323,163,13,50.5,46.4,141,56,8,14,89,8,6,41,0,0,0,39.7,7.76,0.67,18.8,
メットカフナンシー,2014-03,埼玉上尾メディックス,12,9,12,143,53,8,37.1,31.5,51,17,3,16,38,2,3,19,3,3,0,33.3,4.42,1.33,15.8,100.0
七種友紀子,2013-12,埼玉上尾メディックス,22,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
七種友紀子,2014-03,埼玉上尾メディックス,22,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦あゆみ,2013-12,GSS東京サンビームズ,8,36,9,76,18,13,23.7,6.6,2,0,2,0,27,1,3,14,95,69,0,0.0,2.0,0.0,13.9,72.6
三浦あゆみ,2014-01,GSS東京サンビームズ,8,5,16,115,38,13,33.0,21.7,6,2,1,0,53,6,10,10,187,134,0,33.3,2.38,0.0,11.3,71.7
三浦あゆみ,2014-02,GSS東京サンビームズ,8,14,23,188,49,26,26.1,12.2,22,3,3,2,56,3,8,18,331,213,0,13.6,2.13,0.09,9.8,64.4
三浦あゆみ,2014-03,GSS東京サンビームズ,8,9,9,60,11,8,18.3,5.0,7,3,0,0,22,2,6,10,97,49,0,42.9,1.22,0.0,13.6,50.5
三浦茉実,2013-12,埼玉上尾メディックス,9,48,14,30,15,1,50.0,46.7,0,0,0,7,43,1,2,16,3,1,0,,1.07,0.5,10.5,33.3
三浦茉実,2014-01,埼玉上尾メディックス,9,3,9,17,4,0,23.5,23.5,0,0,0,4,26,0,1,6,3,3,0,,0.44,0.44,4.8,100.0
三浦茉実,2014-02,埼玉上尾メディックス,9,14,24,48,22,2,45.8,41.7,0,0,0,14,75,4,3,23,16,9,0,,0.92,0.58,12.0,56.2
三浦茉実,2014-03,埼玉上尾メディックス,9,12,13,23,7,2,30.4,21.7,0,0,0,5,28,1,2,8,17,8,0,,0.54,0.38,8.9,47.1
中村愛理,2013-12,JAぎふリオレーナ,18,36,5,0,0,0,,,0,0,0,0,7,0,0,2,1,1,0,,0.0,0.0,7.1,100.0
中村愛理,2014-01,JAぎふリオレーナ,18,4,4,0,0,0,,,0,0,0,0,4,0,1,1,3,2,0,,0.0,0.0,0.0,66.7
