名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カジースキマテイ,2020-02,ジェイテクトSTINGS,6,2,5,40,21,1,52.5,50.0,0,0,0,2,18,1,4,5,55,19,18,24,,4.2,0.4,6.9,50.9
クビアクミハウ,2020-02,パナソニックパンサーズ,13,2,5,45,25,7,55.6,40.0,6,3,3,3,20,1,1,8,43,24,10,29,50.0,5.0,0.6,13.8,67.4
中根聡太,2020-02,ジェイテクトSTINGS,15,2,5,0,0,0,,,0,0,0,0,16,0,0,1,0,0,0,0,,0.0,0.0,1.6,
久保山尚,2020-02,ジェイテクトSTINGS,16,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
久原翼,2020-02,パナソニックパンサーズ,7,2,5,22,14,1,63.6,59.1,1,0,0,0,16,1,2,4,24,4,10,15,0.0,2.8,0.0,9.4,37.5
今村貴彦,2020-02,パナソニックパンサーズ,9,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊賀亮平,2020-02,パナソニックパンサーズ,16,2,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
伏見大和,2020-02,ジェイテクトSTINGS,3,2,5,2,1,0,50.0,50.0,0,0,0,1,2,1,0,1,0,0,0,3,,0.2,0.2,62.5,
兒玉康成,2020-02,パナソニックパンサーズ,21,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大竹壱青,2020-02,パナソニックパンサーズ,4,2,5,5,2,0,40.0,40.0,0,0,0,1,5,1,1,1,0,0,0,4,,0.4,0.2,20.0,
小宮雄一郎,2020-02,パナソニックパンサーズ,22,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小林光輝,2020-02,ジェイテクトSTINGS,10,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山内晶大,2020-02,パナソニックパンサーズ,10,2,5,10,6,0,60.0,60.0,0,0,0,1,18,1,0,3,0,0,0,8,,1.2,0.2,9.7,
新貴裕,2020-02,パナソニックパンサーズ,20,2,4,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
本間隆太,2020-02,ジェイテクトSTINGS,17,2,5,0,0,0,,,0,0,0,0,0,0,0,0,10,5,3,0,,0.0,0.0,,65.0
永野健,2020-02,パナソニックパンサーズ,17,2,5,0,0,0,,,0,0,0,0,0,0,0,0,21,6,6,0,,0.0,0.0,,42.9
浅野博亮,2020-02,ジェイテクトSTINGS,19,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
深津英臣,2020-02,パナソニックパンサーズ,2,2,5,0,0,0,,,0,0,0,1,21,2,2,6,0,0,0,3,,0.0,0.2,14.3,
清水邦広,2020-02,パナソニックパンサーズ,1,2,5,41,19,4,46.3,36.6,11,4,2,0,13,0,5,2,2,0,2,19,36.4,3.8,0.0,-5.8,50.0
渡辺奏吾,2020-02,パナソニックパンサーズ,5,2,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
白澤健児,2020-02,パナソニックパンサーズ,6,2,5,6,3,0,50.0,50.0,0,0,0,2,13,0,1,1,2,0,0,5,,0.6,0.4,0.0,0.0
福山汰一,2020-02,ジェイテクトSTINGS,4,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
興梠亮,2020-02,ジェイテクトSTINGS,12,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
藤中優斗,2020-02,ジェイテクトSTINGS,1,2,5,13,6,2,46.2,30.8,0,0,0,0,14,0,2,2,28,10,9,6,,1.2,0.0,0.0,51.8
袴谷亮介,2020-02,ジェイテクトSTINGS,11,2,3,0,0,0,,,0,0,0,0,6,1,0,0,0,0,0,1,,0.0,0.0,16.7,
西田有志,2020-02,ジェイテクトSTINGS,14,2,5,56,31,6,55.4,44.6,25,17,2,1,22,4,4,9,0,0,0,36,68.0,6.2,0.2,23.9,
金丸晃大,2020-02,ジェイテクトSTINGS,2,2,5,3,1,0,33.3,33.3,0,0,0,1,15,0,0,4,0,0,0,2,,0.2,0.2,6.7,
饒書涵,2020-02,ジェイテクトSTINGS,5,2,5,17,8,1,47.1,41.2,0,0,0,3,14,0,2,4,2,2,0,11,,1.6,0.6,3.6,100.0
