名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アウントゥ,03,東レアローズ,20,21,185,106,8,57.3,53.0,35,24,2,8,79,5,18,11,141,54,45,119,68.6,5.0,0.4,4.1,54.3
エドガートーマス,03,JTサンダーズ,6,18,214,111,18,51.9,43.5,111,60,11,8,74,12,17,23,0,0,0,131,54.1,6.2,0.4,18.2,
オムルチェンイゴール,03,豊田合成トレフェルサ,15,17,162,78,6,48.1,44.4,64,32,4,3,44,1,11,9,0,0,0,82,50.0,4.6,0.2,1.1,
クビアクミハウ,03,パナソニックパンサーズ,13,19,162,85,14,52.5,43.8,28,13,6,3,67,4,16,20,131,70,28,92,46.4,4.5,0.2,7.5,64.1
ジョルジェフニコラ,03,堺ブレイザーズ,18,21,248,111,16,44.8,38.3,120,53,4,2,71,3,15,27,0,0,0,116,44.2,5.3,0.1,8.5,
ムセルスキードミトリー,03,サントリーサンバーズ,13,19,207,114,14,55.1,48.3,73,43,7,5,81,9,20,31,4,2,0,128,58.9,6.0,0.3,14.5,50.0
ルジェアントニン,03,東レアローズ,4,21,226,109,28,48.2,35.8,100,47,16,4,80,7,23,22,0,0,0,120,47.0,5.2,0.2,8.4,
久原大輝,03,JTサンダーズ,11,17,0,0,0,,,0,0,0,0,21,0,3,3,1,0,0,0,,0.0,0.0,0.0,0.0
久原翼,03,パナソニックパンサーズ,7,19,75,27,4,36.0,30.7,2,1,0,1,57,5,6,14,74,25,20,33,50.0,1.4,0.1,12.3,47.3
井上航,03,JTサンダーズ,10,18,0,0,0,,,0,0,0,0,0,0,0,0,87,48,19,0,,0.0,0.0,,66.1
井手智,03,東レアローズ,22,22,0,0,0,,,0,0,0,0,0,0,0,0,92,41,26,0,,0.0,0.0,,58.7
今富稜介,03,堺ブレイザーズ,16,11,0,0,0,,,0,0,0,0,0,0,0,0,20,7,4,0,,0.0,0.0,,45.0
今村貴彦,03,パナソニックパンサーズ,9,1,5,2,0,40.0,40.0,1,1,0,0,1,0,0,1,0,0,0,2,100.0,2.0,0.0,25.0,
伊賀亮平,03,パナソニックパンサーズ,16,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
伏見大和,03,東レアローズ,3,17,3,2,0,66.7,66.7,0,0,0,2,4,1,0,1,0,0,0,5,,0.1,0.1,31.2,
佐川翔,03,堺ブレイザーズ,8,3,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
傳田亮太,03,豊田合成トレフェルサ,11,20,57,32,3,56.1,50.9,0,0,0,11,41,1,8,13,0,0,0,44,,1.6,0.6,5.5,
兒玉康成,03,パナソニックパンサーズ,21,3,0,0,0,,,0,0,0,0,4,0,0,0,0,0,0,0,,0.0,0.0,0.0,
八子大輔,03,JTサンダーズ,7,5,23,13,3,56.5,43.5,11,9,0,0,8,1,4,1,0,0,0,14,81.8,2.6,0.0,3.1,
内山正平,03,豊田合成トレフェルサ,4,11,1,1,0,100.0,100.0,0,0,0,1,14,0,0,2,0,0,0,2,,0.1,0.1,3.6,
内藤和也,03,堺ブレイザーズ,5,10,0,0,0,,,0,0,0,0,10,0,4,1,0,0,0,0,,0.0,0.0,-7.5,
出耒田敬,03,堺ブレイザーズ,7,21,58,31,1,53.4,51.7,0,0,0,15,67,2,11,20,1,1,0,48,,1.5,0.7,6.3,100.0
前田一誠,03,豊田合成トレフェルサ,5,20,1,1,0,100.0,100.0,0,0,0,4,55,0,0,10,1,0,0,5,,0.0,0.2,4.5,0.0
劉力賓,03,JTサンダーズ,16,17,96,41,8,42.7,34.4,18,9,2,17,52,1,17,10,121,46,40,59,50.0,2.4,1.0,-1.4,54.5
勝岡将斗,03,豊田合成トレフェルサ,23,2,7,0,1,0.0,-14.3,1,0,0,0,5,0,1,2,22,14,1,0,0.0,0.0,0.0,5.0,65.9
千々木駿介,03,堺ブレイザーズ,10,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
古賀幸一郎,03,豊田合成トレフェルサ,10,21,0,0,0,,,0,0,0,0,0,0,0,0,100,58,23,0,,0.0,0.0,,69.5
合田心平,03,JTサンダーズ,12,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
吉岡光大,03,JTサンダーズ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
唐川大志,03,JTサンダーズ,15,5,0,0,0,,,0,0,0,0,0,0,0,0,9,4,4,0,,0.0,0.0,,66.7
喜入祥充,03,サントリーサンバーズ,15,7,4,2,0,50.0,50.0,1,0,0,0,4,0,2,1,15,6,4,2,0.0,0.3,0.0,-6.2,53.3
堤智久,03,堺ブレイザーズ,9,9,0,0,0,,,0,0,0,0,12,1,0,2,0,0,0,1,,0.0,0.0,12.5,
塩田達也,03,サントリーサンバーズ,12,16,42,21,1,50.0,47.6,0,0,0,8,42,0,11,8,1,1,0,29,,1.3,0.5,-1.8,100.0
大宅真樹,03,サントリーサンバーズ,9,22,12,7,0,58.3,58.3,0,0,0,6,84,3,9,15,4,0,0,16,,0.3,0.3,5.4,0.0
大竹壱青,03,パナソニックパンサーズ,4,19,110,69,10,62.7,53.6,34,24,2,9,64,1,16,28,0,0,0,79,70.6,3.6,0.5,6.2,
安永拓弥,03,JTサンダーズ,1,20,46,27,2,58.7,54.3,0,0,0,11,49,0,1,8,4,0,2,38,,1.4,0.6,3.6,25.0
宮原貴人,03,堺ブレイザーズ,3,3,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
富松崇彰,03,東レアローズ,1,4,5,3,0,60.0,60.0,0,0,0,2,7,0,0,1,1,1,0,5,,0.8,0.5,3.6,100.0
小川猛,03,サントリーサンバーズ,18,7,14,5,1,35.7,28.6,5,3,0,0,6,0,3,1,0,0,0,5,60.0,0.7,0.0,-8.3,
小野寺太志,03,JTサンダーズ,2,18,54,29,1,53.7,51.9,0,0,0,6,65,2,6,17,2,1,1,37,,1.6,0.3,7.3,75.0
小野遥輝,03,サントリーサンバーズ,3,9,16,9,1,56.2,50.0,0,0,0,3,16,1,6,0,2,1,0,13,,1.0,0.3,-3.1,50.0
山内晶大,03,パナソニックパンサーズ,10,18,48,26,4,54.2,45.8,0,0,0,7,63,2,4,17,1,0,1,35,,1.4,0.4,8.3,50.0
山本将平,03,JTサンダーズ,18,20,83,34,10,41.0,28.9,3,1,0,2,63,4,13,22,98,36,28,40,33.3,1.7,0.1,9.9,51.0
山本智大,03,堺ブレイザーズ,20,17,0,0,0,,,0,0,0,0,0,0,0,0,51,20,8,0,,0.0,0.0,,47.1
山添信也,03,パナソニックパンサーズ,3,9,16,10,0,62.5,62.5,0,0,0,6,28,0,3,6,3,3,0,16,,1.1,0.7,2.7,100.0
山田脩造,03,豊田合成トレフェルサ,1,7,16,6,2,37.5,25.0,5,3,0,1,8,0,0,1,21,8,6,7,60.0,0.9,0.1,3.1,52.4
山近哲,03,豊田合成トレフェルサ,2,4,6,3,1,50.0,33.3,0,0,0,0,10,0,0,5,1,1,0,3,,0.8,0.0,12.5,100.0
岡本祥吾,03,サントリーサンバーズ,6,5,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
岡本秀明,03,豊田合成トレフェルサ,13,14,0,0,0,,,0,0,0,0,1,0,1,0,23,10,6,0,,0.0,0.0,-25.0,56.5
新貴裕,03,パナソニックパンサーズ,20,3,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
星谷健太朗,03,サントリーサンバーズ,17,19,33,15,2,45.5,39.4,0,0,0,4,64,1,1,6,2,0,0,20,,0.8,0.2,3.5,0.0
星野秀知,03,東レアローズ,10,22,62,24,2,38.7,35.5,0,0,0,5,73,0,3,17,151,58,33,29,,1.1,0.2,4.8,49.3
李博,03,東レアローズ,15,22,51,30,2,58.8,54.9,0,0,0,8,81,2,15,24,6,6,0,40,,1.4,0.4,5.2,100.0
松岡祐太,03,堺ブレイザーズ,13,5,12,4,2,33.3,16.7,3,1,0,0,5,0,2,1,0,0,0,4,33.3,0.8,0.0,-5.0,
松本慶彦,03,堺ブレイザーズ,1,19,47,28,0,59.6,59.6,0,0,0,8,60,1,5,12,6,4,1,37,,1.5,0.4,4.6,75.0
松林憲太郎,03,サントリーサンバーズ,5,5,21,8,5,38.1,14.3,3,0,3,0,8,0,3,2,3,1,1,8,0.0,1.6,0.0,-3.1,50.0
栗山雅史,03,サントリーサンバーズ,19,22,142,65,8,45.8,40.1,31,15,3,5,82,3,20,22,92,37,20,73,48.4,3.0,0.2,4.3,51.1
梅野聡,03,東レアローズ,19,22,6,5,0,83.3,83.3,0,0,0,1,91,2,4,17,3,1,0,8,,0.2,0.0,5.8,33.3
椿山竜介,03,豊田合成トレフェルサ,14,11,65,29,6,44.6,35.4,14,6,4,3,28,2,6,10,1,0,0,34,42.9,2.6,0.3,10.7,0.0
樋口裕希,03,堺ブレイザーズ,2,21,129,58,13,45.0,34.9,16,7,4,7,94,7,16,27,122,42,35,72,43.8,2.8,0.3,10.4,48.8
武智洸史,03,JTサンダーズ,8,16,20,6,2,30.0,20.0,2,2,0,0,23,0,4,5,39,17,15,6,100.0,0.4,0.0,1.1,62.8
永野健,03,パナソニックパンサーズ,17,19,0,0,0,,,0,0,0,0,0,0,0,0,83,48,17,0,,0.0,0.0,,68.1
永露元稀,03,豊田合成トレフェルサ,21,12,0,0,0,,,0,0,0,0,16,0,0,3,0,0,0,0,,0.0,0.0,4.7,
池田政之,03,パナソニックパンサーズ,11,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
深津旭弘,03,JTサンダーズ,3,18,4,1,1,25.0,0.0,0,0,0,6,79,0,3,23,3,0,0,7,,0.1,0.3,6.3,0.0
深津英臣,03,パナソニックパンサーズ,2,19,4,3,0,75.0,75.0,0,0,0,1,81,0,5,20,0,0,0,4,,0.2,0.1,4.6,
清水邦広,03,パナソニックパンサーズ,1,2,4,1,0,25.0,25.0,0,0,0,0,2,0,0,1,0,0,0,1,,0.5,0.0,12.5,
渡辺俊介,03,東レアローズ,6,2,0,0,0,,,0,0,0,0,0,0,0,0,4,1,0,0,,0.0,0.0,,25.0
渡辺奏吾,03,パナソニックパンサーズ,5,3,5,1,0,20.0,20.0,1,0,0,0,4,1,1,1,5,2,0,2,0.0,0.3,0.0,25.0,40.0
白岩直也,03,豊田合成トレフェルサ,7,18,59,22,4,37.3,30.5,1,0,0,4,57,4,8,9,134,60,30,30,0.0,1.2,0.2,7.5,56.0
白澤健児,03,パナソニックパンサーズ,6,12,24,13,1,54.2,50.0,0,0,0,6,49,0,4,16,0,0,0,19,,1.1,0.5,6.1,
福澤達哉,03,パナソニックパンサーズ,15,6,33,21,1,63.6,60.6,4,4,0,0,14,1,3,2,19,5,3,22,100.0,3.5,0.0,5.4,34.2
秦耕介,03,サントリーサンバーズ,11,14,39,12,5,30.8,17.9,6,2,3,1,34,0,5,4,85,35,18,13,33.3,0.9,0.1,-0.7,51.8
竹元裕太郎,03,堺ブレイザーズ,21,10,4,2,0,50.0,50.0,0,0,0,1,11,0,2,5,0,0,0,3,,0.2,0.1,6.8,
筧本翔昂,03,JTサンダーズ,20,3,7,4,1,57.1,42.9,0,0,0,0,9,1,1,0,0,0,0,5,,1.3,0.0,8.3,
米山裕太,03,東レアローズ,5,3,3,2,0,66.7,66.7,0,0,0,0,3,0,1,1,10,3,4,2,,0.7,0.0,0.0,50.0
米山達也,03,サントリーサンバーズ,20,20,58,26,3,44.8,39.7,1,0,0,2,44,4,7,7,102,41,29,32,0.0,1.3,0.1,9.1,54.4
落合一貴,03,東レアローズ,16,8,27,9,3,33.3,22.2,15,2,3,0,12,1,4,3,0,0,0,10,13.3,1.1,0.0,6.2,
近裕崇,03,豊田合成トレフェルサ,6,21,46,25,3,54.3,47.8,0,0,0,9,81,4,11,25,2,0,0,38,,1.2,0.4,9.3,0.0
酒井啓輔,03,東レアローズ,14,5,0,0,0,,,0,0,0,0,5,0,0,2,1,0,0,0,,0.0,0.0,10.0,0.0
金子聖輝,03,JTサンダーズ,17,4,0,0,0,,,0,0,0,1,7,0,0,1,0,0,0,1,,0.0,0.2,3.6,
鈴木寛史,03,サントリーサンバーズ,2,16,15,9,0,60.0,60.0,1,0,0,5,25,2,4,2,0,0,0,16,0.0,0.6,0.3,6.0,
鈴木悠二,03,東レアローズ,18,18,12,6,2,50.0,33.3,1,0,1,0,30,4,6,10,14,4,4,10,0.0,0.3,0.0,16.7,42.9
関田誠大,03,堺ブレイザーズ,11,21,4,2,1,50.0,25.0,0,0,0,2,83,3,5,25,2,0,0,7,,0.1,0.1,9.6,0.0
阿部裕太,03,東レアローズ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
陳建禎,03,パナソニックパンサーズ,19,10,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,,0.0,0.1,,
高松卓矢,03,豊田合成トレフェルサ,12,20,128,60,8,46.9,40.6,23,9,2,1,81,4,16,30,73,28,23,65,39.1,3.0,0.0,9.3,54.1
高梨健太,03,豊田合成トレフェルサ,22,2,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
高橋健太郎,03,東レアローズ,2,20,31,20,3,64.5,54.8,0,0,0,13,43,0,7,4,1,1,0,33,,1.0,0.6,-1.7,100.0
高野直哉,03,堺ブレイザーズ,4,21,119,54,6,45.4,40.3,4,2,0,6,59,3,21,14,205,75,53,63,50.0,2.6,0.3,2.1,49.5
鶴田大樹,03,サントリーサンバーズ,1,22,0,0,0,,,0,0,0,0,0,0,0,0,99,57,19,0,,0.0,0.0,,67.2
黒澤雄介,03,豊田合成トレフェルサ,16,3,5,2,0,40.0,40.0,0,0,0,0,6,0,1,2,11,6,0,2,,0.7,0.0,4.2,54.5
