大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,FC東京,23,85,860,398,53,46.3,444,215,29,48.4,4.68,37,0.44,316,4,12,78,94,6.3,1,0,1,50.0,398,37,16,451
レギュラーラウンド,FC東京,23,85,860,398,53,46.3,444,215,29,48.4,4.68,37,0.44,316,4,12,78,94,6.3,1,0,1,50.0,398,37,16,451
レギュラーシーズン通算,,23,85,860,398,53,46.3,444,215,29,48.4,4.68,37,0.44,316,4,12,78,94,6.3,1,0,1,50.0,398,37,16,451
通算,,23,85,860,398,53,46.3,444,215,29,48.4,4.68,37,0.44,316,4,12,78,94,6.3,1,0,1,50.0,398,37,16,451
