大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,FC東京,21,53,328,142,20,43.3,25,11,5,44.0,2.68,10,0.19,163,2,3,34,38,3.7,307,100,91,47.4,142,10,5,157
レギュラーラウンド,FC東京,21,53,328,142,20,43.3,25,11,5,44.0,2.68,10,0.19,163,2,3,34,38,3.7,307,100,91,47.4,142,10,5,157
V.LEAGUE DIVISION1 MEN 2018-19,FC東京,27,39,108,44,10,40.7,17,10,3,58.8,1.13,2,0.05,31,1,0,10,6,0.0,12,4,2,41.7,44,2,1,47
レギュラーラウンド,FC東京,27,39,108,44,10,40.7,17,10,3,58.8,1.13,2,0.05,31,1,0,10,6,0.0,12,4,2,41.7,44,2,1,47
Ｖ・プレミアリーグ男子 2017/18,FC東京,8,23,136,58,11,42.6,14,5,1,35.7,2.52,4,0.17,58,2,2,11,20,10.8,79,9,18,22.8,58,4,4,66
レギュラーラウンド,FC東京,8,23,136,58,11,42.6,14,5,1,35.7,2.52,4,0.17,58,2,2,11,20,10.8,79,9,18,22.8,58,4,4,66
レギュラーシーズン通算,,56,115,572,244,41,42.7,56,26,9,46.4,2.12,16,0.14,252,5,5,55,64,4.9,398,113,111,42.3,244,16,10,270
通算,,56,115,572,244,41,42.7,56,26,9,46.4,2.12,16,0.14,252,5,5,55,64,4.9,398,113,111,42.3,244,16,10,270
