大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,東レアローズ,7,22,146,63,4,43.2,18,7,1,38.9,2.86,6,0.27,73,0,2,13,11,2.1,175,72,44,53.7,63,6,2,71
レギュラーラウンド,東レアローズ,7,22,146,63,4,43.2,18,7,1,38.9,2.86,6,0.27,73,0,2,13,11,2.1,175,72,44,53.7,63,6,2,71
V.LEAGUE DIVISION1 MEN 2018-19,東レアローズ,33,121,915,490,69,53.6,163,101,8,62.0,4.05,41,0.34,461,14,15,83,119,8.2,965,463,234,60.1,490,41,29,560
レギュラーラウンド,東レアローズ,26,91,641,337,56,52.6,110,67,6,60.9,3.7,29,0.32,347,10,12,61,98,9.0,726,361,154,60.3,337,29,22,388
ファイナル６,東レアローズ,5,21,185,106,8,57.3,35,24,2,68.6,5.05,8,0.38,79,2,3,18,11,4.1,141,54,45,54.3,106,8,5,119
ファイナル３,東レアローズ,2,9,89,47,5,52.8,18,10,0,55.6,5.22,4,0.44,35,2,0,4,10,10.0,98,48,35,66.8,47,4,2,53
レギュラーシーズン通算,,33,113,787,400,60,50.8,128,74,7,57.8,3.54,35,0.31,420,10,14,74,109,7.8,901,433,198,59.0,400,35,24,459
通算,,40,143,1061,553,73,52.1,181,108,9,59.7,3.87,47,0.33,534,14,17,96,130,7.4,1140,535,278,59.1,553,47,31,631
