大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,東レアローズ,14,19,5,4,0,80.0,0,0,0,-,0.21,3,0.16,54,0,1,3,16,7.9,0,0,0,-,4,3,1,8
レギュラーラウンド,東レアローズ,14,19,5,4,0,80.0,0,0,0,-,0.21,3,0.16,54,0,1,3,16,7.9,0,0,0,-,4,3,1,8
V.LEAGUE DIVISION1 MEN 2018-19,東レアローズ,25,36,8,6,0,75.0,0,0,0,-,0.17,1,0.03,130,1,2,6,26,6.2,3,1,0,33.3,6,1,3,10
レギュラーラウンド,東レアローズ,18,5,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,1,25.0,0,0,0,-,0,0,0,0
ファイナル６,東レアローズ,5,22,6,5,0,83.3,0,0,0,-,0.23,1,0.05,91,1,1,4,17,5.8,3,1,0,33.3,5,1,2,8
ファイナル３,東レアローズ,2,9,2,1,0,50.0,0,0,0,-,0.11,0,-,38,0,1,2,8,6.6,0,0,0,-,1,0,1,2
Ｖ・プレミアリーグ男子 2016/17,東レアローズ,28,21,2,0,0,0.0,0,0,0,-,-,0,-,19,1,0,0,6,13.2,0,0,0,-,0,0,1,1
レギュラーラウンド,東レアローズ,21,19,2,0,0,0.0,0,0,0,-,-,0,-,14,1,0,0,3,12.5,0,0,0,-,0,0,1,1
ファイナル６,東レアローズ,5,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,東レアローズ,2,2,0,0,0,-,0,0,0,-,-,0,-,5,0,0,0,3,15.0,0,0,0,-,0,0,0,0
天皇杯全日本選手権大会,,2,2,0,0,0,-,0,0,0,-,-,0,-,2,0,0,0,2,25.0,0,0,0,-,0,0,0,0
レギュラーラウンド,,2,2,0,0,0,-,0,0,0,-,-,0,-,2,0,0,0,2,25.0,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,東レアローズ,27,29,5,2,0,40.0,0,0,0,-,0.07,3,0.10,73,1,0,7,24,9.6,3,0,0,0.0,2,3,1,6
レギュラーラウンド,東レアローズ,21,25,4,2,0,50.0,0,0,0,-,0.08,2,0.08,68,1,0,7,21,9.2,2,0,0,0.0,2,2,1,5
ファイナル６,東レアローズ,5,4,1,0,0,0.0,0,0,0,-,-,1,0.25,5,0,0,0,3,15.0,1,0,0,0.0,0,1,0,1
ファイナル３,東レアローズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2014/15,東レアローズ,21,29,9,6,1,66.7,0,0,0,-,0.21,3,0.10,69,0,0,5,23,8.3,2,0,0,0.0,6,3,0,9
レギュラーラウンド,東レアローズ,21,29,9,6,1,66.7,0,0,0,-,0.21,3,0.10,69,0,0,5,23,8.3,2,0,0,0.0,6,3,0,9
チャレンジマッチ男子2014/15,東レアローズ,2,4,0,0,0,-,0,0,0,-,-,1,0.25,18,0,1,1,7,14.2,0,0,0,-,0,1,1,2
チャレンジマッチ,東レアローズ,2,4,0,0,0,-,0,0,0,-,-,1,0.25,18,0,1,1,7,14.2,0,0,0,-,0,1,1,2
Ｖ・プレミアリーグ男子 2013/14,東レアローズ,18,26,10,6,0,60.0,0,0,0,-,0.23,4,0.15,57,0,0,2,12,5.3,0,0,0,-,6,4,0,10
レギュラーラウンド,東レアローズ,17,23,9,5,0,55.6,0,0,0,-,0.22,4,0.17,52,0,0,2,11,5.3,0,0,0,-,5,4,0,9
セミファイナルラウンド,東レアローズ,1,3,1,1,0,100.0,0,0,0,-,0.33,0,-,5,0,0,0,1,5.0,0,0,0,-,1,0,0,1
Ｖ・プレミアリーグ男子 2012/13,東レアローズ,32,33,3,0,0,0.0,0,0,0,-,-,2,0.06,59,0,2,4,21,11.6,1,0,0,0.0,0,2,2,4
レギュラーラウンド,東レアローズ,28,30,3,0,0,0.0,0,0,0,-,-,2,0.07,56,0,2,4,21,12.2,1,0,0,0.0,0,2,2,4
セミファイナルラウンド,東レアローズ,3,3,0,0,0,-,0,0,0,-,-,0,-,3,0,0,0,0,0.0,0,0,0,-,0,0,0,0
ファイナルラウンド,東レアローズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,140,150,32,17,1,53.1,0,0,0,-,0.11,14,0.09,314,2,3,21,96,7.6,5,0,0,0.0,17,14,5,36
通算,,169,199,42,24,1,57.1,0,0,0,-,0.12,17,0.09,481,3,6,28,137,7.5,9,1,0,11.1,24,17,9,50
