大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 WOMEN,大野石油広島オイラーズ,21,78,268,99,8,36.9,1,0,0,0.0,1.27,32,0.41,270,3,4,10,58,7.0,7,4,0,57.1,99,32,7,138
レギュラーラウンド,大野石油広島オイラーズ,21,78,268,99,8,36.9,1,0,0,0.0,1.27,32,0.41,270,3,4,10,58,7.0,7,4,0,57.1,99,32,7,138
V.LEAGUE DIVISION2 WOMEN 2018-19,大野石油広島オイラーズ,20,29,103,36,6,35.0,0,0,0,-,1.24,4,0.14,87,1,2,3,26,10.1,8,3,4,62.5,36,4,3,43
レギュラーラウンド,大野石油広島オイラーズ,15,26,94,34,6,36.2,0,0,0,-,1.31,4,0.15,83,1,2,2,25,10.5,5,2,2,60.0,34,4,3,41
ファイナル６,大野石油広島オイラーズ,5,3,9,2,0,22.2,0,0,0,-,0.67,0,-,4,0,0,1,1,0.0,3,1,2,66.7,2,0,0,2
Ｖ・チャレンジリーグⅠ女子 2017/18,大野石油広島オイラーズ,5,4,5,1,0,20.0,0,0,0,-,0.25,0,-,10,0,0,0,3,7.5,0,0,0,-,1,0,0,1
レギュラーラウンド,大野石油広島オイラーズ,5,4,5,1,0,20.0,0,0,0,-,0.25,0,-,10,0,0,0,3,7.5,0,0,0,-,1,0,0,1
レギュラーシーズン通算,,41,108,367,134,14,36.5,1,0,0,0.0,1.24,36,0.33,363,4,6,12,86,7.9,12,6,2,58.3,134,36,10,180
通算,,46,111,376,136,14,36.2,1,0,0,0.0,1.23,36,0.32,367,4,6,13,87,7.8,15,7,4,60.0,136,36,10,182
