大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 WOMEN,大野石油広島オイラーズ,21,24,195,60,14,30.8,15,0,1,0.0,2.5,7,0.29,49,0,3,1,12,11.7,2,1,0,50.0,60,7,3,70
レギュラーラウンド,大野石油広島オイラーズ,21,24,195,60,14,30.8,15,0,1,0.0,2.5,7,0.29,49,0,3,1,12,11.7,2,1,0,50.0,60,7,3,70
V.LEAGUE DIVISION2 WOMEN 2018-19,大野石油広島オイラーズ,23,67,451,182,34,40.4,28,6,5,21.4,2.72,16,0.24,167,0,8,8,47,10.6,37,13,11,50.0,182,16,8,206
レギュラーラウンド,大野石油広島オイラーズ,18,53,398,166,30,41.7,26,5,5,19.2,3.13,14,0.26,151,0,8,6,39,10.8,27,9,8,48.1,166,14,8,188
ファイナル６,大野石油広島オイラーズ,5,14,53,16,4,30.2,2,1,0,50.0,1.14,2,0.14,16,0,0,2,8,9.4,10,4,3,55.0,16,2,0,18
Ｖ・チャレンジリーグⅠ女子 2017/18,大野石油広島オイラーズ,17,32,181,49,10,27.1,10,2,0,20.0,1.53,5,0.16,47,0,2,3,11,8.5,16,4,5,40.6,49,5,2,56
レギュラーラウンド,大野石油広島オイラーズ,17,32,181,49,10,27.1,10,2,0,20.0,1.53,5,0.16,47,0,2,3,11,8.5,16,4,5,40.6,49,5,2,56
Ｖ・チャレンジリーグⅠ女子 2016/17,大野石油広島オイラーズ,21,82,450,126,24,28.0,0,0,0,-,1.54,15,0.18,293,2,3,12,98,9.9,516,273,0,52.9,126,15,5,146
レギュラーラウンド,大野石油広島オイラーズ,21,82,450,126,24,28.0,0,0,0,-,1.54,15,0.18,293,2,3,12,98,9.9,516,273,0,52.9,126,15,5,146
レギュラーシーズン通算,,77,191,1224,401,78,32.8,51,7,6,13.7,2.1,41,0.21,540,2,16,22,160,9.7,561,287,13,52.3,401,41,18,460
通算,,82,205,1277,417,82,32.7,53,8,6,15.1,2.03,43,0.21,556,2,16,24,168,9.7,571,291,16,52.4,417,43,18,478
