名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エリザンジェラオリヴェイラ,2010-04,久光製薬スプリングス,11,12,153,37,17,24.2,13.1,63,13,7,4,48,5,5,9,0,0,0,46,20.6,3.08,0.33,12.5,
キムヨンギョン,2010-04,JTマーヴェラス,10,11,178,80,15,44.9,36.5,48,23,4,5,40,1,5,11,37,28,0,86,47.9,7.27,0.45,6.2,75.7
スタエレンスシャイーヌ,2010-04,デンソーエアリービーズ,34,12,159,59,11,37.1,30.2,26,13,4,5,49,2,3,13,40,27,0,66,50.0,4.92,0.42,9.2,67.5
バルボッサシンシア,2010-04,東レアローズ,8,12,96,31,4,32.3,28.1,25,12,0,1,34,2,2,10,14,9,0,34,48.0,2.58,0.08,11.8,64.3
中道瞳,2010-04,東レアローズ,6,13,2,2,0,100.0,100.0,0,0,0,2,42,2,3,11,0,0,0,6,,0.15,0.15,9.5,
久保雅,2010-04,JTマーヴェラス,4,8,23,12,1,52.2,47.8,0,0,0,3,20,2,1,5,2,1,0,17,,1.5,0.38,15.0,50.0
井上奈々朱,2010-04,デンソーエアリービーズ,18,8,0,0,0,,,0,0,0,1,2,0,1,1,0,0,0,1,,0.0,0.12,0.0,
井上琴絵,2010-04,JTマーヴェラス,13,11,0,0,0,,,0,0,0,0,0,0,0,0,44,30,0,0,,0.0,0.0,,68.2
井上香織,2010-04,デンソーエアリービーズ,8,12,76,30,1,39.5,38.2,0,0,0,11,39,2,1,12,1,1,0,43,,2.5,0.92,12.2,100.0
位田愛,2010-04,JTマーヴェラス,5,9,78,24,7,30.8,21.8,0,0,0,0,42,3,1,9,94,62,0,27,,2.67,0.0,11.9,66.0
佐藤美耶,2010-04,東レアローズ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐野優子,2010-04,久光製薬スプリングス,10,12,0,0,0,,,0,0,0,0,0,0,0,0,37,32,0,0,,0.0,0.0,,86.5
先野久美子,2010-04,久光製薬スプリングス,4,12,35,12,1,34.3,31.4,0,0,0,3,29,1,1,6,1,1,0,16,,1.0,0.25,7.8,100.0
千葉智枝美,2010-04,JTマーヴェラス,19,2,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
古藤千鶴,2010-04,久光製薬スプリングス,2,11,3,3,0,100.0,100.0,0,0,0,1,9,0,1,5,0,0,0,4,,0.27,0.09,11.1,
和田麻里江,2010-04,東レアローズ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂下麻衣子,2010-04,JTマーヴェラス,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大山未希,2010-04,東レアローズ,7,11,1,1,0,100.0,100.0,0,0,0,0,3,0,1,1,0,0,0,1,,0.09,0.0,0.0,
大槻真弥,2010-04,デンソーエアリービーズ,14,4,0,0,0,,,0,0,0,0,0,0,0,0,2,1,0,0,,0.0,0.0,,50.0
奥田恭子,2010-04,デンソーエアリービーズ,15,2,16,3,3,18.8,0.0,0,0,0,0,6,0,1,1,16,9,0,3,,1.5,0.0,0.0,56.2
宮田由佳里,2010-04,東レアローズ,18,12,27,6,1,22.2,18.5,0,0,0,3,30,0,1,10,0,0,0,9,,0.5,0.25,7.5,
小酒翔子,2010-04,JTマーヴェラス,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本愛,2010-04,JTマーヴェラス,3,11,59,31,5,52.5,44.1,1,0,0,12,48,5,4,15,1,0,0,48,0.0,2.82,1.09,16.1,0.0
岩坂名奈,2010-04,久光製薬スプリングス,17,11,6,0,0,0.0,0.0,0,0,0,1,18,1,0,8,1,0,0,2,,0.0,0.09,16.7,0.0
峯村沙紀,2010-04,東レアローズ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川原麻実,2010-04,JTマーヴェラス,15,11,32,13,1,40.6,37.5,0,0,0,2,31,1,1,10,34,17,0,16,,1.18,0.18,10.5,50.0
平井香菜子,2010-04,久光製薬スプリングス,9,12,46,17,4,37.0,28.3,0,0,0,11,33,2,0,8,4,4,0,30,,1.42,0.92,12.1,100.0
新鍋理沙,2010-04,久光製薬スプリングス,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
木村沙織,2010-04,東レアローズ,10,13,196,71,11,36.2,30.6,14,4,3,5,49,0,3,17,152,93,0,76,28.6,5.46,0.38,7.1,61.2
櫻井由香,2010-04,デンソーエアリービーズ,9,12,0,0,0,,,0,0,0,0,0,0,0,0,20,15,0,0,,0.0,0.0,,75.0
水田祐未,2010-04,久光製薬スプリングス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
河合由貴,2010-04,JTマーヴェラス,18,8,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
泉岡未来,2010-04,デンソーエアリービーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
浅津ゆうこ,2010-04,久光製薬スプリングス,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
濱口華菜里,2010-04,東レアローズ,5,13,0,0,0,,,0,0,0,0,0,0,0,0,71,46,0,0,,0.0,0.0,,64.8
熊谷桜子,2010-04,デンソーエアリービーズ,5,9,3,1,0,33.3,33.3,0,0,0,1,25,1,1,5,0,0,0,3,,0.11,0.11,8.0,
