試合日,年月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,1,,山田脩造,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,2,,山近哲,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,3,,重村健太,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,4,,内山正平,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,12,0,0,3,6.2,1,0,0,0.0,0
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,5,,前田一誠,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,6,,近裕崇,3,■,■,■,,,8,2,0,25.0,25.0,0.67,0,0,0,-,4,1.33,12,0,2,3,6.2,0,0,0,-,6
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,7,,白岩直也,3,■,■,■,,,10,6,1,60.0,50.0,2.00,0,0,0,-,3,1.00,11,0,0,5,11.4,20,11,0,55.0,9
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,8,,井上崇昭,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,10,L,古賀幸一郎,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,14,0,73.7,0
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,12,,高松卓矢,3,■,■,■,,,19,10,1,52.6,47.4,3.33,0,0,0,-,0,-,18,1,4,9,16.9,12,6,0,50.0,11
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,13,,岡本秀明,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,0,0,0.0,0
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,15,,オムルチェンイゴール,3,■,■,■,,,53,28,1,52.8,50.9,9.33,16,11,0,68.8,0,-,10,0,5,5,12.5,0,0,0,-,28
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,20,L,川口太一,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-13,2016-02,豊田合成トレフェルサ,ジェイテクトSTINGS,22,,傳田亮太,3,■,■,■,,,5,4,0,80.0,80.0,1.33,0,0,0,-,1,0.33,11,1,1,4,18.2,0,0,0,-,6
2016-02-13,2016-02,ジェイテクトSTINGS,豊田合成トレフェルサ,1,,カジースキマテイ,3,■,■,■,,,32,10,4,31.2,18.8,3.33,9,1,3,11.1,1,0.33,12,2,3,6,27.5,12,9,0,75.0,13
2016-02-13,2016-02,ジェイテクトSTINGS,豊田合成トレフェルサ,2,,金丸晃大,3,■,■,■,,,4,4,0,100.0,100.0,1.33,0,0,0,-,1,0.33,8,0,1,3,9.4,0,0,0,-,5
2016-02-13,2016-02,ジェイテクトSTINGS,豊田合成トレフェルサ,4,,古田史郎,2,■,■,,,,13,4,0,30.8,30.8,2.00,5,2,0,40.0,0,-,5,0,2,1,5.0,0,0,0,-,4
2016-02-13,2016-02,ジェイテクトSTINGS,豊田合成トレフェルサ,5,,清野真一,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-13,2016-02,ジェイテクトSTINGS,豊田合成トレフェルサ,6,,高橋慎治,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,10,0,0,1,2.5,0,0,0,-,0
2016-02-13,2016-02,ジェイテクトSTINGS,豊田合成トレフェルサ,7,,高橋和人,3,■,■,■,,,27,11,3,40.7,29.6,3.67,1,1,0,100.0,1,0.33,12,0,2,5,10.4,28,15,0,53.6,12
