名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オムルチェンイゴール,豊田合成トレフェルサ,15,10,19,289,147,16,50.9,45.3,127,73,10,4,94,15,24,43,1,0,0,166,57.5,7.74,0.21,21.0,0.0
カジースキマテイ,ジェイテクトSTINGS,1,10,18,190,89,12,46.8,40.5,37,18,4,7,72,9,11,34,127,74,0,105,48.6,4.94,0.39,20.5,58.3
ジョルジェフニコラ,東レアローズ,14,10,21,222,104,15,46.8,40.1,107,47,7,7,99,9,17,44,8,2,0,120,43.9,4.95,0.33,15.9,25.0
ダンチアマラウ,パナソニックパンサーズ,18,10,15,138,80,8,58.0,52.2,30,19,2,5,53,2,7,20,85,53,0,87,63.3,5.33,0.33,9.9,62.4
ペピチミラン,堺ブレイザーズ,6,10,18,194,92,22,47.4,36.1,74,34,10,2,74,13,21,25,0,0,0,107,45.9,5.11,0.11,18.9,
ヴィソットレアンドロ,JTサンダーズ,18,10,21,234,119,16,50.9,44.0,117,59,7,11,93,8,20,41,9,3,0,138,50.4,5.67,0.52,14.2,33.3
中島健太,JTサンダーズ,4,10,21,38,23,2,60.5,55.3,0,0,0,8,69,5,9,22,2,1,0,36,,1.1,0.38,12.0,50.0
久保山尚,ジェイテクトSTINGS,16,10,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
久原大輝,JTサンダーズ,8,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上俊輔,JTサンダーズ,9,8,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
井上崇昭,豊田合成トレフェルサ,8,10,10,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
井上裕介,堺ブレイザーズ,2,10,18,0,0,0,,,0,0,0,0,0,0,0,0,115,78,0,0,,0.0,0.0,,67.8
井手智,東レアローズ,22,10,15,0,0,0,,,0,0,0,0,0,0,0,0,44,26,0,0,,0.0,0.0,,59.1
今富稜介,堺ブレイザーズ,16,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今村貴彦,パナソニックパンサーズ,9,10,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
今村駿,堺ブレイザーズ,19,10,6,3,0,0,0.0,0.0,0,0,0,1,21,0,0,6,1,0,0,1,,0.0,0.17,7.1,0.0
伊藤康貴,堺ブレイザーズ,11,10,9,8,1,1,12.5,0.0,0,0,0,0,10,1,2,2,26,13,0,2,,0.11,0.0,10.0,50.0
伏見大和,東レアローズ,3,10,4,5,2,0,40.0,40.0,0,0,0,1,6,0,0,2,0,0,0,3,,0.5,0.25,8.3,
佐川翔,堺ブレイザーズ,8,8,14,4,2,0,50.0,50.0,0,0,0,4,34,1,4,8,3,0,0,7,,0.14,0.29,5.9,0.0
佐野翔,東レアローズ,4,10,14,1,1,0,100.0,100.0,1,1,0,0,17,1,5,7,0,0,0,2,100.0,0.07,0.0,8.8,
傳田亮太,豊田合成トレフェルサ,22,10,19,41,27,1,65.9,63.4,0,0,0,6,69,1,14,26,1,1,0,34,,1.42,0.32,5.8,100.0
八子大輔,JTサンダーズ,14,10,18,109,46,7,42.2,35.8,13,8,1,3,57,1,6,12,104,45,0,50,61.5,2.56,0.17,4.4,43.3
内山正平,豊田合成トレフェルサ,4,10,18,2,1,0,50.0,50.0,0,0,0,8,57,0,0,8,1,0,0,9,,0.06,0.44,3.5,0.0
内藤和也,堺ブレイザーズ,5,10,13,5,3,1,60.0,40.0,1,1,0,0,16,0,0,5,11,7,0,3,100.0,0.23,0.0,7.8,63.6
出耒田敬,堺ブレイザーズ,7,10,18,40,24,1,60.0,57.5,0,0,0,10,40,0,7,12,3,1,0,34,,1.33,0.56,3.1,33.3
前田一誠,豊田合成トレフェルサ,5,10,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
千々木駿介,堺ブレイザーズ,10,10,18,125,56,9,44.8,37.6,32,20,2,2,61,2,6,25,96,58,0,60,62.5,3.11,0.11,11.1,60.4
古田史郎,ジェイテクトSTINGS,4,10,10,63,22,7,34.9,23.8,26,8,6,2,22,1,7,3,0,0,0,25,30.8,2.2,0.2,0.0,
古賀幸一郎,豊田合成トレフェルサ,10,10,19,0,0,0,,,0,0,0,0,0,0,0,0,115,88,0,0,,0.0,0.0,,76.5
合田心平,パナソニックパンサーズ,19,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉岡光大,JTサンダーズ,5,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
唐川大志,JTサンダーズ,15,10,21,0,0,0,,,0,0,0,0,0,0,0,0,130,79,0,0,,0.0,0.0,,60.8
坂梨朋彦,堺ブレイザーズ,14,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
塚崎祐平,JTサンダーズ,16,10,1,2,1,0,50.0,50.0,2,1,0,0,0,0,0,0,0,0,0,1,50.0,1.0,0.0,,
大木貴之,東レアローズ,20,10,20,0,0,0,,,0,0,0,0,30,0,1,6,0,0,0,0,,0.0,0.0,4.2,
安井勇誠,JTサンダーズ,11,10,10,28,11,1,39.3,35.7,2,1,0,0,20,0,3,8,34,14,0,11,50.0,1.1,0.0,6.2,41.2
安永拓弥,JTサンダーズ,1,10,17,28,15,0,53.6,53.6,0,0,0,6,49,1,10,19,5,1,0,22,,0.88,0.35,6.6,20.0
富松崇彰,東レアローズ,1,10,21,54,35,4,64.8,57.4,0,0,0,15,55,2,1,14,0,0,0,52,,1.67,0.71,9.5,
専田和也,パナソニックパンサーズ,12,10,7,0,0,0,,,0,0,0,0,0,0,0,0,13,5,0,0,,0.0,0.0,,38.5
山添信也,パナソニックパンサーズ,3,10,15,34,23,0,67.6,67.6,0,0,0,6,68,5,10,18,4,3,0,34,,1.53,0.4,10.3,75.0
山田脩造,豊田合成トレフェルサ,1,10,6,13,6,1,46.2,38.5,1,0,0,0,6,0,1,3,6,5,0,6,0.0,1.0,0.0,8.3,83.3
山近哲,豊田合成トレフェルサ,2,10,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
岡本秀明,豊田合成トレフェルサ,13,10,10,1,0,0,0.0,0.0,0,0,0,0,1,0,1,0,13,4,0,0,,0.0,0.0,-25.0,30.8
川口太一,豊田合成トレフェルサ,20,10,1,0,0,0,,,0,0,0,0,0,0,0,0,2,2,0,0,,0.0,0.0,,100.0
廣瀬優希,ジェイテクトSTINGS,21,10,1,2,2,0,100.0,100.0,0,0,0,0,2,0,0,0,0,0,0,2,,2.0,0.0,0.0,
星野秀知,東レアローズ,10,10,21,96,46,4,47.9,43.8,2,0,0,4,68,5,16,27,137,72,0,55,0.0,2.19,0.19,11.4,52.6
木村泰輔,堺ブレイザーズ,15,8,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
本間隆太,ジェイテクトSTINGS,17,10,18,0,0,0,,,0,0,0,0,0,0,0,0,95,52,0,0,,0.0,0.0,,54.7
李博,東レアローズ,15,10,21,47,27,6,57.4,44.7,0,0,0,11,47,0,4,10,3,1,0,38,,1.29,0.52,3.2,33.3
松岡祐太,堺ブレイザーズ,13,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
