名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
フランシスムヤカバング,2021-01,近畿クラブスフィーダ,22,3,8,7,1,87.5,75.0,0,0,0,1,5,0,2,1,-5.0,0,0,0,8,,2.33,0.33,
フランシスムヤカバング,2021-02,近畿クラブスフィーダ,22,10,27,14,2,51.9,44.4,0,0,0,5,19,0,4,4,0.0,0,0,0,19,,1.4,0.5,
上田日登,2021-01,千葉ZELVA,21,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
上竣,2021-01,奈良ドリーマーズ,15,8,73,36,4,49.3,43.8,31,16,2,3,27,1,10,8,1.9,0,0,0,40,51.6,4.5,0.38,
上竣,2021-02,奈良ドリーマーズ,15,12,90,31,11,34.4,22.2,27,12,3,1,26,1,9,4,-1.0,1,1,0,33,44.4,2.58,0.08,100.0
下町浩二,2021-01,奈良ドリーマーズ,4,6,10,5,1,50.0,40.0,0,0,0,2,20,0,0,4,5.0,2,1,1,7,,0.83,0.33,75.0
下町浩二,2021-02,奈良ドリーマーズ,4,9,21,9,0,42.9,42.9,0,0,0,1,24,0,0,4,4.2,1,1,0,10,,1.0,0.11,100.0
中山雄介,2021-01,奈良ドリーマーズ,6,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
中山雄介,2021-02,奈良ドリーマーズ,6,4,0,0,0,,,0,0,0,0,4,0,2,0,-12.5,0,0,0,0,,0.0,0.0,
中村洸稀,2021-02,近畿クラブスフィーダ,2,8,49,24,5,49.0,38.8,3,2,1,1,12,0,3,3,0.0,2,1,0,25,66.7,3.0,0.12,50.0
中田雄大,2021-01,近畿クラブスフィーダ,12,4,0,0,0,,,0,0,0,0,8,0,1,1,0.0,0,0,0,0,,0.0,0.0,
中田雄大,2021-02,近畿クラブスフィーダ,12,7,1,1,0,100.0,100.0,0,0,0,0,17,1,1,1,5.9,0,0,0,2,,0.14,0.0,
中西武琉,2021-01,近畿クラブスフィーダ,19,6,49,26,6,53.1,40.8,19,10,4,2,22,0,3,8,5.7,44,16,18,28,52.6,4.33,0.33,56.8
中西武琉,2021-02,近畿クラブスフィーダ,19,13,80,44,2,55.0,52.5,14,8,1,8,54,6,16,14,10.2,77,42,18,58,57.1,3.38,0.62,66.2
