名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
フランシスムヤカバング,近畿クラブスフィーダ,22,13,35,21,3,60.0,51.4,0,0,0,6,24,0,6,5,-1.0,0,0,0,27,,1.62,0.46,
上田日登,千葉ZELVA,21,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
上竣,奈良ドリーマーズ,15,20,163,67,15,41.1,31.9,58,28,5,4,53,2,19,12,0.5,1,1,0,73,48.3,3.35,0.2,100.0
下町浩二,奈良ドリーマーズ,4,15,31,14,1,45.2,41.9,0,0,0,3,44,0,0,8,4.5,3,2,1,17,,0.93,0.2,83.3
中山雄介,奈良ドリーマーズ,6,4,0,0,0,,,0,0,0,0,4,0,2,0,-12.5,0,0,0,0,,0.0,0.0,
中村洸稀,近畿クラブスフィーダ,2,8,49,24,5,49.0,38.8,3,2,1,1,12,0,3,3,0.0,2,1,0,25,66.7,3.0,0.12,50.0
中田雄大,近畿クラブスフィーダ,12,11,1,1,0,100.0,100.0,0,0,0,0,25,1,2,2,4.0,0,0,0,2,,0.09,0.0,
中西武琉,近畿クラブスフィーダ,19,19,129,70,8,54.3,48.1,33,18,5,10,76,6,19,22,8.9,121,58,36,86,54.5,3.68,0.53,62.8
中谷芹,近畿クラブスフィーダ,8,3,1,1,0,100.0,100.0,0,0,0,0,3,0,0,0,0.0,1,0,0,1,,0.33,0.0,0.0
中野倭,近畿クラブスフィーダ,9,21,9,4,1,44.4,33.3,0,0,0,4,81,2,4,19,7.1,0,0,0,10,,0.19,0.19,
丸一達也,クボタスピアーズ,5,20,69,31,6,44.9,36.2,0,0,0,11,66,0,10,10,0.0,1,1,0,42,,1.55,0.55,100.0
丸尾翔太,近畿クラブスフィーダ,30,6,15,7,1,46.7,40.0,0,0,0,3,17,0,2,2,0.0,1,0,1,10,,1.17,0.5,50.0
久門伸司,近畿クラブスフィーダ,15,6,0,0,0,,,0,0,0,0,10,0,0,0,0.0,0,0,0,0,,0.0,0.0,
今中聖也,近畿クラブスフィーダ,5,6,6,5,0,83.3,83.3,0,0,0,0,6,0,2,2,0.0,0,0,0,5,,0.83,0.0,
