名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カントルサンドロ,2003-03,パナソニックパンサーズ,22,9,9,0.0,78,43,4,55.1,50.0,27,15,1,3,31,0,8,8,34,27,0,46,55.6,4.78,0.33,0.0,79.4
サベリエフイリア,2003-03,JTサンダーズ,21,9,9,0.0,105,59,6,56.2,50.5,33,18,5,4,44,2,17,19,46,36,0,65,54.5,6.56,0.44,5.7,78.3
ジルソンベルナルド,2003-03,サントリーサンバーズ,16,9,8,0.0,98,58,10,59.2,49.0,45,26,5,3,35,5,14,13,0,0,0,66,57.8,7.25,0.38,13.6,
ロドリゲスアンデルソン,2003-03,NECブルーロケッツ,18,9,9,0.0,85,43,9,50.6,40.0,39,22,5,5,44,10,15,10,5,2,0,58,56.4,4.78,0.56,19.9,40.0
下田悟,2003-03,JTサンダーズ,7,9,3,0.0,8,1,1,12.5,0.0,0,0,0,1,6,0,1,1,11,8,0,2,,0.33,0.33,0.0,72.7
久保尚志,2003-03,パナソニックパンサーズ,11,9,5,0.0,0,0,0,,,0,0,0,0,5,0,4,0,0,0,0,0,,0.0,0.0,-20.0,
今井啓介,2003-03,パナソニックパンサーズ,4,9,9,0.0,22,9,2,40.9,31.8,0,0,0,5,28,0,7,5,0,0,0,14,,1.0,0.56,-1.8,
佐々木太一,2003-03,サントリーサンバーズ,2,9,8,0.0,19,8,1,42.1,36.8,0,0,0,10,37,4,7,5,1,0,0,22,,1.0,1.25,9.5,0.0
前田悟,2003-03,JTサンダーズ,11,9,8,0.0,1,1,0,100.0,100.0,0,0,0,0,18,0,6,4,0,0,0,1,,0.12,0.0,-2.8,
北川祐介,2003-03,パナソニックパンサーズ,9,9,9,0.0,24,8,1,33.3,29.2,0,0,0,8,24,0,2,4,0,0,0,16,,0.89,0.89,2.1,
坂本雄一郎,2003-03,サントリーサンバーズ,3,6,4,0.0,2,1,0,50.0,50.0,0,0,0,2,9,0,1,0,1,1,0,3,,0.25,0.5,-2.8,100.0
大村悟,2003-03,NECブルーロケッツ,16,9,7,0.0,32,15,2,46.9,40.6,5,2,1,0,23,0,1,2,33,22,0,15,40.0,2.14,0.0,1.1,66.7
大森陽祐,2003-03,NECブルーロケッツ,3,9,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,48,41,0,0,,0.0,0.0,,85.4
大関元樹,2003-03,NECブルーロケッツ,5,6,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
奥谷信彦,2003-03,NECブルーロケッツ,20,9,9,0.0,0,0,0,,,0,0,0,0,11,1,0,1,0,0,0,1,,0.0,0.0,11.4,
宇佐美大輔,2003-03,NECブルーロケッツ,8,9,9,0.0,3,2,0,66.7,66.7,0,0,0,1,36,3,5,7,1,0,0,6,,0.22,0.11,9.7,0.0
宮下雅寛,2003-03,JTサンダーズ,1,9,10,0.0,15,8,2,53.3,40.0,0,0,0,3,33,2,6,13,0,0,0,13,,0.8,0.3,11.4,
小坂慎吾,2003-03,サントリーサンバーズ,5,9,7,0.0,12,7,1,58.3,50.0,0,0,0,1,19,3,5,0,22,16,0,11,,1.0,0.14,9.2,72.7
小糸敬夫,2003-03,パナソニックパンサーズ,6,9,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,77,57,0,0,,0.0,0.0,,74.0
尾上健司,2003-03,JTサンダーズ,20,9,11,0.0,15,6,0,40.0,40.0,0,0,0,7,28,0,0,1,0,0,0,13,,0.55,0.64,0.9,
山本健之,2003-03,JTサンダーズ,12,9,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,69,55,0,0,,0.0,0.0,,79.7
山本隆弘,2003-03,パナソニックパンサーズ,5,9,9,0.0,65,33,10,50.8,35.4,29,12,6,2,30,1,9,8,5,1,0,36,41.4,3.67,0.22,2.5,20.0
山村宏太,2003-03,サントリーサンバーズ,1,9,10,0.0,25,17,0,68.0,68.0,0,0,0,6,25,0,3,4,1,1,0,23,,1.7,0.6,1.0,100.0
岸本一馬,2003-03,パナソニックパンサーズ,1,9,5,0.0,1,0,1,0.0,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
川村慎二,2003-03,パナソニックパンサーズ,8,9,9,0.0,20,10,1,50.0,45.0,4,3,0,0,27,3,7,4,53,41,0,13,75.0,1.11,0.0,8.3,77.4
平野信孝,2003-03,JTサンダーズ,2,9,5,0.0,15,7,1,46.7,40.0,3,2,0,2,6,0,1,2,4,2,0,9,66.7,1.4,0.4,4.2,50.0
徳元幸人,2003-03,JTサンダーズ,8,9,9,0.0,37,12,2,32.4,27.0,1,0,0,3,32,0,6,2,66,51,0,15,0.0,1.33,0.33,-3.1,77.3
木原丈裕,2003-03,サントリーサンバーズ,12,9,8,0.0,33,12,2,36.4,30.3,4,0,0,3,33,0,3,3,21,10,0,15,0.0,1.5,0.38,0.0,47.6
栗原功武,2003-03,サントリーサンバーズ,15,3,3,0.0,8,7,0,87.5,87.5,0,0,0,2,14,0,0,3,1,0,0,9,,2.33,0.67,5.4,0.0
栗原圭介,2003-03,サントリーサンバーズ,6,9,3,0.0,0,0,0,,,0,0,0,0,13,0,2,1,0,0,0,0,,0.0,0.0,-1.9,
