名前,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アラウジョダシルバレアンドロ,東レアローズ,11,4,4,0.0,55,25,4,45.5,38.2,32,15,3,3,14,2,3,3,0,0,0,30,46.9,6.25,0.75,14.3,
エンダキエムブレイ,堺ブレイザーズ,7,4,3,0.0,19,10,1,52.6,47.4,11,7,0,0,13,2,2,5,0,0,0,12,63.6,3.33,0.0,21.2,
フォンテレスフェリペ,パナソニックパンサーズ,3,4,4,0.0,37,19,3,51.4,43.2,12,6,3,6,20,4,4,7,15,9,0,29,50.0,4.75,1.5,23.8,60.0
レオナルドメロ,サントリーサンバーズ,8,4,3,0.0,23,13,3,56.5,43.5,14,6,3,1,14,0,1,4,0,0,0,14,42.9,4.33,0.33,5.4,
二木健太,サントリーサンバーズ,14,4,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
今井啓介,パナソニックパンサーズ,4,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今田祐介,東レアローズ,14,4,3,0.0,12,8,1,66.7,58.3,2,2,0,1,10,0,2,3,20,8,0,9,100.0,2.67,0.33,2.5,40.0
伊藤信博,堺ブレイザーズ,15,4,3,0.0,12,5,0,41.7,41.7,0,0,0,2,10,0,2,3,0,0,0,7,,1.67,0.67,2.5,
冨士田裕大,サントリーサンバーズ,19,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
北島武,堺ブレイザーズ,4,4,3,0.0,14,9,0,64.3,64.3,6,3,0,1,8,0,3,0,19,16,0,10,50.0,3.0,0.33,-9.4,84.2
千葉進也,堺ブレイザーズ,6,4,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
吉田譲,サントリーサンバーズ,4,4,3,0.0,0,0,0,,,0,0,0,0,4,0,1,2,0,0,0,0,,0.0,0.0,6.2,
名田篤史,堺ブレイザーズ,9,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂本雄一郎,サントリーサンバーズ,3,4,3,0.0,8,7,0,87.5,87.5,0,0,0,4,10,0,0,6,1,1,0,11,,2.33,1.33,15.0,100.0
増野彰,堺ブレイザーズ,11,4,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,26,17,0,0,,0.0,0.0,,65.4
大道大輔,堺ブレイザーズ,18,4,3,0.0,9,5,3,55.6,22.2,0,0,0,2,9,0,2,3,0,0,0,7,,1.67,0.67,2.8,
宇佐美大輔,パナソニックパンサーズ,2,4,3,0.0,1,0,0,0.0,0.0,0,0,0,1,5,0,1,0,0,0,0,1,,0.0,0.33,-5.0,
富松崇彰,東レアローズ,1,4,4,0.0,6,1,1,16.7,0.0,0,0,0,4,7,0,3,2,0,0,0,5,,0.25,1.0,-3.6,
小糸敬夫,パナソニックパンサーズ,14,4,4,0.0,0,0,0,,,0,0,0,0,6,0,0,4,0,0,0,0,,0.0,0.0,16.7,
山本太二,東レアローズ,20,4,1,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山本隆弘,パナソニックパンサーズ,5,4,4,0.0,42,21,5,50.0,38.1,24,13,4,0,20,1,2,13,0,0,0,22,54.2,5.25,0.0,18.8,
山村宏太,サントリーサンバーズ,1,4,3,0.0,9,7,0,77.8,77.8,0,0,0,1,15,0,1,5,0,0,0,8,,2.33,0.33,6.7,
岩田正之,パナソニックパンサーズ,7,4,3,0.0,0,0,0,,,0,0,0,0,5,0,1,0,0,0,0,0,,0.0,0.0,-5.0,
川村慎二,パナソニックパンサーズ,8,4,1,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
朝長孝介,堺ブレイザーズ,5,4,1,0.0,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
木内学,堺ブレイザーズ,10,4,1,0.0,4,2,0,50.0,50.0,1,0,0,0,2,0,1,0,5,3,0,2,0.0,2.0,0.0,-12.5,60.0
枩田優介,パナソニックパンサーズ,13,4,2,0.0,3,2,0,66.7,66.7,0,0,0,2,3,0,0,1,0,0,0,4,,1.0,1.0,8.3,
栗原圭介,サントリーサンバーズ,6,4,3,0.0,1,0,0,0.0,0.0,0,0,0,0,9,0,1,1,0,0,0,0,,0.0,0.0,0.0,
桑田鎮典,サントリーサンバーズ,9,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
森田亜貴斗,パナソニックパンサーズ,12,4,3,0.0,6,1,1,16.7,0.0,0,0,0,0,8,0,0,2,0,0,0,1,,0.33,0.0,6.2,
永野健,パナソニックパンサーズ,17,4,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,9,7,0,0,,0.0,0.0,,77.8
津曲勝利,サントリーサンバーズ,11,4,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,15,14,0,0,,0.0,0.0,,93.3
田辺修,東レアローズ,2,4,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,15,7,0,0,,0.0,0.0,,46.7
白澤健児,パナソニックパンサーズ,6,4,4,0.0,11,4,0,36.4,36.4,0,0,0,2,9,0,0,1,3,2,0,6,,1.0,0.5,2.8,66.7
石島雄介,堺ブレイザーズ,3,4,3,0.0,18,6,1,33.3,27.8,1,1,0,1,9,1,2,1,14,7,0,8,100.0,2.0,0.33,8.3,50.0
笠原紀久,東レアローズ,5,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
篠田歩,東レアローズ,17,4,4,0.0,12,6,1,50.0,41.7,0,0,0,0,16,0,2,3,0,0,0,6,,1.5,0.0,1.6,
米山裕太,東レアローズ,18,4,3,0.0,14,3,3,21.4,0.0,0,0,0,0,8,0,1,2,18,11,0,3,,1.0,0.0,3.1,61.1
荻野正二,サントリーサンバーズ,10,4,3,0.0,10,5,0,50.0,50.0,0,0,0,1,10,0,1,1,25,13,0,6,,1.67,0.33,0.0,52.0
西尾太作,堺ブレイザーズ,16,4,1,0.0,2,0,0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
谷村孝,パナソニックパンサーズ,18,4,4,0.0,13,3,1,23.1,15.4,0,0,0,2,17,0,1,4,43,34,0,5,,0.75,0.5,4.4,79.1
越川優,サントリーサンバーズ,7,4,3,0.0,27,16,1,59.3,55.6,9,6,1,1,11,0,4,2,10,8,0,17,66.7,5.33,0.33,-4.5,80.0
越谷章,東レアローズ,10,4,4,0.0,16,3,2,18.8,6.2,0,0,0,2,12,0,0,1,30,22,0,5,,0.75,0.5,2.1,73.3
金井修也,堺ブレイザーズ,8,4,2,0.0,1,0,0,0.0,0.0,0,0,0,1,8,0,0,0,0,0,0,1,,0.0,0.5,0.0,
阿南卓,サントリーサンバーズ,17,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
阿部裕太,東レアローズ,9,4,4,0.0,4,2,0,50.0,50.0,0,0,0,3,13,0,1,3,0,0,0,5,,0.5,0.75,3.8,
高杉洋平,東レアローズ,8,4,2,0.0,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
齋藤信治,東レアローズ,7,4,3,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
