名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イェルツィンヒド,2000-01,パナソニックパンサーズ,5,6,25,215,121,18,56.3,47.9,48,29,1,13,100,10,24,35,190,144,0,144,60.4,4.84,0.52,12.8,75.8
イェルツィンヒド,2000-02,パナソニックパンサーズ,5,20,38,290,135,25,46.6,37.9,49,29,3,19,149,16,41,45,231,188,0,170,59.2,3.55,0.5,11.4,81.4
イェルツィンヒド,2000-03,パナソニックパンサーズ,5,6,7,60,31,6,51.7,41.7,16,7,3,1,26,3,13,6,46,37,0,35,43.8,4.43,0.14,4.8,80.4
シュレーポフイーゴリー,2000-01,JTサンダーズ,21,6,22,172,81,7,47.1,43.0,28,11,3,11,75,0,3,15,170,133,0,92,39.3,3.68,0.5,4.0,78.2
シュレーポフイーゴリー,2000-02,JTサンダーズ,21,20,38,309,168,13,54.4,50.2,50,19,3,30,150,2,9,26,298,227,0,200,38.0,4.42,0.79,4.2,76.2
シュレーポフイーゴリー,2000-03,JTサンダーズ,21,6,7,51,27,2,52.9,49.0,7,2,0,5,25,0,1,6,43,34,0,32,28.6,3.86,0.71,5.0,79.1
ジルソンベルナルド,2000-01,サントリーサンバーズ,16,6,22,225,119,41,52.9,34.7,98,49,24,8,95,20,34,24,0,0,0,147,50.0,5.41,0.36,18.4,
ジルソンベルナルド,2000-02,サントリーサンバーズ,16,18,32,316,185,35,58.5,47.5,156,88,21,19,137,16,48,40,4,1,0,220,56.4,5.78,0.59,10.2,25.0
ジルソンベルナルド,2000-03,サントリーサンバーズ,16,9,12,138,73,14,52.9,42.8,71,35,6,6,47,5,18,17,1,0,0,84,49.3,6.08,0.5,10.1,0.0
ファンダールミューレンオロフ,2000-01,NECブルーロケッツ,29,6,23,208,95,16,45.7,38.0,67,36,5,10,113,16,17,32,0,0,0,121,53.7,4.13,0.43,17.5,
ファンダールミューレンオロフ,2000-02,NECブルーロケッツ,29,20,34,302,141,35,46.7,35.1,112,52,18,17,145,12,34,34,1,1,0,170,46.4,4.15,0.5,8.3,100.0
ファンダールミューレンオロフ,2000-03,NECブルーロケッツ,29,6,8,53,34,3,64.2,58.5,19,12,2,4,34,1,8,15,0,0,0,39,63.2,4.25,0.5,8.1,
フランコサムエル,2000-01,豊田合成トレフェルサ,15,6,23,82,33,9,40.2,29.3,6,2,2,11,89,6,18,22,3,2,0,50,33.3,1.43,0.48,7.9,66.7
フランコサムエル,2000-02,豊田合成トレフェルサ,15,20,37,115,76,7,66.1,60.0,4,2,1,31,120,6,18,25,3,2,0,113,50.0,2.05,0.84,6.5,66.7
フランコサムエル,2000-03,豊田合成トレフェルサ,15,6,6,15,5,2,33.3,20.0,2,0,1,3,16,0,3,5,0,0,0,8,0.0,0.83,0.5,3.1,
ホフトーマス,2000-01,東レアローズ,19,7,25,103,63,4,61.2,57.3,1,1,0,26,86,2,8,21,2,2,0,91,100.0,2.52,1.04,6.1,100.0
ホフトーマス,2000-02,東レアローズ,19,18,32,127,82,8,64.6,58.3,0,0,0,18,112,1,9,30,11,9,0,101,,2.56,0.56,5.6,81.8
ホフトーマス,2000-03,東レアローズ,19,6,9,42,25,4,59.5,50.0,1,0,1,8,37,2,0,12,0,0,0,35,0.0,2.78,0.89,13.5,
ルイスアルベルダシルバ,2000-01,堺ブレイザーズ,13,7,24,256,133,24,52.0,42.6,118,66,16,9,123,7,26,43,3,2,0,149,55.9,5.54,0.38,9.1,66.7
ルイスアルベルダシルバ,2000-02,堺ブレイザーズ,13,18,32,257,130,28,50.6,39.7,103,53,15,15,132,13,29,40,5,2,0,158,51.5,4.06,0.47,11.9,40.0
ルイスアルベルダシルバ,2000-03,堺ブレイザーズ,13,3,3,21,8,3,38.1,23.8,5,1,1,1,7,0,4,2,0,0,0,9,20.0,2.67,0.33,-7.1,
上村進也,2000-01,パナソニックパンサーズ,19,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
上田芳裕,2000-02,サントリーサンバーズ,9,2,1,2,1,0,50.0,50.0,0,0,0,0,2,0,1,0,0,0,0,1,,1.0,0.0,-12.5,
上野敦史,2000-01,豊田合成トレフェルサ,18,2,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
下村英士,2000-01,JTサンダーズ,16,4,3,0,0,0,,,0,0,0,0,8,0,0,1,0,0,0,0,,0.0,0.0,3.1,
下村英士,2000-02,JTサンダーズ,16,20,14,1,1,0,100.0,100.0,0,0,0,0,25,0,1,4,0,0,0,1,,0.07,0.0,3.0,
下村英士,2000-03,JTサンダーズ,16,6,4,1,0,0,0.0,0.0,0,0,0,2,13,0,0,1,0,0,0,2,,0.0,0.5,1.9,
下田悟,2000-01,JTサンダーズ,7,6,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
下田悟,2000-02,JTサンダーズ,7,18,1,0,0,0,,,0,0,0,0,1,0,0,0,3,3,0,0,,0.0,0.0,0.0,100.0
下田悟,2000-03,JTサンダーズ,7,6,1,0,0,0,,,0,0,0,0,0,0,0,0,2,0,0,0,,0.0,0.0,,0.0
中垣内祐一,2000-01,堺ブレイザーズ,4,6,14,107,59,6,55.1,49.5,42,19,4,6,42,1,8,12,56,33,0,66,45.2,4.21,0.43,4.8,58.9
中垣内祐一,2000-02,堺ブレイザーズ,4,18,34,287,152,27,53.0,43.6,106,56,17,16,93,5,20,13,142,90,0,173,52.8,4.47,0.47,3.5,63.4
中垣内祐一,2000-03,堺ブレイザーズ,4,6,8,52,22,8,42.3,26.9,23,12,2,3,29,4,6,6,25,9,0,29,52.2,2.75,0.38,13.8,36.0
中川一,2000-01,NTT西日本レグルス,1,6,23,73,42,2,57.5,54.8,1,1,0,11,77,5,30,20,2,2,0,58,100.0,1.83,0.48,3.2,100.0
中川一,2000-02,NTT西日本レグルス,1,20,35,80,42,9,52.5,41.2,1,0,1,21,83,4,25,13,0,0,0,67,0.0,1.2,0.6,1.2,
中川一,2000-03,NTT西日本レグルス,1,6,7,20,13,1,65.0,60.0,0,0,0,2,24,0,6,5,1,0,0,15,,1.86,0.29,-1.0,0.0
中村成輔,2000-03,NTT西日本レグルス,14,3,4,0,0,0,,,0,0,0,0,7,0,0,3,0,0,0,0,,0.0,0.0,10.7,
中野順平,2000-01,東レアローズ,1,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中野順平,2000-02,東レアローズ,1,18,1,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
中野順平,2000-03,東レアローズ,1,6,2,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
丸尾文治,2000-01,JTサンダーズ,1,6,7,2,1,0,50.0,50.0,0,0,0,1,8,1,1,0,1,0,0,3,,0.14,0.14,9.4,0.0
丸尾文治,2000-02,JTサンダーズ,1,12,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
丸尾文治,2000-03,JTサンダーズ,1,3,1,2,0,1,0.0,-50.0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
丸山利明,2000-01,旭化成スパーキッズ,9,5,6,4,1,0,25.0,25.0,2,0,0,0,9,0,1,2,0,0,0,1,0.0,0.17,0.0,2.8,
丸山利明,2000-02,旭化成スパーキッズ,9,4,4,25,6,1,24.0,20.0,4,1,1,1,9,0,2,1,10,4,0,7,25.0,1.5,0.25,-2.8,40.0
丸茂智彦,2000-01,東レアローズ,12,7,13,0,0,0,,,0,0,0,0,17,0,0,2,0,0,0,0,,0.0,0.0,2.9,
丸茂智彦,2000-02,東レアローズ,12,18,3,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,0,,0.0,0.0,12.5,
丸茂智彦,2000-03,東レアローズ,12,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
五十里朗,2000-01,NTT西日本レグルス,15,6,23,74,30,6,40.5,32.4,11,5,2,6,54,0,4,7,25,15,0,36,45.5,1.3,0.26,1.4,60.0
五十里朗,2000-02,NTT西日本レグルス,15,20,35,131,66,7,50.4,45.0,0,0,0,23,104,2,9,12,4,4,0,91,,1.89,0.66,2.6,100.0
五十里朗,2000-03,NTT西日本レグルス,15,6,7,24,10,2,41.7,33.3,0,0,0,2,23,0,0,6,4,2,0,12,,1.43,0.29,6.5,50.0
伊勢隆一,2000-01,JTサンダーズ,14,5,19,43,22,1,51.2,48.8,0,0,0,11,77,2,8,23,3,3,0,35,,1.16,0.58,7.5,100.0
伊勢隆一,2000-02,JTサンダーズ,14,20,38,82,40,8,48.8,39.0,0,0,0,27,135,2,13,25,5,3,0,69,,1.05,0.71,3.7,60.0
伊勢隆一,2000-03,JTサンダーズ,14,6,7,17,7,0,41.2,41.2,0,0,0,10,27,0,3,8,1,1,0,17,,1.0,1.43,4.6,100.0
伊藤信博,2000-01,堺ブレイザーズ,15,7,13,3,1,0,33.3,33.3,0,0,0,1,3,0,1,0,0,0,0,2,,0.08,0.08,-8.3,
伊藤信博,2000-02,堺ブレイザーズ,15,18,26,8,3,0,37.5,37.5,0,0,0,3,6,0,1,0,1,1,0,6,,0.12,0.12,-4.2,100.0
伊藤信博,2000-03,堺ブレイザーズ,15,6,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐々木太一,2000-01,サントリーサンバーズ,2,6,22,68,44,3,64.7,60.3,1,0,0,17,88,5,19,14,9,7,0,66,0.0,2.0,0.77,4.3,77.8
佐々木太一,2000-02,サントリーサンバーズ,2,18,32,99,57,6,57.6,51.5,0,0,0,25,138,9,26,37,7,7,0,91,,1.78,0.78,8.5,100.0
佐々木太一,2000-03,サントリーサンバーズ,2,9,12,45,30,1,66.7,64.4,0,0,0,8,43,2,12,9,0,0,0,40,,2.5,0.67,2.9,
