大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,日立リヴァーレ,24,70,714,241,40,33.8,66,20,8,30.3,3.44,14,0.20,240,2,4,14,71,8.4,436,211,97,59.5,241,14,6,261
プレミアカンファレンス,日立リヴァーレ,15,50,560,191,33,34.1,52,13,8,25.0,3.82,9,0.18,169,0,3,9,46,7.2,325,153,76,58.8,191,9,3,203
交流戦,日立リヴァーレ,6,18,148,49,6,33.1,14,7,0,50.0,2.72,5,0.28,68,2,1,4,24,11.8,106,57,20,63.2,49,5,3,57
チャレンジ４,日立リヴァーレ,3,2,6,1,1,16.7,0,0,0,-,0.5,0,-,3,0,0,1,1,0.0,5,1,1,30.0,1,0,0,1
V.LEAGUE DIVISION1 WOMEN 2018-19,日立リヴァーレ,27,62,579,200,39,34.5,46,11,7,23.9,3.23,5,0.08,163,2,5,15,46,9.0,230,97,52,53.5,200,5,7,212
Eastern Conference,日立リヴァーレ,10,16,140,54,9,38.6,9,2,1,22.2,3.38,0,-,46,1,0,7,10,3.8,56,18,14,44.6,54,0,1,55
交流戦,日立リヴァーレ,10,30,305,101,19,33.1,26,6,3,23.1,3.37,2,0.07,84,1,3,4,27,11.6,117,59,22,59.8,101,2,4,107
ファイナル８,日立リヴァーレ,7,16,134,45,11,33.6,11,3,3,27.3,2.81,3,0.19,33,0,2,4,9,9.8,57,20,16,49.1,45,3,2,50
レギュラーシーズン通算,,41,114,1153,395,67,34.3,101,28,12,27.7,3.46,16,0.14,367,4,7,24,107,8.7,604,287,132,58.4,395,16,11,422
通算,,51,132,1293,441,79,34.1,112,31,15,27.7,3.34,19,0.14,403,4,9,29,117,8.7,666,308,149,57.4,441,19,13,473
