大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,日立リヴァーレ,21,24,11,2,1,18.2,0,0,0,-,0.08,0,-,17,0,0,2,4,2.9,44,12,11,39.8,2,0,0,2
プレミアカンファレンス,日立リヴァーレ,12,8,7,2,1,28.6,0,0,0,-,0.25,0,-,14,0,0,2,4,3.6,17,4,6,41.2,2,0,0,2
交流戦,日立リヴァーレ,6,14,4,0,0,0.0,0,0,0,-,-,0,-,3,0,0,0,0,0.0,23,6,5,37.0,0,0,0,0
チャレンジ４,日立リヴァーレ,3,2,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,4,2,0,50.0,0,0,0,0
V.LEAGUE DIVISION1 WOMEN 2018-19,日立リヴァーレ,27,69,167,49,6,29.3,0,0,0,-,0.71,13,0.19,202,2,4,15,34,5.3,31,13,8,54.8,49,13,6,68
Eastern Conference,日立リヴァーレ,10,25,55,12,3,21.8,0,0,0,-,0.48,2,0.08,81,1,2,3,15,7.4,4,2,1,62.5,12,2,3,17
交流戦,日立リヴァーレ,10,31,82,28,2,34.1,0,0,0,-,0.90,10,0.32,85,1,1,10,15,3.8,0,0,0,-,28,10,2,40
ファイナル８,日立リヴァーレ,7,13,30,9,1,30.0,0,0,0,-,0.69,1,0.08,36,0,1,2,4,4.2,27,11,7,53.7,9,1,1,11
レギュラーシーズン通算,,38,78,148,42,6,28.4,0,0,0,-,0.54,12,0.15,183,2,3,15,34,5.3,44,12,12,40.9,42,12,5,59
通算,,48,93,178,51,7,28.7,0,0,0,-,0.55,13,0.14,219,2,4,17,38,5.1,75,25,19,46.0,51,13,6,70
