試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,1,,貞包里穂,4,■,■,■,■,nan,41,13,1,31.7,29.3,3.25,4,0,1,0.0,0,-,16,0,2,5,4.7,7,2,1,35.7,13
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,2,,櫻井美樹,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,0,-,16,1,1,4,10.9,0,0,0,-,2
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,3,,大元朱菜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,4,L,花井萌里,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,10,2,78.6,0
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,5,,長野有紗,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,6,,金杉由香,2,□,nan,nan,□,nan,10,2,1,20.0,10.0,1.00,0,0,0,-,1,0.50,2,0,1,1,0.0,0,0,0,-,3
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,7,,堀込奈央,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,8,,宮地佳乃,2,nan,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.50,0,0,0,0,-,0,0,0,-,1
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,11,,荒谷栞,4,■,■,■,■,nan,13,5,0,38.5,38.5,1.25,0,0,0,-,0,-,18,1,3,7,11.1,0,0,0,-,6
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,12,,孫田菜奈,1,□,nan,nan,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,13,,田中咲希,4,■,■,■,■,nan,40,13,2,32.5,27.5,3.25,1,1,0,100.0,0,-,12,0,2,3,2.1,13,5,3,50.0,13
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,14,,佐々木千紘,4,■,■,■,■,nan,27,15,1,55.6,51.9,3.75,0,0,0,-,3,0.75,19,1,1,7,13.2,0,0,0,-,19
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,15,,松本愛希穂,4,■,■,■,■,nan,50,20,0,40.0,40.0,5.00,3,0,0,0.0,0,-,17,2,1,2,13.2,57,34,9,67.5,22
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,18,,溝口由利香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-01-30,ヴィクトリーナ姫路,デンソーエアリービーズ,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,186,69,5,37.1,34.4,17.25,8,1,1,12.5,5,1.25,104,5,11,30,9.4,91,51,15,64.3,79
