名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,久光製薬スプリングス,16,74,398,240,15,60.3,56.5,0,0,0,53,279,25,17,100,9,2,3,318,,3.24,0.72,16.4,38.9
オクム大庭冬美ハウィ,日立リヴァーレ,17,6,64,21,4,32.8,26.6,4,1,1,2,16,0,3,4,1,0,0,23,25.0,3.5,0.33,1.6,0.0
オズソイネリマン,トヨタ車体クインシーズ,13,81,1191,519,100,43.6,35.2,403,193,52,42,302,19,6,113,12,0,5,580,47.9,6.41,0.52,15.1,20.8
カルカセスケニア,埼玉上尾メディックス,14,79,1260,513,112,40.7,31.8,321,132,39,30,234,17,53,46,5,1,2,560,41.1,6.49,0.38,6.5,40.0
クリスティアネフュルスト,デンソーエアリービーズ,21,83,391,175,13,44.8,41.4,2,1,0,67,238,16,18,55,13,5,6,258,50.0,2.11,0.81,10.6,61.5
ケイディリンロルフゼン,東レアローズ,12,80,772,300,45,38.9,33.0,83,28,8,35,244,20,41,91,512,178,156,355,33.7,3.75,0.44,13.3,50.0
ジャクソンカースティ,日立リヴァーレ,14,81,440,223,20,50.7,46.1,0,0,0,48,238,11,26,67,14,9,2,282,,2.75,0.59,8.9,71.4
ミハイロビッチブランキツァ,JTマーヴェラス,9,84,1142,479,81,41.9,34.9,235,112,26,25,259,20,48,69,78,27,20,524,47.7,5.7,0.3,9.7,47.4
三浦茉実,埼玉上尾メディックス,9,39,54,10,7,18.5,5.6,0,0,0,3,40,4,0,9,93,27,25,17,,0.26,0.08,15.6,42.5
上野香織,NECレッドロケッツ,6,46,154,68,11,44.2,37.0,2,0,1,11,121,7,24,26,8,2,3,86,0.0,1.48,0.24,6.2,43.8
下平夏奈,日立リヴァーレ,4,14,0,0,0,,,0,0,0,0,17,1,0,5,0,0,0,1,,0.0,0.0,13.2,
中屋夏澄,トヨタ車体クインシーズ,16,27,140,50,13,35.7,26.4,13,5,2,4,66,2,14,11,83,15,20,56,38.5,1.85,0.15,1.9,30.1
中島未来,東レアローズ,18,26,0,0,0,,,0,0,0,0,10,0,1,3,11,3,2,0,,0.0,0.0,5.0,36.4
中川千世,デンソーエアリービーズ,7,73,22,4,2,18.2,9.1,0,0,0,1,4,0,0,2,37,13,10,5,,0.05,0.01,12.5,48.6
中川有美,東レアローズ,15,77,0,0,0,,,0,0,0,0,0,0,0,0,232,107,75,0,,0.0,0.0,,62.3
中田紫乃,東レアローズ,16,41,5,0,0,0.0,0.0,0,0,0,0,65,5,8,30,4,0,1,5,,0.0,0.0,16.2,12.5
丸元美緒,デンソーエアリービーズ,18,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
丸山裕子,埼玉上尾メディックス,20,68,219,86,19,39.3,30.6,1,0,0,25,180,9,26,60,6,1,4,120,0.0,1.26,0.37,9.7,50.0
井上奈々朱,東レアローズ,1,75,130,47,12,36.2,26.9,0,0,0,38,152,13,25,43,5,0,3,98,,0.63,0.51,11.5,30.0
井上琴絵,JTマーヴェラス,10,79,0,0,0,,,0,0,0,0,88,5,10,29,79,29,17,5,,0.0,0.0,11.1,47.5
井上美咲,埼玉上尾メディックス,13,3,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
今村優香,久光製薬スプリングス,12,33,346,142,8,41.0,38.7,19,8,1,6,113,5,7,37,55,17,10,153,42.1,4.3,0.18,11.1,40.0
佐藤あり紗,日立リヴァーレ,5,76,0,0,0,,,0,0,0,0,0,0,0,0,213,112,42,0,,0.0,0.0,,62.4
