名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カナニダニエルソン,トヨタ車体クインシーズ,23,10,112,38,9,33.9,25.9,19,6,2,6,32,0,3,8,4,3,0,44,31.6,3.8,0.6,3.9,75.0
ペーニャヨンカイラ,東レアローズ,16,9,76,24,9,31.6,19.7,3,0,1,3,27,0,6,7,34,17,0,27,0.0,2.7,0.3,0.9,50.0
下平夏奈,東レアローズ,7,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
中大路絢野,久光製薬スプリングス,24,4,2,0,0,0.0,0.0,0,0,0,0,6,2,0,2,0,0,0,2,,0.0,0.0,41.7,
中道瞳,東レアローズ,3,6,2,1,0,50.0,50.0,0,0,0,0,12,0,0,2,0,0,0,1,,0.2,0.0,4.2,
丸山亜季,岡山シーガルズ,20,10,0,0,0,,,0,0,0,0,0,0,0,0,29,17,0,0,,0.0,0.0,,58.6
二見梓,東レアローズ,14,8,30,8,2,26.7,20.0,0,0,0,2,26,0,0,11,0,0,0,10,,1.0,0.2,10.6,
伊藤望,東レアローズ,19,4,12,3,1,25.0,16.7,0,0,0,1,11,0,2,5,0,0,0,4,,0.8,0.2,6.8,
佐々木侑,岡山シーガルズ,3,5,11,5,0,45.5,45.5,0,0,0,1,16,1,0,4,16,3,0,7,,1.0,0.2,12.5,18.8
佐々木萌,岡山シーガルズ,7,9,83,24,2,28.9,26.5,0,0,0,5,22,0,2,7,53,26,0,29,,2.7,0.6,5.7,49.1
卜部里菜,岡山シーガルズ,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古藤千鶴,久光製薬スプリングス,2,7,1,0,0,0.0,0.0,0,0,0,0,28,1,1,9,0,0,0,1,,0.0,0.0,10.7,
吉田みなみ,岡山シーガルズ,1,10,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
堀川真理,東レアローズ,13,4,7,3,1,42.9,28.6,0,0,0,0,0,0,0,0,0,0,0,3,,0.8,0.0,,
宮下遥,岡山シーガルズ,14,10,9,4,0,44.4,44.4,0,0,0,6,56,1,1,25,0,0,0,11,,0.4,0.6,12.5,
宮田由佳里,東レアローズ,8,8,40,16,2,40.0,35.0,0,0,0,1,23,1,1,11,1,1,0,18,,2.0,0.1,15.2,100.0
小平花織,東レアローズ,9,9,0,0,0,,,0,0,0,0,0,0,0,0,36,23,0,0,,0.0,0.0,,63.9
山口舞,岡山シーガルズ,2,7,38,20,2,52.6,47.4,0,0,0,2,18,0,0,0,1,0,0,22,,2.9,0.3,0.0,0.0
山田侑樹,トヨタ車体クインシーズ,16,4,0,0,0,,,0,0,0,0,10,1,0,5,2,1,0,1,,0.0,0.0,22.5,50.0
山田真里,トヨタ車体クインシーズ,12,10,70,22,0,31.4,31.4,0,0,0,3,33,1,1,18,75,37,0,26,,2.2,0.3,15.9,49.3
岩坂名奈,久光製薬スプリングス,4,7,20,6,2,30.0,20.0,0,0,0,3,29,1,2,13,1,1,0,10,,0.9,0.4,12.9,100.0
峯村沙紀,東レアローズ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
