試合日,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,1,,竹田沙希,3,■,■,■,nan,nan,19,3,1,15.8,10.5,1.00,0,0,0,-,1,0.33,5,0,1,2,10.0,24,14,0,58.3,4
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,2,,矢野美子,2,■,■,nan,nan,nan,13,3,0,23.1,23.1,1.50,0,0,0,-,1,0.50,7,0,0,2,7.1,2,2,0,100.0,4
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,4,,藤田夏未,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,9,0,0,1,2.8,0,0,0,-,0
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,5,,平松美有紀,3,■,■,■,nan,nan,12,5,2,41.7,25.0,1.67,0,0,0,-,2,0.67,7,1,3,2,21.4,0,0,0,-,8
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,6,,衛藤智美,1,nan,nan,■,nan,nan,7,5,0,71.4,71.4,5.00,0,0,0,-,0,-,4,0,0,2,12.5,0,0,0,-,5
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,7,,日隈佑,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,8,,川島里華,2,□,□,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,11,L,梶原雪路,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,5,0,41.7,0
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,12,,山田真里,3,■,■,■,nan,nan,23,4,0,17.4,17.4,1.33,0,0,0,-,1,0.33,9,0,1,5,13.9,25,14,0,56.0,5
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,13,,高橋咲妃惠,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,2,0,66.7,0
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,14,,藤原亜紀,1,□,nan,nan,nan,nan,5,0,0,0.0,0.0,-,1,0,0,0.0,0,-,1,0,0,0,0.0,1,0,0,0.0,0
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,16,,山田侑樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,18,L,眞恵子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-28,03,トヨタ車体クインシーズ,久光製薬スプリングス,23,,カナニダニエルソン,3,■,■,■,nan,nan,22,6,2,27.3,18.2,2.00,8,3,0,37.5,2,0.67,7,0,0,2,7.1,0,0,0,-,8
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,1,,長岡望悠,3,■,■,■,nan,nan,27,14,0,51.9,51.9,4.67,5,1,0,20.0,2,0.67,9,0,1,2,5.6,1,1,0,100.0,16
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,2,,古藤千鶴,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,15,1,1,4,12.0,0,0,0,-,1
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,3,,新鍋理沙,3,■,■,■,nan,nan,23,13,0,56.5,56.5,4.33,1,1,0,100.0,3,1.00,14,0,1,8,14.3,17,12,0,70.6,16
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,4,,岩坂名奈,3,■,■,■,nan,nan,7,2,1,28.6,14.3,0.67,0,0,0,-,1,0.33,8,0,1,3,9.4,1,1,0,100.0,3
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,5,,水田祐未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,6,,石井優希,3,■,■,■,nan,nan,32,11,2,34.4,28.1,3.67,1,0,0,0.0,2,0.67,12,0,1,7,14.6,15,7,0,46.7,13
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,7,L,筒井視穂子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,8,,野本梨佳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,9,,平井香菜子,3,■,■,■,nan,nan,9,5,2,55.6,33.3,1.67,0,0,0,-,2,0.67,7,0,1,0,0.0,0,0,0,-,7
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,11,,狩野舞子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,20,L,筒井さやか,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,7,5,0,71.4,0
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,22,,石田瑞穂,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,1,1.00,1,0,0,0,0.0,1,0,0,0.0,1
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,23,,石橋里紗,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,0,3,31.0,0,0,0,-,1
2014-03-28,03,久光製薬スプリングス,トヨタ車体クインシーズ,24,,中大路絢野,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,1,0,1,41.7,0,0,0,-,1
2014-03-28,03,岡山シーガルズ,東レアローズ,1,L,吉田みなみ,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-28,03,岡山シーガルズ,東レアローズ,2,,山口舞,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
