名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
中元南,2021-02,デンソーエアリービーズ,1,0,3,0,2,4,1,1,25.0,0.0,0,0,0,0,2,0,2,0,4,1,0,1,,0.5,0.0,-25.0,25.0
中屋夏澄,2021-02,トヨタ車体クインシーズ,16,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島未来,2021-02,東レアローズ,6,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村安里,2021-02,日立リヴァーレ,11,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中田紫乃,2021-02,東レアローズ,5,3,0,1,2,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,,0.0,0.0,25.0,
丸山亜季,2021-02,岡山シーガルズ,20,3,0,1,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
丸山紗季,2021-02,KUROBEアクアフェアリーズ,1,1,3,0,3,1,1,0,100.0,100.0,0,0,0,0,2,0,1,1,10,1,4,1,,0.33,0.0,0.0,30.0
井上奈々朱,2021-02,東レアローズ,1,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上愛里沙,2021-02,久光スプリングス,5,0,3,0,3,32,14,0,43.8,43.8,6,2,0,1,7,0,1,2,0,0,0,15,33.3,4.67,0.33,3.6,
井上琴絵,2021-02,デンソーエアリービーズ,11,0,3,0,3,0,0,0,,,0,0,0,0,0,0,0,0,20,5,6,0,,0.0,0.0,,40.0
井上美咲,2021-02,久光スプリングス,2,0,3,0,3,0,0,0,,,0,0,0,0,6,0,0,3,0,0,0,0,,0.0,0.0,12.5,
仁井田桃子,2021-02,埼玉上尾メディックス,19,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今村優香,2021-02,久光スプリングス,12,0,3,0,1,3,0,0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
佐々木千紘,2021-02,ヴィクトリーナ姫路,14,3,2,1,5,11,2,0,18.2,18.2,0,0,0,0,17,0,2,6,1,0,0,2,,0.4,0.0,5.9,0.0
佐藤優花,2021-02,埼玉上尾メディックス,10,3,1,1,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
佐藤澪,2021-02,NECレッドロケッツ,18,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
入澤まい,2021-02,日立リヴァーレ,14,1,3,0,4,9,2,0,22.2,22.2,0,0,0,5,13,0,1,4,2,1,1,7,,0.5,1.25,5.8,75.0
兵頭由希,2021-02,デンソーエアリービーズ,24,0,3,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
内瀬戸真実,2021-02,埼玉上尾メディックス,9,3,1,1,4,39,12,1,30.8,28.2,1,0,0,3,15,0,1,3,11,5,3,15,0.0,3.0,0.75,3.3,59.1
及川真夢,2021-02,岡山シーガルズ,8,3,0,1,3,11,8,0,72.7,72.7,0,0,0,1,16,2,0,4,0,0,0,11,,2.67,0.33,18.8,
古川あおいアン,2021-02,岡山シーガルズ,15,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古谷ちなみ,2021-02,NECレッドロケッツ,11,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古賀紗理那,2021-02,NECレッドロケッツ,2,2,3,0,5,54,19,1,35.2,33.3,8,2,0,2,16,0,1,4,59,25,19,21,25.0,3.8,0.4,4.7,58.5
合屋咲希,2021-02,PFUブルーキャッツ,7,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉岡美晴,2021-02,岡山シーガルズ,4,3,0,1,3,25,10,1,40.0,36.0,0,0,0,0,7,0,0,0,18,9,2,10,,3.33,0.0,0.0,55.6
吉野優理,2021-02,埼玉上尾メディックス,8,3,1,1,4,38,18,1,47.4,44.7,4,0,0,0,17,0,1,3,46,18,16,18,0.0,4.5,0.0,2.9,56.5
和才奈々美,2021-02,PFUブルーキャッツ,33,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
和田由紀子,2021-02,JTマーヴェラス,16,3,2,1,1,4,1,1,25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
坂本侑,2021-02,東レアローズ,15,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀口あやか,2021-02,PFUブルーキャッツ,11,3,1,1,1,0,0,0,,,0,0,0,0,2,1,0,1,0,0,0,1,,0.0,0.0,62.5,
堀江美志,2021-02,埼玉上尾メディックス,4,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀込奈央,2021-02,ヴィクトリーナ姫路,7,3,2,1,3,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
塚田しおり,2021-02,NECレッドロケッツ,3,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
境紗里奈,2021-02,日立リヴァーレ,18,1,3,0,1,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
大室璃紗,2021-02,埼玉上尾メディックス,23,3,1,1,2,0,0,0,,,0,0,0,0,3,0,0,0,5,2,1,0,,0.0,0.0,0.0,50.0
大崎琴未,2021-02,東レアローズ,14,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
