名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
上出哲也,2016-01,近畿クラブスフィーダ,17,2,3,0,2,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
上出哲也,2016-02,近畿クラブスフィーダ,17,6,1,2,7,20,11,0,55.0,55.0,0,0,0,7,24,0,2,5,1,1,0,18,,1.57,1.0,3.1,100.0
上田日登,2015-11,千葉ZELVA,18,4,6,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
上田日登,2015-12,千葉ZELVA,18,6,5,2,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
上田日登,2016-01,千葉ZELVA,18,6,8,2,5,4,2,0,50.0,50.0,0,0,0,1,13,0,3,2,0,0,0,3,,0.4,0.2,-1.9,
上田日登,2016-02,千葉ZELVA,18,12,11,3,3,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,0,,0.0,0.0,-8.3,
下町浩二,2015-11,奈良ドリーマーズ,4,3,9,0,10,49,17,4,34.7,26.5,0,0,0,8,15,0,2,5,1,1,0,25,,1.7,0.8,5.0,100.0
下町浩二,2015-12,奈良ドリーマーズ,4,4,6,1,8,27,12,4,44.4,29.6,0,0,0,2,12,0,1,5,0,0,0,14,,1.5,0.25,8.3,
下町浩二,2016-01,奈良ドリーマーズ,4,3,2,1,4,8,3,1,37.5,25.0,0,0,0,2,2,0,0,1,0,0,0,5,,0.75,0.5,12.5,
下町浩二,2016-02,奈良ドリーマーズ,4,6,16,1,21,73,33,3,45.2,41.1,0,0,0,12,48,1,5,17,3,1,0,46,,1.57,0.57,8.3,33.3
中倉翼,2015-11,兵庫デルフィーノ,21,6,0,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村郁弥,2016-01,近畿クラブスフィーダ,26,6,2,2,2,1,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
