名前,チーム,背番号,月,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
上出哲也,近畿クラブスフィーダ,17,5,8,4,2,9,20,11,0,55.0,55.0,0,0,0,7,26,0,3,6,1,1,0,18,,1.22,0.78,2.9,100.0
上田日登,千葉ZELVA,18,85,28,30,8,10,4,2,0,50.0,50.0,0,0,0,1,17,0,4,2,0,0,0,3,,0.2,0.1,-2.9,
下町浩二,奈良ドリーマーズ,4,82,16,33,3,43,157,65,12,41.4,33.8,0,0,0,24,77,1,8,28,4,2,0,90,,1.51,0.56,7.8,50.0
中倉翼,兵庫デルフィーノ,21,22,6,0,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村郁弥,近畿クラブスフィーダ,26,4,9,4,3,2,1,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
中田雄大,近畿クラブスフィーダ,12,36,17,22,5,34,12,5,0,41.7,41.7,0,0,0,5,132,4,5,38,1,0,0,14,,0.15,0.15,9.3,0.0
中谷光,VC長野トライデンツ,25,82,40,9,13,23,0,0,0,,,0,0,0,0,39,1,5,16,0,0,0,1,,0.0,0.0,9.6,
中野壮一朗,千葉ZELVA,13,87,29,36,8,58,171,62,8,36.3,31.6,0,0,0,30,149,1,15,52,22,14,0,93,,1.07,0.52,6.9,63.6
丹下雅行,奈良ドリーマーズ,8,47,13,36,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
久堀雄世,奈良ドリーマーズ,14,87,18,48,3,54,138,46,15,33.3,22.5,0,0,0,19,129,2,14,38,10,5,0,67,,0.85,0.35,6.2,50.0
今村雄登,兵庫デルフィーノ,8,74,24,28,7,48,23,13,0,56.5,56.5,0,0,0,7,147,5,16,46,4,2,0,25,,0.27,0.15,8.5,50.0
今田善仁,きんでんトリニティーブリッツ,4,73,23,5,7,8,2,2,0,100.0,100.0,0,0,0,1,16,0,2,8,0,0,0,3,,0.25,0.12,9.4,
伊藤優介,東京トヨペットグリーンスパークル,1,88,13,50,2,58,157,48,13,30.6,22.3,2,0,0,21,161,6,11,62,260,108,0,75,0.0,0.83,0.36,11.6,41.5
内園徹,きんでんトリニティーブリッツ,9,87,51,11,16,41,0,0,0,,,0,0,0,0,58,1,9,26,15,10,0,1,,0.0,0.0,9.1,66.7
冷水亮,千葉ZELVA,21,87,29,36,8,65,0,0,0,,,0,0,0,0,0,0,0,0,379,272,0,0,,0.0,0.0,,71.8
前田泰樹,近畿クラブスフィーダ,21,19,12,10,4,7,2,0,0,0.0,0.0,0,0,0,1,2,0,0,0,0,0,0,1,,0.0,0.14,0.0,
勝将哉,近畿クラブスフィーダ,6,26,17,23,5,31,245,109,12,44.5,39.6,27,11,2,6,116,8,30,30,65,34,0,123,40.7,3.52,0.19,6.9,52.3
北村將,近畿クラブスフィーダ,20,66,13,22,4,17,69,29,3,42.0,37.7,0,0,0,0,54,1,1,7,66,40,0,30,,1.71,0.0,4.6,60.6
原田将志,兵庫デルフィーノ,3,67,21,22,6,13,10,2,2,20.0,0.0,0,0,0,2,26,2,8,4,0,0,0,6,,0.15,0.15,3.8,
古家康隆,千葉ZELVA,6,63,23,34,6,6,0,0,0,,,0,0,0,0,3,0,0,0,3,0,0,0,,0.0,0.0,0.0,0.0
古牧佑太,奈良ドリーマーズ,12,67,12,27,3,22,26,8,2,30.8,23.1,0,0,0,4,20,1,3,5,0,0,0,13,,0.36,0.18,7.5,
吉岡佳徳,千葉ZELVA,10,82,26,29,7,30,8,1,0,12.5,12.5,0,0,0,2,95,0,5,30,1,0,0,3,,0.03,0.07,6.6,0.0
吉田政俊,兵庫デルフィーノ,15,72,21,31,6,44,82,32,5,39.0,32.9,0,0,0,16,132,9,18,39,6,4,0,57,,0.73,0.36,10.8,66.7
塩大地,きんでんトリニティーブリッツ,6,87,51,11,16,58,193,109,12,56.5,50.3,0,0,0,46,160,4,17,31,11,7,0,159,,1.88,0.79,4.7,63.6
壇亮太,兵庫デルフィーノ,17,58,17,18,5,24,74,41,8,55.4,44.6,0,0,0,14,54,1,12,18,3,2,0,56,,1.71,0.58,4.6,66.7
多田将希,VC長野トライデンツ,20,88,52,9,17,57,21,10,0,47.6,47.6,1,0,0,0,130,0,7,28,4,1,0,10,0.0,0.18,0.0,4.0,25.0
大井手脩輔,千葉ZELVA,29,86,29,33,8,37,91,23,10,25.3,14.3,1,0,1,2,95,7,20,25,137,75,0,32,0.0,0.62,0.05,8.7,54.7
大原悠,近畿クラブスフィーダ,16,38,20,23,6,43,0,0,0,,,0,0,0,0,0,0,0,0,287,191,0,0,,0.0,0.0,,66.6
大澤満,東京トヨペットグリーンスパークル,9,54,12,23,2,35,0,0,0,,,0,0,0,0,0,0,0,0,226,130,0,0,,0.0,0.0,,57.5
大町和幸,千葉ZELVA,12,86,29,33,8,61,443,181,19,40.9,36.6,36,10,3,9,254,12,33,90,275,178,0,202,27.8,2.97,0.15,10.3,64.7
大貫智博,東京トヨペットグリーンスパークル,6,88,13,50,2,63,139,51,13,36.7,27.3,0,0,0,20,227,2,8,34,2,0,0,73,,0.81,0.32,3.7,0.0
大賀惠介,きんでんトリニティーブリッツ,5,75,48,11,15,12,0,0,0,,,0,0,0,0,0,0,0,0,49,35,0,0,,0.0,0.0,,71.4
奥長勝之,兵庫デルフィーノ,10,82,23,28,7,47,181,82,18,45.3,35.4,7,3,2,6,153,8,22,53,378,242,0,96,42.9,1.74,0.13,10.3,64.0
小寺秀哉,奈良ドリーマーズ,16,13,6,19,1,17,0,0,0,,,0,0,0,0,18,0,3,6,9,7,0,0,,0.0,0.0,4.2,77.8
小林哲也,VC長野トライデンツ,4,88,52,9,17,61,418,201,27,48.1,41.6,141,60,17,22,209,20,40,88,2,1,0,243,42.6,3.3,0.36,15.3,50.0
小林洸,近畿クラブスフィーダ,8,7,8,9,2,13,0,0,0,,,0,0,0,0,22,2,4,8,0,0,0,2,,0.0,0.0,13.6,
小林空,近畿クラブスフィーダ,24,68,21,24,6,44,292,117,29,40.1,30.1,73,29,8,11,169,11,33,54,9,5,0,139,39.7,2.66,0.25,9.6,55.6
小池和貴,VC長野トライデンツ,9,88,52,9,17,17,49,13,5,26.5,16.3,5,0,3,1,37,0,2,7,22,5,0,14,0.0,0.76,0.06,3.4,22.7
小河原拓磨,VC長野トライデンツ,15,24,6,0,2,5,0,0,0,,,0,0,0,0,12,1,1,6,0,0,0,1,,0.0,0.0,18.8,
小野義隆,きんでんトリニティーブリッツ,15,59,39,11,12,18,5,2,0,40.0,40.0,0,0,0,1,42,0,2,8,0,0,0,3,,0.11,0.06,3.6,
小関和樹,東京トヨペットグリーンスパークル,13,88,13,50,2,63,38,17,2,44.7,39.5,0,0,0,5,212,6,28,46,11,2,0,28,,0.27,0.08,5.0,18.2
尾松航洋,きんでんトリニティーブリッツ,2,86,48,11,15,42,7,4,1,57.1,42.9,1,1,0,1,60,2,12,26,0,0,0,7,100.0,0.1,0.02,9.2,
山下博史,奈良ドリーマーズ,15,82,17,39,3,46,0,0,0,,,0,0,0,0,65,0,10,20,0,0,0,0,,0.0,0.0,3.8,
山本寛生,きんでんトリニティーブリッツ,16,45,28,5,9,17,73,35,6,47.9,39.7,8,3,1,2,38,4,5,19,1,0,0,41,37.5,2.06,0.12,19.7,0.0
山本慎人,近畿クラブスフィーダ,15,55,17,19,5,17,0,0,0,,,0,0,0,0,25,0,3,9,0,0,0,0,,0.0,0.0,6.0,
山本映樹,近畿クラブスフィーダ,1,19,12,10,4,14,0,0,0,,,0,0,0,0,23,3,6,3,0,0,0,3,,0.0,0.0,9.8,
山田翔太,近畿クラブスフィーダ,4,46,4,10,1,6,0,0,0,,,0,0,0,0,0,0,0,0,38,16,0,0,,0.0,0.0,,42.1
岡本侑,きんでんトリニティーブリッツ,1,85,48,11,15,51,316,137,26,43.4,35.1,72,30,8,13,198,8,29,90,330,227,0,158,41.7,2.69,0.25,11.7,68.8
岩田晃祐,奈良ドリーマーズ,6,87,18,48,3,26,31,15,3,48.4,38.7,0,0,0,1,48,2,6,16,52,33,0,18,,0.58,0.04,9.4,63.5
峯村幸太,VC長野トライデンツ,6,64,46,9,15,55,295,146,19,49.5,43.1,27,12,1,17,208,18,18,84,170,88,0,181,44.4,2.65,0.31,16.6,51.8
峰尾拓,VC長野トライデンツ,5,88,52,9,17,56,0,0,0,,,0,0,0,0,0,0,0,0,310,214,0,0,,0.0,0.0,,69.0
川口喬,近畿クラブスフィーダ,22,75,15,23,4,27,118,60,17,50.8,36.4,24,8,9,10,89,2,19,17,0,0,0,72,33.3,2.22,0.37,1.7,
川合翔太,兵庫デルフィーノ,4,82,26,25,8,47,432,185,45,42.8,32.4,131,59,19,32,150,20,39,43,2,1,0,237,45.0,3.94,0.68,14.0,50.0
市川一樹,千葉ZELVA,30,9,10,13,3,20,86,34,8,39.5,30.2,9,6,1,1,44,1,5,18,71,35,0,36,66.7,1.7,0.05,9.7,49.3
市川智之,VC長野トライデンツ,1,76,49,9,16,58,205,112,9,54.6,50.2,0,0,0,39,141,1,13,27,10,10,0,152,,1.93,0.67,3.2,100.0
平田英貴,きんでんトリニティーブリッツ,13,18,34,6,11,11,34,20,4,58.8,47.1,0,0,0,4,28,1,2,8,1,1,0,25,,1.82,0.36,8.9,100.0
折井拓也,近畿クラブスフィーダ,5,3,6,2,2,8,0,0,0,,,0,0,0,0,0,0,0,0,51,21,0,0,,0.0,0.0,,41.2
新妻知之,東京トヨペットグリーンスパークル,7,87,11,47,2,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
新屋政樹,近畿クラブスフィーダ,25,17,11,7,3,3,3,1,1,33.3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,,0.33,0.0,,
新谷俊揮,きんでんトリニティーブリッツ,12,17,31,6,10,23,97,46,8,47.4,39.2,13,4,2,3,71,3,1,23,125,78,0,52,30.8,2.0,0.13,12.0,62.4
早川紘司,東京トヨペットグリーンスパークル,2,86,13,47,2,54,87,24,18,27.6,6.9,0,0,0,2,81,1,7,29,285,119,0,27,,0.44,0.04,8.0,41.8
有薗亮平,近畿クラブスフィーダ,18,53,16,16,5,12,0,0,0,,,0,0,0,0,0,0,0,0,55,28,0,0,,0.0,0.0,,50.9
本多駿,近畿クラブスフィーダ,9,74,22,31,7,40,274,129,20,47.1,39.8,33,15,3,11,112,7,26,38,280,177,0,147,45.5,3.22,0.28,8.9,63.2
杉山奨弥,VC長野トライデンツ,14,53,24,2,8,14,0,0,0,,,0,0,0,0,20,0,3,6,0,0,0,0,,0.0,0.0,3.8,
