試合日,年月,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2017-11-04,2017-11,11,岡山シーガルズ,2,,山口舞,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,1,0,0,0.0
2017-11-04,2017-11,11,岡山シーガルズ,6,,渡邊真恵,3,■,■,■,,,12,6,0,0.5,0.5,2.00,0,0,0,-,2,0.67,10,0,0,2,5.0,6,5,0,83.3
2017-11-04,2017-11,11,岡山シーガルズ,7,,佐々木萌,2,,□,■,,,14,7,0,0.5,0.5,3.50,0,0,0,-,0,-,4,0,0,1,6.2,6,3,2,66.7
2017-11-04,2017-11,11,岡山シーガルズ,8,,川畑愛希,2,■,■,,,,22,7,0,0.3181818181818182,0.3181818181818182,3.50,0,0,0,-,0,-,4,0,0,0,0.0,5,4,0,80.0
2017-11-04,2017-11,11,岡山シーガルズ,12,,居村杏奈,2,,□,■,,,7,2,1,0.2857142857142857,0.14285714285714285,1.00,0,0,0,-,2,1.00,4,0,0,1,6.2,3,0,1,16.7
2017-11-04,2017-11,11,岡山シーガルズ,14,,宮下遥,2,,□,■,,,2,2,0,1.0,1.0,1.00,0,0,0,-,0,-,6,0,0,0,0.0,0,0,0,-
2017-11-04,2017-11,11,岡山シーガルズ,15,,高田茉優,3,■,■,□,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,10,1,1,4,17.5,0,0,0,-
2017-11-04,2017-11,11,岡山シーガルズ,18,,金田修佳,3,■,■,■,,,31,17,0,0.5483870967741935,0.5483870967741935,5.67,0,0,0,-,0,-,11,1,0,2,13.6,15,7,0,46.7
2017-11-04,2017-11,11,岡山シーガルズ,19,L,森田夕貴,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0
2017-11-04,2017-11,11,岡山シーガルズ,20,L,丸山亜季,1,,,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,岡山シーガルズ,21,,高野由里加,2,,□,□,,,3,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2017-11-04,2017-11,11,岡山シーガルズ,22,,大楠鼓雪,3,■,■,■,,,17,11,0,0.6470588235294118,0.6470588235294118,3.67,0,0,0,-,1,0.33,12,1,1,4,14.6,8,6,1,81.2
2017-11-04,2017-11,11,岡山シーガルズ,25,,大升知春,1,,,□,,,5,2,0,0.4,0.4,2.00,0,0,0,-,0,-,3,0,0,0,0.0,3,2,0,66.7
2017-11-04,2017-11,11,岡山シーガルズ,28,,川島亜依美,2,■,■,,,,6,4,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,0,-,7,1,0,0,14.3,0,0,0,-
2017-11-04,2017-11,11,フォレストリーヴズ熊本,1,,斉藤千佳,3,■,■,■,,,24,9,1,0.375,0.3333333333333333,3.00,3,0,0,0.0,1,0.33,9,0,0,4,11.1,1,1,0,100.0
2017-11-04,2017-11,11,フォレストリーヴズ熊本,2,,山形美沙紀,3,■,■,■,,,23,8,3,0.3478260869565217,0.21739130434782608,2.67,0,0,0,-,0,-,8,0,0,3,9.4,26,14,4,61.5
2017-11-04,2017-11,11,フォレストリーヴズ熊本,3,,川口美久,3,■,■,■,,,26,5,0,0.19230769230769232,0.19230769230769232,1.67,0,0,0,-,0,-,7,0,0,0,0.0,33,16,8,60.6
2017-11-04,2017-11,11,フォレストリーヴズ熊本,4,,今門璃穂,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,フォレストリーヴズ熊本,5,,宮原佳代,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,0,1,25.0
2017-11-04,2017-11,11,フォレストリーヴズ熊本,6,,山田真紀,2,,□,□,,,3,2,0,0.6666666666666666,0.6666666666666666,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,フォレストリーヴズ熊本,7,,船津成美,3,■,■,■,,,29,11,1,0.3793103448275862,0.3448275862068966,3.67,0,0,0,-,0,-,7,0,0,4,14.3,0,0,0,-
2017-11-04,2017-11,11,フォレストリーヴズ熊本,8,L,佐藤みなみ,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,6,2,70.0
2017-11-04,2017-11,11,フォレストリーヴズ熊本,9,,酢田眞実,3,■,■,■,,,21,6,1,0.2857142857142857,0.2380952380952381,2.00,0,0,0,-,0,-,9,0,1,2,2.8,0,0,0,-
2017-11-04,2017-11,11,フォレストリーヴズ熊本,10,,藤古彩乃,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,フォレストリーヴズ熊本,11,,岩永明奈,3,■,■,■,,,2,1,0,0.5,0.5,0.33,0,0,0,-,0,-,9,0,0,3,8.3,0,0,0,-
2017-11-04,2017-11,11,フォレストリーヴズ熊本,12,,岸川聖奈,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,フォレストリーヴズ熊本,14,,藤澤楓子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,フォレストリーヴズ熊本,15,L,角野僚架,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,大野石油広島オイラーズ,1,,北川海育,4,■,■,■,■,,19,6,0,0.3157894736842105,0.3157894736842105,1.50,0,0,0,-,0,-,9,0,0,3,8.3,0,0,0,-
2017-11-04,2017-11,11,大野石油広島オイラーズ,2,,正田美友貴,4,■,■,■,■,,17,4,1,0.2352941176470588,0.17647058823529413,1.00,0,0,0,-,2,0.50,14,1,1,6,16.1,0,0,0,-
2017-11-04,2017-11,11,大野石油広島オイラーズ,3,,磯部成里,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-
2017-11-04,2017-11,11,大野石油広島オイラーズ,4,,長谷川侑南,4,■,■,■,■,,3,1,0,0.3333333333333333,0.3333333333333333,0.25,0,0,0,-,0,-,15,1,0,4,13.3,0,0,0,-
2017-11-04,2017-11,11,大野石油広島オイラーズ,5,L,藤田萠英,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,12,2,65.0
2017-11-04,2017-11,11,大野石油広島オイラーズ,6,,吉里遥,4,■,■,■,■,,55,12,4,0.21818181818181814,0.14545454545454545,3.00,14,1,3,7.1,0,-,7,0,2,0,-7.1,0,0,0,-
2017-11-04,2017-11,11,大野石油広島オイラーズ,7,,馬渡晴菜,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2017-11-04,2017-11,11,大野石油広島オイラーズ,8,,吉本梓穂,4,■,■,■,■,,27,10,2,0.3703703703703704,0.2962962962962963,2.50,0,0,0,-,0,-,11,1,1,4,15.9,17,4,5,38.2
2017-11-04,2017-11,11,大野石油広島オイラーズ,9,,佐藤愛美,2,,□,,□,,10,4,1,0.4,0.3,2.00,2,1,0,50.0,0,-,3,0,1,0,-8.3,0,0,0,-
2017-11-04,2017-11,11,大野石油広島オイラーズ,10,,山内佑里子,2,□,,□,,,6,2,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,0,-,3,0,0,0,0.0,9,4,1,50.0
2017-11-04,2017-11,11,大野石油広島オイラーズ,11,,中田唯香,4,■,■,■,■,,40,13,3,0.325,0.25,3.25,0,0,0,-,1,0.25,12,0,0,4,8.3,40,18,9,56.2
2017-11-04,2017-11,11,大野石油広島オイラーズ,12,,谷岡初生,1,,,□,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,JAぎふリオレーナ,1,,田代麻樹,4,■,■,■,■,,20,2,0,0.1,0.1,0.50,0,0,0,-,0,-,16,0,0,4,6.2,0,0,0,-
2017-11-04,2017-11,11,JAぎふリオレーナ,2,,佐々原和,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,2,0,66.7
2017-11-04,2017-11,11,JAぎふリオレーナ,3,L,今井里美,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,JAぎふリオレーナ,4,,吉井奎乃,4,■,■,■,■,,43,14,6,0.32558139534883723,0.18604651162790695,3.50,8,1,0,12.5,0,-,11,0,0,5,11.4,38,14,13,53.9
2017-11-04,2017-11,11,JAぎふリオレーナ,5,,山本裕香,4,□,□,□,□,,4,1,0,0.25,0.25,0.25,0,0,0,-,0,-,5,1,1,4,35.0,0,0,0,-
2017-11-04,2017-11,11,JAぎふリオレーナ,6,,宮井遥,4,■,■,■,■,,43,15,2,0.3488372093023256,0.3023255813953488,3.75,5,2,0,40.0,1,0.25,19,1,2,7,11.8,0,0,0,-
2017-11-04,2017-11,11,JAぎふリオレーナ,8,,岡部彩花,3,,□,□,□,,10,4,1,0.4,0.3,1.33,0,0,0,-,0,-,2,0,0,0,0.0,2,1,0,50.0
2017-11-04,2017-11,11,JAぎふリオレーナ,9,,本間真樹子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,JAぎふリオレーナ,10,,中村早紀子,4,■,■,■,■,,26,12,0,0.4615384615384616,0.4615384615384616,3.00,2,1,0,50.0,2,0.50,9,1,0,2,16.7,15,5,3,43.3
2017-11-04,2017-11,11,JAぎふリオレーナ,11,,佐々木美帆,4,■,■,■,■,,22,12,0,0.5454545454545454,0.5454545454545454,3.00,0,0,0,-,2,0.50,11,0,1,2,2.3,0,0,0,-
2017-11-04,2017-11,11,JAぎふリオレーナ,12,,井上実咲,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,JAぎふリオレーナ,14,,佐野遥香,4,■,■,■,■,,2,0,0,0.0,0.0,-,0,0,0,-,1,0.25,21,1,1,7,11.9,0,0,0,-
2017-11-04,2017-11,11,JAぎふリオレーナ,17,L,樋口沙樹,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,8,3,73.1
2017-11-04,2017-11,11,PFUブルーキャッツ,1,,有田妃奈乃,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2017-11-04,2017-11,11,PFUブルーキャッツ,2,,ドリスジェニファー,3,■,■,■,,,23,16,0,0.6956521739130435,0.6956521739130435,5.33,0,0,0,-,5,1.67,4,0,0,2,12.5,0,0,0,-
2017-11-04,2017-11,11,PFUブルーキャッツ,3,,吉安遥,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,1,75.0
2017-11-04,2017-11,11,PFUブルーキャッツ,4,,石橋朋美,3,■,■,■,,,3,2,0,0.6666666666666666,0.6666666666666666,0.67,0,0,0,-,0,-,5,0,0,2,10.0,0,0,0,-
2017-11-04,2017-11,11,PFUブルーキャッツ,5,,江畑幸子,3,□,■,■,,,24,11,1,0.4583333333333333,0.4166666666666667,3.67,9,4,0,44.4,0,-,20,3,1,6,21.2,0,0,0,-
2017-11-04,2017-11,11,PFUブルーキャッツ,6,,村上華澄,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,PFUブルーキャッツ,9,,正里菜,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-
2017-11-04,2017-11,11,PFUブルーキャッツ,10,,秋山愛海,3,■,■,■,,,16,9,1,0.5625,0.5,3.00,3,2,0,66.7,1,0.33,9,0,0,4,11.1,12,4,2,41.7
2017-11-04,2017-11,11,PFUブルーキャッツ,11,,堀口あやか,1,■,,,,,13,3,1,0.2307692307692308,0.15384615384615385,3.00,1,0,1,0.0,2,2.00,3,0,0,2,16.7,1,0,0,0.0
2017-11-04,2017-11,11,PFUブルーキャッツ,12,,清水眞衣,3,■,■,■,,,6,4,0,0.6666666666666666,0.6666666666666666,1.33,0,0,0,-,1,0.33,15,1,0,3,11.7,0,0,0,-
2017-11-04,2017-11,11,PFUブルーキャッツ,13,,津賀菜緒,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,PFUブルーキャッツ,16,,宇田沙織,3,■,■,■,,,13,3,2,0.2307692307692308,0.07692307692307693,1.00,2,0,0,0.0,2,0.67,13,1,1,3,11.5,17,11,2,70.6
2017-11-04,2017-11,11,PFUブルーキャッツ,17,L,谷七海,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,5,1,55.0
2017-11-04,2017-11,11,PFUブルーキャッツ,18,L,新井祐喜子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,2,,新井祥,3,■,■,■,,,10,3,0,0.3,0.3,1.00,0,0,0,-,0,-,5,0,1,1,0.0,27,14,4,59.3
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,4,,佐藤優花,3,■,■,■,,,40,13,2,0.325,0.275,4.33,3,0,0,0.0,0,-,6,0,0,3,12.5,19,9,4,57.9
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,5,,権藤玲奈,3,■,■,■,,,27,6,1,0.2222222222222222,0.1851851851851852,2.00,1,0,0,0.0,0,-,4,0,0,0,0.0,1,0,0,0.0
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,6,,佐藤仁美,3,■,■,■,,,10,3,1,0.3,0.2,1.00,0,0,0,-,1,0.33,12,0,1,4,6.2,2,1,0,50.0
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,7,L,後藤真利,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,8,,松尾妃七菜,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,9,0,0,3,8.3,0,0,0,-
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,9,,廣田唯,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,11,L,大橋亜美,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,11,1,54.8
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,12,,石山綺里,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,13,,竹内碧,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2017-11-04,2017-11,11,トヨタ自動車ヴァルキューレ,14,,田戸美咲,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
