名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ジョンソンジュリアン,KUROBEアクアフェアリーズ,18,116,60,641,239,38,37.3,31.4,132,38,17,24,157,6,8,47,5,2,3,28.8,3.98,0.4,10.0,70.0
ドリスジェニファー,PFUブルーキャッツ,2,96,63,474,278,6,58.6,57.4,1,0,0,69,154,5,6,51,4,3,0,0.0,4.41,1.1,10.6,75.0
レラ留奈,KUROBEアクアフェアリーズ,16,116,11,0,0,0,,,0,0,0,0,8,0,0,3,0,0,0,,0.0,0.0,9.4,
一森祐希奈,トヨタ自動車ヴァルキューレ,15,4,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
中村彩,フォレストリーヴズ熊本,16,62,28,0,0,0,,,0,0,0,0,3,0,0,0,29,14,8,,0.0,0.0,0.0,62.1
中村早紀子,JAぎふリオレーナ,10,117,66,602,196,23,32.6,28.7,14,4,3,15,237,14,12,69,589,222,176,28.6,2.97,0.23,11.9,52.6
中田唯香,大野石油広島オイラーズ,11,97,57,422,129,28,30.6,23.9,0,0,0,7,169,4,4,50,345,144,97,,2.26,0.12,9.2,55.8
丸山亜季,岡山シーガルズ,20,79,22,0,0,0,,,0,0,0,0,0,0,0,0,48,25,8,,0.0,0.0,,60.4
丸山紗季,KUROBEアクアフェアリーズ,1,116,55,113,40,5,35.4,31.0,0,0,0,6,133,6,8,44,34,15,6,,0.73,0.11,11.3,52.9
井上実咲,JAぎふリオレーナ,12,117,12,52,13,6,25.0,13.5,0,0,0,2,28,1,2,7,0,0,0,,1.08,0.17,8.0,
今井里美,JAぎふリオレーナ,3,117,9,119,38,5,31.9,27.7,0,0,0,0,28,2,3,6,23,10,6,,4.22,0.0,9.8,56.5
今門璃穂,フォレストリーヴズ熊本,4,117,28,184,49,10,26.6,21.2,6,1,1,2,81,0,5,25,3,1,1,16.7,1.75,0.07,6.2,50.0
佐々原和,JAぎふリオレーナ,2,117,30,51,9,2,17.6,13.7,0,0,0,0,14,0,0,0,49,21,12,,0.3,0.0,0.0,55.1
佐々木美帆,JAぎふリオレーナ,11,117,65,235,87,10,37.0,32.8,0,0,0,22,219,11,18,68,19,9,1,,1.34,0.34,10.7,50.0
佐々木萌,岡山シーガルズ,7,106,58,663,230,25,34.7,30.9,10,4,1,7,194,11,8,43,222,109,50,40.0,3.97,0.12,10.2,60.4
佐藤みなみ,フォレストリーヴズ熊本,8,117,65,0,0,0,,,0,0,0,0,0,0,0,0,158,75,48,,0.0,0.0,,62.7
佐藤仁美,トヨタ自動車ヴァルキューレ,6,117,62,217,68,14,31.3,24.9,1,0,0,21,202,7,14,45,19,10,3,0.0,1.1,0.34,7.3,60.5
佐藤優花,トヨタ自動車ヴァルキューレ,4,117,66,1121,405,62,36.1,30.6,186,62,21,14,213,7,5,57,42,20,10,33.3,6.14,0.21,9.4,59.5
佐藤愛美,大野石油広島オイラーズ,9,96,32,181,49,10,27.1,21.5,10,2,0,5,47,2,3,11,16,4,5,20.0,1.53,0.16,8.5,40.6
佐野遥香,JAぎふリオレーナ,14,117,38,16,4,0,25.0,25.0,0,0,0,3,152,6,10,51,4,0,0,,0.11,0.08,10.7,0.0
倉見夏乃,KUROBEアクアフェアリーズ,2,116,56,193,82,19,42.5,32.6,2,0,0,38,134,5,8,47,12,10,1,0.0,1.46,0.68,11.0,87.5
前田明里,岡山シーガルズ,23,1,1,2,1,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,,1.0,0.0,,
北川海育,大野石油広島オイラーズ,1,97,66,363,138,11,38.0,35.0,0,0,0,21,180,7,5,45,22,12,8,,2.09,0.32,9.4,72.7
南美寿希,KUROBEアクアフェアリーズ,8,116,68,18,10,0,55.6,55.6,0,0,0,10,243,5,10,62,4,1,1,,0.15,0.15,7.4,37.5
吉井奎乃,JAぎふリオレーナ,4,115,58,757,220,61,29.1,21.0,61,14,5,17,174,4,7,64,362,146,95,23.0,3.79,0.29,10.5,53.5
吉安遥,PFUブルーキャッツ,3,96,41,141,44,14,31.2,21.3,8,0,1,5,93,1,7,22,205,116,45,0.0,1.07,0.12,5.1,67.6
