試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,1,,江藤直美,4,■,■,■,■,nan,9,2,0,22.2,22.2,0.50,0,0,0,-,1,0.25,13,1,1,3,11.9,1,1,0,100.0,4,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,2,,谷口雅美,1,nan,nan,□,nan,nan,1,0,1,0.0,-100.0,-,0,0,0,-,0,-,0,0,0,0,-,4,2,0,50.0,0,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,3,,森山淳子,4,■,■,■,■,nan,18,11,2,61.1,50.0,2.75,0,0,0,-,2,0.50,12,0,0,3,6.2,6,5,0,83.3,13,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,4,,シルバラケル,4,■,■,■,■,nan,45,18,4,40.0,31.1,4.50,1,1,0,100.0,1,0.25,18,2,1,7,18.6,9,7,0,77.8,21,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,5,L,菅山かおる,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,32,27,0,84.4,0,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,6,,熊前知加子,4,■,■,■,■,nan,39,18,2,46.2,41.0,4.50,4,1,0,25.0,2,0.50,15,1,3,3,11.7,24,20,0,83.3,21,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,7,,竹下佳江,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,21,1,1,8,13.3,0,0,0,-,2,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,8,,佐田樹理,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,2,12.5,6,3,0,50.0,0,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,9,,宝来麻紀子,4,■,■,■,■,nan,39,14,0,35.9,35.9,3.50,2,1,0,50.0,1,0.25,8,0,0,1,3.1,0,0,0,-,15,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,10,,河村聖子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,11,,朝倉香苗,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,1,0,33.3,0,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,14,,高木理江,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2005-01-16,JTマーヴェラス,日立リヴァーレ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,152,64,9,42.1,36.2,16.00,7,3,0,42.9,7,1.75,91,5,6,27,12.0,85,66,0,77.6,76,151,63,9,41.7,7,1.75,6.0,63.1
