名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オクム大庭冬美ハウィ,2019-10,日立リヴァーレ,17,50,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
オクム大庭冬美ハウィ,2019-11,日立リヴァーレ,17,88,5,22,10,5,45.5,22.7,0,0,0,2,7,1,1,1,0,0,0,13,,2.0,0.4,14.3,
オクム大庭冬美ハウィ,2019-12,日立リヴァーレ,17,96,8,12,6,1,50.0,41.7,0,0,0,1,0,0,0,0,0,0,0,7,,0.75,0.12,,
オズソイネリマン,2019-10,トヨタ車体クインシーズ,13,50,18,247,105,18,42.5,35.2,82,33,7,7,72,5,18,17,0,0,0,117,40.2,5.83,0.39,6.6,
オズソイネリマン,2019-11,トヨタ車体クインシーズ,13,88,37,527,222,40,42.1,34.5,186,81,30,17,121,7,12,29,0,0,0,246,43.5,6.0,0.46,9.3,
オズソイネリマン,2019-12,トヨタ車体クインシーズ,13,96,28,348,143,22,41.1,34.8,124,57,13,11,108,6,7,32,0,0,0,160,46.0,5.11,0.39,11.3,
カムンタラーケオカラヤー,2019-10,JTマーヴェラス,8,50,5,14,7,1,50.0,42.9,1,1,0,0,9,0,0,2,0,0,0,7,100.0,1.4,0.0,5.6,
カムンタラーケオカラヤー,2019-11,JTマーヴェラス,8,88,2,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,,0.0,0.0,25.0,
カムンタラーケオカラヤー,2019-12,JTマーヴェラス,8,96,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
クラウジノファビアナ,2019-10,久光製薬スプリングス,2,30,9,53,28,4,52.8,45.3,0,0,0,10,30,4,2,9,0,0,0,42,,3.11,1.11,19.2,
クラウジノファビアナ,2019-11,久光製薬スプリングス,2,88,32,153,58,8,37.9,32.7,0,0,0,29,98,5,4,30,4,2,2,92,,1.81,0.91,11.7,75.0
クラウジノファビアナ,2019-12,久光製薬スプリングス,2,96,29,154,67,8,43.5,38.3,0,0,0,29,78,2,9,20,1,1,0,98,,2.31,1.0,6.1,100.0
クラウジノファビアナ,2020-01,久光製薬スプリングス,2,2,7,33,14,3,42.4,33.3,0,0,0,5,22,2,2,6,0,0,0,21,,2.0,0.71,13.6,
