名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オクム大庭冬美ハウィ,日立リヴァーレ,17,13,34,16,6,47.1,29.4,0,0,0,3,7,1,1,1,0,0,0,20,,1.2,0.2,14.3,
オズソイネリマン,トヨタ車体クインシーズ,13,83,1122,470,80,41.9,34.8,392,171,50,35,301,18,37,78,0,0,0,523,43.6,5.7,0.4,9.4,
カムンタラーケオカラヤー,JTマーヴェラス,8,7,14,7,1,50.0,42.9,1,1,0,0,11,0,0,4,0,0,0,7,100.0,1.0,0.0,9.1,
クラウジノファビアナ,久光製薬スプリングス,2,77,393,167,23,42.5,36.6,0,0,0,73,228,13,17,65,5,3,2,253,,2.2,0.9,11.0,80.0
クランヤナ,東レアローズ,7,78,966,406,57,42.0,36.1,114,48,13,40,291,17,29,86,40,14,11,463,42.1,5.2,0.5,10.7,48.8
サンティアゴアライジャダフニ,埼玉上尾メディックス,3,78,385,181,13,47.0,43.6,1,0,0,43,260,9,25,80,7,1,3,233,0.0,2.3,0.6,8.8,35.7
シニアードジャック,デンソーエアリービーズ,18,72,484,256,15,52.9,49.8,0,0,0,59,220,5,16,71,11,5,2,320,,3.6,0.8,8.5,54.5
シュシュニャルカタリナ,埼玉上尾メディックス,17,78,798,368,35,46.1,41.7,200,90,18,39,264,16,37,61,5,1,3,423,45.0,4.7,0.5,8.3,50.0
ジャンティタントゥイー,デンソーエアリービーズ,22,7,10,5,0,50.0,50.0,0,0,0,1,0,0,0,0,0,0,0,6,,0.7,0.1,,
スークソッドタナッチャ,PFUブルーキャッツ,19,22,86,21,4,24.4,19.8,8,4,1,3,12,0,2,4,0,0,0,24,50.0,1.0,0.1,4.2,
タップハンナ,日立リヴァーレ,5,63,367,165,18,45.0,40.1,1,0,0,68,160,7,15,42,0,0,0,240,0.0,2.6,1.1,8.6,
トムシャベレニカ,NECレッドロケッツ,17,38,236,74,22,31.4,22.0,26,6,5,15,92,2,3,21,0,0,0,91,23.1,1.9,0.4,7.1,
ドリスジェニファー,PFUブルーキャッツ,2,78,419,192,17,45.8,41.8,0,0,0,41,240,5,13,59,9,3,6,238,,2.5,0.5,6.9,66.7
ドルーズアンドレア,JTマーヴェラス,10,72,778,382,50,49.1,42.7,232,113,23,41,228,24,37,98,1,1,0,447,48.7,5.3,0.6,17.2,100.0
ヒックマンジャスティス,JTマーヴェラス,14,30,215,74,10,34.4,29.8,22,8,1,3,77,6,5,25,160,81,33,83,36.4,2.5,0.1,14.3,60.9
マナバットアレオナデニス,KUROBEアクアフェアリーズ,8,19,31,9,3,29.0,19.4,0,0,0,7,31,0,6,6,0,0,0,16,,0.5,0.4,0.0,
マライブナ,ヴィクトリーナ姫路,11,70,849,324,78,38.2,29.0,227,93,27,33,206,4,8,44,62,19,16,361,41.0,4.6,0.5,6.3,43.5
リーシモーン,KUROBEアクアフェアリーズ,10,68,923,374,63,40.5,33.7,179,74,13,23,242,7,21,87,312,80,91,404,41.3,5.5,0.3,9.7,40.2
三浦茉実,埼玉上尾メディックス,9,22,30,11,1,36.7,33.3,0,0,0,6,53,0,6,12,7,3,2,17,,0.5,0.3,2.8,57.1
上坂瑠子,日立リヴァーレ,1,68,708,240,39,33.9,28.4,66,20,8,14,237,6,13,70,431,210,96,260,30.3,3.5,0.2,8.5,59.9
上野香織,NECレッドロケッツ,6,54,287,107,19,37.3,30.7,1,0,0,16,148,3,26,26,11,5,1,126,0.0,2.0,0.3,2.0,50.0
中元南,デンソーエアリービーズ,1,72,616,212,48,34.4,26.6,59,14,5,8,244,11,15,79,313,121,95,231,23.7,2.9,0.1,11.1,53.8
中屋夏澄,トヨタ車体クインシーズ,16,5,0,0,0,,,0,0,0,0,6,0,1,2,0,0,0,0,,0.0,0.0,4.2,
中島未来,東レアローズ,11,67,0,0,0,,,0,0,0,0,105,2,4,25,74,33,16,2,,0.0,0.0,6.9,55.4
中川美柚,久光製薬スプリングス,14,51,142,49,4,34.5,31.7,2,1,0,7,36,5,2,17,73,23,33,61,50.0,1.0,0.1,24.3,54.1
中本葉月,ヴィクトリーナ姫路,17,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中田紫乃,東レアローズ,9,34,48,21,2,43.8,39.6,2,0,1,1,80,4,3,28,107,43,24,26,0.0,0.6,0.0,12.8,51.4
丸山亜季,岡山シーガルズ,20,38,0,0,0,,,0,0,0,0,0,0,0,0,17,8,2,0,,0.0,0.0,,52.9
丸山紗季,KUROBEアクアフェアリーズ,1,60,70,16,1,22.9,21.4,0,0,0,7,100,3,14,26,110,34,28,26,,0.3,0.1,6.0,43.6
井上奈々朱,東レアローズ,1,48,134,61,10,45.5,38.1,0,0,0,20,154,9,13,40,5,2,1,90,,1.3,0.4,10.2,50.0
井上愛里沙,久光製薬スプリングス,5,59,679,252,20,37.1,34.2,60,16,7,10,160,11,11,47,208,83,61,273,26.7,4.3,0.2,12.5,54.6
井上琴絵,デンソーエアリービーズ,11,75,0,0,0,,,0,0,0,0,0,0,0,0,230,126,52,0,,0.0,0.0,,66.1
井上美咲,埼玉上尾メディックス,13,61,10,3,1,30.0,20.0,0,0,0,8,133,6,13,39,1,0,0,17,,0.0,0.1,9.4,0.0
仁井田桃子,埼玉上尾メディックス,19,21,28,8,1,28.6,25.0,0,0,0,3,10,1,0,1,27,10,9,12,,0.4,0.1,12.5,53.7
佐々木千紘,ヴィクトリーナ姫路,25,1,1,0,0,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
佐々木萌,岡山シーガルズ,7,77,958,283,29,29.5,26.5,14,2,1,6,237,6,10,44,503,237,125,295,14.3,3.7,0.1,6.1,59.5
佐藤優花,埼玉上尾メディックス,10,35,249,86,6,34.5,32.1,17,4,1,1,109,5,5,18,223,60,65,92,23.5,2.5,0.0,7.6,41.5
佐藤澪,NECレッドロケッツ,18,24,0,0,0,,,0,0,0,0,0,0,0,0,27,11,3,0,,0.0,0.0,,46.3
佐藤美弥,日立リヴァーレ,8,74,28,12,1,42.9,39.3,0,0,0,18,234,5,23,54,1,0,1,35,,0.2,0.2,5.4,50.0
兒島晴香,ヴィクトリーナ姫路,19,13,0,0,0,,,0,0,0,0,18,0,2,0,0,0,0,0,,0.0,0.0,-2.8,
入澤まい,日立リヴァーレ,14,54,208,84,13,40.4,34.1,1,0,1,21,173,8,27,51,5,2,1,113,0.0,1.6,0.4,8.1,50.0
兵頭由希,デンソーエアリービーズ,24,50,336,117,17,34.8,29.8,55,14,2,7,149,9,3,53,22,9,7,133,25.5,2.3,0.1,14.4,56.8
内瀬戸真実,トヨタ車体クインシーズ,5,77,561,192,30,34.2,28.9,32,7,4,10,173,4,22,24,386,181,103,206,21.9,2.5,0.1,2.6,60.2
冨永こよみ,埼玉上尾メディックス,2,73,37,21,0,56.8,56.8,0,0,0,10,227,12,12,65,1,0,0,43,,0.3,0.1,11.1,0.0
前田明里,岡山シーガルズ,23,1,4,0,0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
加藤光,久光製薬スプリングス,7,49,148,42,5,28.4,25.0,4,0,1,6,114,8,6,38,58,17,18,56,0.0,0.9,0.1,14.0,44.8
及川真夢,岡山シーガルズ,8,70,308,131,8,42.5,39.9,0,0,0,30,219,3,11,55,4,2,2,164,,1.9,0.4,6.4,75.0
古川あおいアン,岡山シーガルズ,15,8,27,7,4,25.9,11.1,0,0,0,0,5,0,1,2,3,1,0,7,,0.9,0.0,5.0,33.3
古谷ちなみ,NECレッドロケッツ,11,14,102,38,6,37.3,31.4,19,6,1,0,38,2,6,6,1,0,0,40,31.6,2.7,0.0,5.3,0.0
古賀紗理那,NECレッドロケッツ,2,70,782,228,41,29.2,23.9,99,22,7,26,278,16,28,83,496,203,140,270,22.2,3.3,0.4,10.7,55.0
合屋咲希,PFUブルーキャッツ,7,22,65,21,6,32.3,23.1,0,0,0,1,5,0,2,1,1,0,0,22,,1.0,0.0,-5.0,0.0
吉安遥,PFUブルーキャッツ,3,12,0,0,0,,,0,0,0,0,0,0,0,0,6,3,1,0,,0.0,0.0,,58.3
吉岡可奈,ヴィクトリーナ姫路,9,66,166,60,5,36.1,33.1,2,1,0,25,234,9,24,57,9,4,3,94,50.0,0.9,0.4,7.4,61.1
吉岡美晴,岡山シーガルズ,4,15,76,24,2,31.6,28.9,1,0,0,0,18,0,0,3,32,12,11,24,0.0,1.6,0.0,4.2,54.7
吉田あゆみ,NECレッドロケッツ,15,4,0,0,0,,,0,0,0,0,5,1,1,0,0,0,0,1,,0.0,0.0,15.0,
吉田みなみ,岡山シーガルズ,1,2,4,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
吉野優理,埼玉上尾メディックス,8,77,689,258,46,37.4,30.8,51,15,5,14,287,9,20,78,462,199,120,281,29.4,3.4,0.2,8.2,56.1
和才奈々美,PFUブルーキャッツ,33,73,469,124,27,26.4,20.7,4,0,0,13,234,8,14,72,650,298,166,145,0.0,1.7,0.2,9.6,58.6
和田実莉,PFUブルーキャッツ,16,14,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
土井さくら,日立リヴァーレ,15,47,0,0,0,,,0,0,0,0,77,0,7,16,0,0,0,0,,0.0,0.0,2.9,
坂本奈々香,デンソーエアリービーズ,4,3,20,5,1,25.0,20.0,1,0,0,1,2,0,0,0,0,0,0,6,0.0,1.7,0.3,0.0,
堀井有蘭,日立リヴァーレ,3,22,11,2,1,18.2,9.1,0,0,0,0,17,0,2,4,40,10,11,2,,0.1,0.0,2.9,38.8
堀口あやか,PFUブルーキャッツ,11,73,718,239,27,33.3,29.5,86,27,5,15,204,9,28,41,342,147,78,263,31.4,3.3,0.2,6.0,54.4
堀川真理,東レアローズ,2,40,151,54,10,35.8,29.1,28,7,4,9,55,2,5,13,39,11,7,65,25.0,1.4,0.2,7.3,37.2
堀江美志,埼玉上尾メディックス,4,43,312,90,8,28.8,26.3,27,6,2,11,119,7,9,37,242,100,63,108,22.2,2.1,0.3,11.8,54.3
堀込奈央,ヴィクトリーナ姫路,7,72,17,9,1,52.9,47.1,0,0,0,1,221,4,18,61,2,0,0,14,,0.1,0.0,6.7,0.0
塚田しおり,NECレッドロケッツ,3,35,0,0,0,,,0,0,0,1,56,2,3,11,0,0,0,3,,0.0,0.0,7.1,
大元朱菜,ヴィクトリーナ姫路,15,5,9,1,0,11.1,11.1,0,0,0,1,7,1,3,0,0,0,0,3,,0.2,0.2,3.6,
