名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
下平夏奈,東レアローズ,12,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
中大路絢野,久光製薬スプリングス,24,5,1,0,0,0.0,0.0,0,0,0,0,22,2,0,6,0,0,0,2,,0.0,0.0,15.9,
中川有美,東レアローズ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今村優香,久光製薬スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤望,東レアローズ,15,5,26,12,1,46.2,42.3,0,0,0,3,18,1,3,7,0,0,0,16,,2.4,0.6,11.1,
古藤千鶴,久光製薬スプリングス,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀川真理,東レアローズ,9,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大野果歩,東レアローズ,11,5,5,3,0,60.0,60.0,0,0,0,3,19,0,0,7,1,0,0,6,,0.6,0.6,9.2,0.0
岩坂名奈,久光製薬スプリングス,4,5,13,8,0,61.5,61.5,1,0,0,9,19,0,1,4,0,0,0,17,0.0,1.6,1.8,3.9,
峯村沙紀,東レアローズ,6,3,12,5,1,41.7,33.3,0,0,0,1,7,2,0,3,11,6,0,8,,1.67,0.33,39.3,54.5
座安琴希,久光製薬スプリングス,10,5,0,0,0,,,0,0,0,0,0,0,0,0,33,13,0,0,,0.0,0.0,,39.4
戸江真奈,久光製薬スプリングス,18,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
新鍋理沙,久光製薬スプリングス,3,5,47,12,3,25.5,19.1,0,0,0,2,19,1,3,5,20,14,0,15,,2.4,0.4,7.9,70.0
木村沙織,東レアローズ,3,4,44,14,2,31.8,27.3,2,1,0,0,12,0,0,6,10,4,0,14,50.0,3.5,0.0,12.5,40.0
木村美里,東レアローズ,8,5,0,0,0,,,0,0,0,0,0,0,0,0,27,18,0,0,,0.0,0.0,,66.7
杉原若葉,東レアローズ,16,3,0,0,0,,,0,0,0,0,8,1,0,3,0,0,0,1,,0.0,0.0,21.9,
栄絵里香,久光製薬スプリングス,11,4,0,0,0,,,0,0,0,0,6,0,1,1,0,0,0,0,,0.0,0.0,0.0,
森谷史佳,久光製薬スプリングス,14,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
水田祐未,久光製薬スプリングス,5,5,5,2,1,40.0,20.0,0,0,0,3,8,0,0,2,0,0,0,5,,0.4,0.6,6.2,
田代佳奈美,東レアローズ,7,5,5,3,0,60.0,60.0,0,0,0,0,13,0,0,5,0,0,0,3,,0.6,0.0,9.6,
白井美沙紀,東レアローズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
石井優希,久光製薬スプリングス,6,5,46,17,1,37.0,34.8,0,0,0,2,22,0,0,9,46,30,0,19,,3.4,0.4,10.2,65.2
石橋里紗,久光製薬スプリングス,23,4,0,0,0,,,0,0,0,0,6,0,1,4,0,0,0,0,,0.0,0.0,12.5,
迫田さおり,東レアローズ,4,5,84,31,9,36.9,26.2,24,8,4,1,13,0,0,7,0,0,0,32,33.3,6.2,0.2,13.5,
野本梨佳,久光製薬スプリングス,8,5,10,2,0,20.0,20.0,0,0,0,2,0,0,0,0,0,0,0,4,,0.4,0.4,,
野村明日香,東レアローズ,13,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
長岡望悠,久光製薬スプリングス,1,5,55,22,2,40.0,36.4,14,5,0,3,9,0,1,3,0,0,0,25,35.7,4.4,0.6,5.6,
高田ありさ,東レアローズ,2,5,20,3,2,15.0,5.0,0,0,0,2,13,0,3,3,56,40,0,5,,0.6,0.4,0.0,71.4
