月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
11,きんでんトリニティーブリッツ,16,,山本寛生,8,0,0,1,0,0,8,4,0,50.0,50.0,0.5,0,0,0,,0,0.0,15,1,1,5,13.3,8,2,4,50.0
12,きんでんトリニティーブリッツ,16,,山本寛生,12,2,2,3,3,0,38,12,5,31.6,18.4,1.0,1,0,0,0.0,3,0.2,33,1,1,7,7.6,19,4,10,47.4
01,きんでんトリニティーブリッツ,16,,山本寛生,10,1,1,1,0,1,34,11,8,32.4,8.8,1.1,6,0,2,0.0,0,0.0,21,2,3,4,10.7,3,0,2,33.3
02,きんでんトリニティーブリッツ,16,,山本寛生,3,1,1,0,0,0,21,8,1,38.1,33.3,2.7,2,0,0,0.0,1,0.3,9,1,2,2,11.1,0,0,0,
