月,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
10,6,,エドガートーマス,6,2,2,2,0,0,45,27,2,60.0,55.55555555555556,7.5,18,10,2,55.55555555555556,7,1.1666666666666667,18,2,6,4,8.333333333333334,0,0,0,
11,6,,エドガートーマス,28,8,8,8,3,1,300,178,18,59.333333333333336,53.333333333333336,10.714285714285714,126,72,8,57.14285714285714,14,0.5,104,8,22,36,11.057692307692308,0,0,0,
12,6,,エドガートーマス,22,6,6,6,2,2,198,103,12,52.02020202020202,45.95959595959596,9.0,71,40,8,56.33802816901409,14,0.6363636363636364,69,8,13,18,13.405797101449275,1,0,0,0.0
01,6,,エドガートーマス,19,5,6,5,2,0,164,91,6,55.487804878048784,51.829268292682926,8.631578947368421,75,41,5,54.666666666666664,5,0.2631578947368421,64,5,13,18,9.765625,0,0,0,
02,6,,エドガートーマス,18,5,5,5,3,0,189,107,14,56.613756613756614,49.2063492063492,10.5,73,38,7,52.054794520547944,7,0.3888888888888889,73,10,14,31,19.52054794520548,0,0,0,
